%Recollect Version 2.3. Scene/Level: , Session: 18, GameNumber: 0
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:Algorithm Condition,Trial Number,Current N Level,Lure Rate,Is Correct,Stimulus Type,Stimulus Color,Presentation Time (R),Presentation Time (A),Response Time (R),Response Time (A),Expire Time (R),Expire Time (A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
7,1,2,0.3,1,3,0,1.32019,1487796092442,-1,-1,0.7537842,1487796091877
7,2,2,0.3,1,3,1,4.353882,1487796095476,-1,-1,3.820435,1487796094945
7,3,2,0.3,1,2,1,7.453857,1487796098576,-1,-1,6.887329,1487796098012
7,4,2,0.3,1,2,0,10.48743,1487796101610,-1,-1,9.953979,1487796101080
7,5,2,0.3,1,2,0,13.58752,1487796104710,-1,-1,13.02087,1487796104148
7,6,2,0.3,1,0,2,16.65442,1487796107777,-1,-1,16.08765,1487796107213
7,7,2,0.3,1,0,3,19.68787,1487796110810,-1,-1,19.15527,1487796110281
7,8,2,0.3,1,2,3,22.72144,1487796113844,-1,-1,22.18799,1487796113313
7,9,2,0.3,1,0,1,25.78857,1487796116911,-1,-1,25.25488,1487796116379
7,10,2,0.3,1,1,3,28.8551,1487796119977,29.85522,1487796120978,28.32166,1487796119448
7,11,2,0.3,1,1,1,31.88855,1487796123011,32.65527,1487796123778,31.35535,1487796122480
7,12,2,0.3,1,2,1,34.95581,1487796126078,-1,-1,34.422,1487796125547
7,13,2,0.3,1,0,0,38.05542,1487796129178,-1,-1,37.48889,1487796128613
7,14,2,0.3,1,0,3,41.08923,1487796132212,-1,-1,40.55591,1487796131681
7,15,2,0.3,1,0,2,44.15588,1487796135278,-1,-1,43.62256,1487796134748
7,16,2,0.3,1,0,1,47.22278,1487796138345,-1,-1,46.65613,1487796137781
7,17,2,0.3,1,2,3,50.28955,1487796141412,-1,-1,49.7229,1487796140849
7,18,2,0.3,1,0,0,53.32312,1487796144445,-1,-1,52.78979,1487796143914
7,19,2,0.3,1,1,3,56.40662,1487796147529,57.57336,1487796148696,55.83997,1487796146966
7,20,2,0.3,1,1,0,59.44019,1487796150562,60.34021,1487796151463,58.90674,1487796150033
7,21,2,0.3,1,1,3,62.50696,1487796153629,63.50696,1487796154629,61.94031,1487796153067
7,22,2,0.3,1,1,0,65.54053,1487796156663,66.37427,1487796157497,65.00708,1487796156132
7,1,2,0.3,1,3,1,72.61414,1487796246718,-1,-1,72.08069,1487796246185
7,2,2,0.3,1,3,0,75.68091,1487796249785,-1,-1,75.11426,1487796249221
7,3,2,0.3,1,0,2,78.71448,1487796252818,-1,-1,78.18115,1487796252289
7,4,2,0.3,1,0,3,81.78125,1487796255885,-1,-1,81.2146,1487796255321
7,5,2,0.3,1,1,2,84.81482,1487796258919,85.64856,1487796259752,84.28137,1487796258388
7,6,2,0.3,1,2,2,87.88257,1487796261986,-1,-1,87.31494,1487796261423
7,7,2,0.3,1,0,0,90.94836,1487796265052,-1,-1,90.41504,1487796264521
7,8,2,0.3,1,0,3,94.01538,1487796268119,-1,-1,93.44861,1487796267556
7,9,2,0.3,1,2,2,97.11572,1487796271219,-1,-1,96.54871,1487796270655
7,10,2,0.3,1,2,2,100.1824,1487796274286,-1,-1,99.64905,1487796273755
7,11,2,0.3,1,0,1,103.2498,1487796277354,-1,-1,102.6825,1487796276789
7,12,2,0.3,1,1,2,106.316,1487796280420,107.8173,1487796281921,105.7826,1487796279890
7,13,2,0.3,1,1,1,109.3496,1487796283453,111.3165,1487796285420,108.8162,1487796282923
7,14,2,0.3,0,1,2,112.4167,1487796286520,-1,-1,111.8829,1487796285989
7,15,2,0.3,1,0,0,115.4832,1487796289587,-1,-1,114.9501,1487796289056
7,16,2,0.3,0,0,3,118.5167,1487796292620,120.0836,1487796294188,117.9833,1487796292091
7,17,2,0.3,1,2,3,121.5503,1487796295654,-1,-1,121.0173,1487796295124
7,18,2,0.3,1,1,3,124.6171,1487796298721,125.5516,1487796299656,124.0504,1487796298157
7,19,2,0.3,1,2,0,127.6838,1487796301788,-1,-1,127.1172,1487796301225
7,20,2,0.3,1,1,3,130.7174,1487796304821,132.4841,1487796306588,130.184,1487796304290
7,21,2,0.3,1,2,3,133.7509,1487796307855,-1,-1,133.2175,1487796307324
7,22,2,0.3,1,0,2,136.7844,1487796310888,-1,-1,136.2512,1487796310357
7,1,2,0.3,1,3,3,141.3512,1487796315455,-1,-1,140.818,1487796314923
7,2,2,0.3,1,3,0,144.4181,1487796318522,-1,-1,143.8514,1487796317958
7,3,2,0.3,1,0,1,147.4517,1487796321555,-1,-1,146.9183,1487796321025
7,4,2,0.3,1,0,2,150.5184,1487796324622,-1,-1,149.9518,1487796324058
7,5,2,0.3,1,1,1,153.552,1487796327656,155.0188,1487796329123,153.0187,1487796327125
7,6,2,0.3,1,0,0,156.6188,1487796330723,-1,-1,156.0536,1487796330162
7,7,2,0.3,1,0,3,159.6857,1487796333789,-1,-1,159.1191,1487796333226
7,8,2,0.3,1,1,0,162.7526,1487796336856,164.3528,1487796338457,162.1859,1487796336292
7,9,2,0.3,1,2,0,165.786,1487796339890,-1,-1,165.2531,1487796339359
7,10,2,0.3,1,1,0,168.8529,1487796342957,170.0863,1487796344190,168.2861,1487796342393
7,11,2,0.3,1,2,3,171.8864,1487796345990,-1,-1,171.3531,1487796345460
7,12,2,0.3,1,1,0,174.9198,1487796349024,176.7201,1487796350824,174.3865,1487796348493
7,13,2,0.3,1,2,0,177.9867,1487796352090,-1,-1,177.4207,1487796351527
7,14,2,0.3,1,2,3,180.9871,1487796355091,-1,-1,180.4868,1487796354593
7,15,2,0.3,1,0,2,184.0204,1487796358124,-1,-1,183.4875,1487796357594
7,16,2,0.3,1,1,3,187.0873,1487796361191,188.321,1487796362425,186.5212,1487796360628
7,17,2,0.3,1,0,1,190.1207,1487796364224,-1,-1,189.5874,1487796363694
7,18,2,0.3,1,0,0,193.1881,1487796367292,-1,-1,192.621,1487796366727
7,19,2,0.3,1,2,3,196.2878,1487796370392,-1,-1,195.7211,1487796369827
7,20,2,0.3,1,2,1,199.3213,1487796373425,-1,-1,198.7881,1487796372894
7,21,2,0.3,1,1,3,202.3882,1487796376492,203.4215,1487796377525,201.8214,1487796375929
7,22,2,0.3,1,0,0,205.455,1487796379559,-1,-1,204.9215,1487796379029
7,1,2,0.3,1,3,2,210.3885,1487796384492,-1,-1,209.8552,1487796383960
7,2,2,0.3,1,3,0,213.4561,1487796387560,-1,-1,212.8887,1487796386995
7,3,2,0.3,1,0,3,216.5222,1487796390626,-1,-1,215.9889,1487796390095
7,4,2,0.3,1,2,3,219.5564,1487796393660,-1,-1,219.0223,1487796393130
7,5,2,0.3,1,1,3,222.6227,1487796396726,223.8226,1487796397927,222.0892,1487796396196
7,6,2,0.3,1,2,2,225.7228,1487796399826,-1,-1,225.156,1487796399263
7,7,2,0.3,1,1,3,228.7897,1487796402893,230.5897,1487796404694,228.2229,1487796402330
