%Recollect Version 2.3. Scene/Level: , Game Number: 001
%MatrixReasoning:Stage,ProblemNumber,CurrentResponse,CorrectResponse,NavigationDirection,TimeOfResponse
2,0,7,7,0,1486152786986
2,1,1,1,0,1486152790619
2,2,2,2,0,1486152796553
2,0,2,2,0,1486152805522
2,0,2,2,1,1486152806520
2,1,4,4,0,1486152809054
2,1,4,4,1,1486152809820
2,2,6,6,0,1486152824788
2,2,2,6,0,1486152826188
2,2,1,6,0,1486152826889
2,2,0,6,0,1486152827655
2,2,6,6,0,1486152833222
2,2,1,6,0,1486152834589
2,2,6,6,0,1486152835222
2,2,6,6,1,1486152836922
2,3,7,7,0,1486152852890
2,3,7,7,1,1486152853556
2,4,4,4,0,1486152856723
2,4,4,4,1,1486152857389
2,5,6,6,0,1486152875224
2,5,6,6,1,1486152875924
2,6,1,1,0,1486152886092
2,6,1,1,1,1486152887091
2,7,7,7,0,1486152914926
2,7,7,7,1,1486152915459
2,8,4,4,0,1486152930294
2,8,4,4,1,1486152930894
2,9,3,3,0,1486152934896
2,9,3,3,1,1486152936427
2,10,7,7,0,1486152948061
2,10,7,7,1,1486152949862
2,11,1,1,0,1486153001231
2,11,1,1,1,1486153001831
2,12,6,6,0,1486153019865
2,12,6,6,1,1486153022099
2,13,4,4,0,1486153030801
2,13,4,4,1,1486153031533
2,14,2,4,0,1486153103237
2,14,3,4,0,1486153103670
2,14,7,4,0,1486153104137
2,14,6,4,0,1486153104837
2,14,5,4,0,1486153107370
2,14,4,4,0,1486153107937
2,14,1,4,0,1486153113737
2,14,1,4,1,1486153114671
2,15,5,5,0,1486153170241
2,15,5,5,1,1486153170907
2,16,6,6,0,1486153215177
2,16,6,6,1,1486153232311
2,17,3,3,0,1486153254579
2,17,3,3,1,1486153259712
2,18,2,2,0,1486153267279
2,18,2,2,1,1486153271814
2,19,5,5,0,1486153282514
2,19,5,5,1,1486153288348
2,20,0,0,0,1486153301815
2,20,0,0,1,1486153302516
2,21,5,5,0,1486153312815
2,21,5,5,1,1486153315382
2,22,5,5,0,1486153329417
2,22,5,5,1,1486153330184
2,23,0,1,0,1486153343984
2,23,0,1,1,1486153354984
2,24,0,0,0,1486153363718
2,24,0,0,1,1486153365685
2,25,5,5,0,1486153375519
2,25,5,5,1,1486153376252
2,26,3,3,0,1486153408321
2,26,3,3,1,1486153410521
2,27,6,6,0,1486153422022
2,27,6,6,1,1486153422488
2,28,1,1,0,1486153437689
2,28,1,1,1,1486153439756
2,29,7,2,0,1486153460524
2,29,7,2,1,1486153461090
2,30,0,0,0,1486153475825
2,30,0,0,1,1486153476691
2,31,2,2,0,1486153494892
2,31,2,2,1,1486153495659
2,32,5,0,0,1486153505126
2,32,5,0,1,1486153506593
2,33,6,6,0,1486153535628
2,33,6,6,1,1486153540061
2,34,0,3,0,1486153561930
2,34,3,3,0,1486153583565
2,34,3,3,1,1486153584230
2,35,0,0,0,1486153594165
2,35,0,0,1,1486153597498
2,36,2,2,0,1486153619966
2,36,2,2,1,1486153624066
2,37,4,3,0,1486153666169
2,37,3,3,0,1486153676269
2,37,4,3,0,1486153688003
2,37,4,3,1,1486153688970
2,38,2,4,0,1486153699638
2,38,2,4,1,1486153700504
2,39,6,6,0,1486153713605
2,39,6,6,1,1486153714238
2,40,7,7,0,1486153740406
2,40,7,7,1,1486153741107
2,41,5,5,0,1486153762174
