%Recollect Version 2.3. Scene/Level: , Session: 11, GameNumber: 0
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:Algorithm Condition,Trial Number,Current N Level,Lure Rate,Is Correct,Stimulus Type,Stimulus Color,Presentation Time (R),Presentation Time (A),Response Time (R),Response Time (A),Expire Time (R),Expire Time (A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
8,1,2,0.3,1,3,3,3.320313,1487028689855,-1,-1,2.753784,1487028689289
8,2,2,0.3,1,3,2,6.353882,1487028692889,-1,-1,5.820435,1487028692358
8,3,2,0.3,1,2,2,9.420654,1487028695955,-1,-1,8.85437,1487028695392
8,4,2,0.3,1,1,2,12.4541,1487028698989,13.35425,1487028699889,11.92078,1487028698458
8,5,2,0.3,1,0,0,15.55457,1487028702089,-1,-1,14.98755,1487028701525
8,6,2,0.3,1,1,2,18.65454,1487028705189,19.58801,1487028706123,18.08789,1487028704625
8,7,2,0.3,1,1,0,21.68799,1487028708223,22.42139,1487028708956,21.15479,1487028707692
8,8,2,0.3,1,0,3,24.72168,1487028711256,-1,-1,24.18823,1487028710727
8,9,2,0.3,1,2,3,27.82166,1487028714356,-1,-1,27.25488,1487028713792
8,10,2,0.3,1,1,3,30.92175,1487028717456,32.15515,1487028718690,30.3551,1487028716893
8,11,2,0.3,1,0,1,33.98865,1487028720523,-1,-1,33.42212,1487028719959
8,12,2,0.3,1,0,2,37.05542,1487028723590,-1,-1,36.48877,1487028723028
8,13,2,0.3,1,0,0,40.12231,1487028726658,-1,-1,39.55566,1487028726093
8,14,2,0.3,1,2,1,43.15588,1487028729691,-1,-1,42.62244,1487028729160
8,15,2,0.3,1,2,1,46.25598,1487028732791,-1,-1,45.68933,1487028732227
8,16,2,0.3,1,1,1,49.29016,1487028735825,50.28967,1487028736825,48.7561,1487028735293
8,17,2,0.3,1,2,2,52.35681,1487028738892,-1,-1,51.823,1487028738360
8,18,2,0.3,1,0,0,55.45691,1487028741992,-1,-1,54.88989,1487028741428
8,19,2,0.3,1,2,0,58.52332,1487028745058,-1,-1,57.99011,1487028744527
8,20,2,0.3,1,1,0,61.59021,1487028748125,62.72363,1487028749259,61.02344,1487028747561
8,21,2,0.3,1,0,3,64.6571,1487028751192,-1,-1,64.09045,1487028750627
8,22,2,0.3,1,0,2,67.72388,1487028754259,-1,-1,67.19055,1487028753728
8,1,2,0.3,1,3,0,71.92407,1487028758459,-1,-1,71.42407,1487028757960
8,2,2,0.3,1,3,3,74.69165,1487028761226,-1,-1,74.19092,1487028760728
8,3,2,0.3,1,1,0,77.45776,1487028763992,78.89111,1487028765426,76.95776,1487028763495
8,4,2,0.3,1,0,2,80.22461,1487028766759,-1,-1,79.72461,1487028766263
8,5,2,0.3,1,1,0,82.99146,1487028769527,84.15845,1487028770693,82.49146,1487028769029
8,6,2,0.3,1,1,2,85.75818,1487028772293,86.39209,1487028772927,85.25879,1487028771797
8,7,2,0.3,1,0,1,88.52502,1487028775060,-1,-1,88.02502,1487028774562
8,8,2,0.3,1,0,3,91.29187,1487028777827,-1,-1,90.79187,1487028777329
8,9,2,0.3,1,2,3,94.05872,1487028780593,-1,-1,93.55859,1487028780096
8,10,2,0.3,1,0,2,96.82556,1487028783360,-1,-1,96.32544,1487028782864
8,11,2,0.3,1,0,1,99.59229,1487028786127,-1,-1,99.09241,1487028785630
8,12,2,0.3,0,1,2,102.3591,1487028788894,-1,-1,101.8591,1487028788397
8,13,2,0.3,0,1,1,105.126,1487028791661,-1,-1,104.626,1487028791163
8,14,2,0.3,0,1,2,107.8929,1487028794428,-1,-1,107.3928,1487028793930
8,15,2,0.3,1,2,2,110.6597,1487028797194,-1,-1,110.1603,1487028796698
8,16,2,0.3,1,2,1,113.4264,1487028799961,-1,-1,112.9265,1487028799464
8,17,2,0.3,1,0,3,116.1934,1487028802728,-1,-1,115.6932,1487028802231
8,18,2,0.3,1,0,0,118.9602,1487028805495,-1,-1,118.4601,1487028804997
8,19,2,0.3,1,2,1,121.7268,1487028808262,-1,-1,121.2269,1487028807765
8,20,2,0.3,1,2,3,124.4938,1487028811028,-1,-1,123.9937,1487028810531
8,21,2,0.3,1,0,2,127.2606,1487028813795,-1,-1,126.7605,1487028813298
8,22,2,0.3,1,2,2,130.0273,1487028816562,-1,-1,129.5273,1487028816066
8,1,2,0.3,1,3,0,134.9945,1487028821530,-1,-1,134.4945,1487028821030
8,2,2,0.3,1,3,1,137.7616,1487028824296,-1,-1,137.2612,1487028823800
8,3,2,0.3,1,1,0,140.528,1487028827063,142.6616,1487028829197,140.0282,1487028826565
8,4,2,0.3,1,0,2,143.2954,1487028829830,-1,-1,142.7948,1487028829332
8,5,2,0.3,1,2,2,146.0616,1487028832596,-1,-1,145.5616,1487028832099
8,6,2,0.3,1,0,3,148.8285,1487028835363,-1,-1,148.3284,1487028834866
8,7,2,0.3,1,2,3,151.5952,1487028838130,-1,-1,151.0952,1487028837632
8,8,2,0.3,1,1,3,154.3622,1487028840897,154.9623,1487028841497,153.8621,1487028840401
8,9,2,0.3,1,2,0,157.1289,1487028843664,-1,-1,156.6289,1487028843166
8,10,2,0.3,1,0,2,159.8958,1487028846430,-1,-1,159.3958,1487028845933
8,11,2,0.3,1,1,0,162.6625,1487028849198,163.9626,1487028850499,162.1625,1487028848700
8,12,2,0.3,1,1,2,165.4293,1487028851964,166.0627,1487028852598,164.9293,1487028851467
8,13,2,0.3,1,0,3,168.1967,1487028854731,-1,-1,167.6965,1487028854234
8,14,2,0.3,1,2,3,170.963,1487028857498,-1,-1,170.4631,1487028857001
8,15,2,0.3,1,0,1,173.7299,1487028860265,-1,-1,173.2299,1487028859768
8,16,2,0.3,1,0,2,176.4967,1487028863031,-1,-1,175.9966,1487028862535
8,17,2,0.3,1,0,0,179.2634,1487028865798,-1,-1,178.7634,1487028865301
8,18,2,0.3,1,2,1,182.0304,1487028868565,-1,-1,181.5304,1487028868067
8,19,2,0.3,1,1,0,184.7972,1487028871332,185.9641,1487028872499,184.2971,1487028870834
8,20,2,0.3,1,0,2,187.564,1487028874099,-1,-1,187.0643,1487028873602
8,21,2,0.3,1,2,2,190.3308,1487028876866,-1,-1,189.8308,1487028876368
8,22,2,0.3,1,1,2,193.0975,1487028879632,193.7317,1487028880267,192.5975,1487028879135
8,1,2,0.3,1,3,0,196.8978,1487028883433,-1,-1,196.4646,1487028883000
8,2,2,0.3,1,3,3,199.3646,1487028885899,-1,-1,198.9313,1487028885469
8,3,2,0.3,1,1,0,201.8315,1487028888366,202.6317,1487028889167,201.3982,1487028887935
8,4,2,0.3,1,1,3,204.2982,1487028890833,204.8657,1487028891401,203.865,1487028890403
8,5,2,0.3,1,0,1,206.765,1487028893300,-1,-1,206.3318,1487028892869
8,6,2,0.3,0,0,2,209.2318,1487028895767,210.2653,1487028896800,208.7985,1487028895336
8,7,2,0.3,1,0,0,211.6986,1487028898233,-1,-1,211.2653,1487028897803
8,8,2,0.3,0,1,2,214.1654,1487028900700,-1,-1,213.7322,1487028900269
8,9,2,0.3,1,2,2,216.6323,1487028903167,-1,-1,216.1996,1487028902737
8,10,2,0.3,1,0,3,219.0991,1487028905634,-1,-1,218.6656,1487028905205
8,11,2,0.3,1,2,3,221.5659,1487028908101,-1,-1,221.1324,1487028907670
8,12,2,0.3,1,2,2,224.0327,1487028910568,-1,-1,223.5994,1487028910137
8,13,2,0.3,1,1,3,226.5,1487028913035,227.6665,1487028914201,226.0662,1487028912603
