%Recollect Version 2.3. Scene/Level: , Session: 23, GameNumber: 4
%D2:Row,lastInteractedCharacter,Ht,Ms,FA,CR,Sequence,Responses
0,18,9,2,1,7,cpgbbealfaccbbflcanfnacicdbgmjdagbhmacdnaappodec,100110100111010010100000000000000000000000000000
1,23,12,0,3,9,ckfacjbaoebbagccieombmhagfeebgaolclbchajcbohcdmb,110111110011101110001001000000000000000000000000
2,22,7,2,4,10,eokcjglcbagfbgdnabcijfaajdbecjhaknacbnjbcaeckfbc,000110001100100011011110000000000000000000000000
3,17,10,0,6,2,cbbmkceaaajjkcifbbpceaibnbcieiedjchakaecibodjack,111011011111111111000000000000000000000000000000
4,22,11,1,2,9,dafabclcbfadgcgemicbbajjjbgblcohngcdgmoaakabomba,010111011010010001011110000000000000000000000000
5,17,8,2,5,3,jlbachkakibciccblbinafaamcifplhlbbnanfccglkabced,101110111111101100000000000000000000000000000000
6,16,9,0,2,6,jcndanbcbakbalhncamnjlbcmeafccjbpkmjabhelacjmcpa,110010111111100010000000000000000000000000000000
7,30,13,1,3,14,ahinigbeacmomoeclkbcammbfiabcbcagjhckipbiaebpacb,101010101100000100111001011110100000000000000000
8,19,7,2,2,9,inbgmeakbdcdacndnacabnbjcmnapabfcegkckbkcboaaeem,101000111010110000010000000000000000000000000000
9,16,5,3,1,8,acaobfceoddbggcagkbkniacbahbfchacbfjjagcihnbidaf,101010000011000100000000000000000000000000000000
10,27,8,4,6,10,icceaboelabkbpbahjjplljccmapdkcdeanbiabococacbmm,100011000110101101100010011100000000000000000000
11,23,8,2,6,8,bmadgbedeckmdakcbkcapmciabceoeohfaagnbcbcklbkbma,101001000110011101111101000000000000000000000000
