%Recollect Version 2.3. Scene/Level: , Session: 23, GameNumber: 23
%D2:Action,Row,Character,TimeOfResponse
1,0,0,1487887747843
1,0,3,1487887749676
1,0,4,1487887750009
1,0,6,1487887751443
1,0,9,1487887753276
1,0,10,1487887753709
1,0,11,1487887754076
1,0,14,1487887755776
-1,0,13,1487887757143
-1,0,12,1487887757443
-1,0,13,1487887757910
-1,0,12,1487887758243
-1,0,13,1487887758876
2,0,14,1487887759043
1,0,14,1487887759409
2,0,14,1487887760076
1,0,13,1487887760609
-1,0,12,1487887761076
-1,0,12,1487887761710
-1,0,12,1487887762143
-1,0,12,1487887762543
1,0,16,1487887764243
1,0,18,1487887765210
9,0,-1,1487887766245
1,1,0,1487887771210
1,1,1,1487887771544
1,1,3,1487887773144
1,1,4,1487887773910
1,1,5,1487887774444
1,1,6,1487887775478
1,1,7,1487887775844
1,1,8,1487887776577
2,1,8,1487887777044
1,1,10,1487887778944
1,1,11,1487887779244
1,1,12,1487887779911
1,1,14,1487887780844
1,1,15,1487887781311
1,1,16,1487887781811
1,1,18,1487887783111
2,1,18,1487887784112
1,1,20,1487887785578
1,1,23,1487887786745
9,1,-1,1487887787246
1,2,3,1487887791478
1,2,4,1487887792045
1,2,8,1487887794445
-1,2,7,1487887795112
-1,2,7,1487887795578
-1,2,7,1487887796112
-1,2,7,1487887796712
-1,2,7,1487887797245
1,2,9,1487887799012
1,2,12,1487887800612
1,2,14,1487887801746
2,2,14,1487887802412
1,2,16,1487887803345
1,2,17,1487887804579
1,2,19,1487887805812
1,2,20,1487887806679
1,2,21,1487887807712
1,2,22,1487887808046
9,2,-1,1487887808247
-1,2,23,1487887808512
1,3,0,1487887810046
1,3,1,1487887810779
1,3,2,1487887811079
1,3,4,1487887812613
1,3,6,1487887812946
-1,3,5,1487887813679
-1,3,5,1487887814346
-1,3,5,1487887814747
2,3,6,1487887815679
1,3,5,1487887816413
1,3,7,1487887817913
1,3,8,1487887818347
1,3,9,1487887818747
1,3,10,1487887819313
1,3,11,1487887819780
1,3,12,1487887820713
1,3,13,1487887821080
1,3,14,1487887821847
1,3,15,1487887822180
1,3,16,1487887822614
1,3,17,1487887823380
-1,3,15,1487887823780
-1,3,15,1487887824547
-1,3,15,1487887825048
-1,3,15,1487887825580
-1,3,15,1487887825980
-1,3,15,1487887826247
-1,3,15,1487887826480
-1,3,15,1487887828414
-1,3,15,1487887828814
9,3,-1,1487887829248
1,4,1,1487887831448
1,4,3,1487887832380
1,4,4,1487887833147
1,4,5,1487887833647
1,4,7,1487887836447
1,4,8,1487887836980
1,4,10,1487887838581
1,4,13,1487887840047
1,4,17,1487887845315
1,4,19,1487887845948
-1,4,18,1487887846715
1,4,20,1487887847449
-1,4,18,1487887848048
-1,4,18,1487887848715
1,4,21,1487887849481
1,4,22,1487887849848
9,4,-1,1487887850250
-1,4,24,1487887850315
1,5,0,1487887852016
1,5,2,1487887852648
1,5,3,1487887853281
1,5,4,1487887853715
1,5,6,1487887854782
1,5,7,1487887856848
1,5,8,1487887857315
1,5,9,1487887860215
1,5,10,1487887860549
1,5,11,1487887861316
1,5,12,1487887861682
1,5,14,1487887862615
-1,5,13,1487887863015
1,5,15,1487887863749
1,5,16,1487887864249
2,5,16,1487887864950
1,5,17,1487887870816
2,5,17,1487887871249
9,5,-1,1487887871253
-1,5,17,1487887872183
1,6,0,1487887873584
1,6,2,1487887874049
-1,6,1,1487887874616
2,6,2,1487887875049
1,6,1,1487887875583
1,6,4,1487887877116
1,6,6,1487887881214
1,6,7,1487887881713
1,6,8,1487887882180
1,6,9,1487887882547
1,6,10,1487887883080
1,6,11,1487887883513
1,6,12,1487887884680
1,6,13,1487887888248
2,6,13,1487887888981
1,6,14,1487887889448
2,6,14,1487887889881
1,6,16,1487887891281
9,6,-1,1487887892248
-1,6,18,1487887892481
1,7,0,1487887895248
1,7,2,1487887896114
1,7,4,1487887896881
1,7,5,1487887897281
