%Recollect Version 2.3. Scene/Level: , Session: 23, GameNumber: 7
%HeartsAndFlowers:Stage,TrailNum,Target,TargetPos,ChoicePos,TimeOfPresentation,TimeOfResponse
1,0,1,0,1,1487889220171,1487889221171
1,1,1,0,0,1487889222171,1487889222838
1,2,1,1,1,1487889223838,1487889224571
1,3,1,1,1,1487889225572,1487889226205
2,0,1,0,0,1487889228006,1487889228805
2,1,1,0,0,1487889229805,1487889230571
2,2,1,1,1,1487889231572,1487889232205
2,3,1,1,1,1487889233206,1487889233738
2,4,1,0,0,1487889234705,1487889235372
2,5,1,0,0,1487889236372,1487889237305
2,6,1,1,1,1487889238306,1487889238972
2,7,1,0,0,1487889239972,1487889240539
2,8,1,1,1,1487889241539,1487889242072
2,9,1,0,0,1487889243072,1487889243639
2,10,1,1,1,1487889244607,1487889245139
2,11,1,1,1,1487889246139,1487889246706
3,0,0,1,0,1487889250106,1487889254073
3,1,0,1,0,1487889255074,1487889256039
3,2,0,0,1,1487889257007,1487889257973
3,3,0,0,1,1487889258973,1487889260007
4,0,0,1,0,1487889261790,1487889263056
4,1,0,0,1,1487889264023,1487889264624
4,2,0,1,0,1487889265624,1487889266223
4,3,0,1,0,1487889267191,1487889267723
4,4,0,0,1,1487889268724,1487889269358
4,5,0,1,0,1487889270324,1487889270923
4,6,0,1,0,1487889271924,1487889272490
4,7,0,0,1,1487889273491,1487889274124
4,8,0,0,1,1487889275124,1487889275758
4,9,0,0,1,1487889276758,1487889277357
4,10,0,1,0,1487889278358,1487889279158
4,11,0,0,1,1487889280158,1487889280924
5,0,1,1,1,1487889283342,1487889284941
5,1,0,1,0,1487889285944,1487889286842
5,2,0,0,1,1487889287842,1487889288608
5,3,1,0,0,1487889289608,1487889290575
6,0,1,0,0,1487889292275,1487889293808
6,1,0,0,1,1487889294809,1487889295709
6,2,1,1,1,1487889296675,1487889297542
6,3,1,0,0,1487889298542,1487889299209
6,4,1,1,1,1487889300209,1487889300842
6,5,0,1,0,1487889301809,1487889302709
6,6,1,0,0,1487889303709,1487889304442
6,7,1,0,0,1487889305409,1487889306076
6,8,1,1,1,1487889307076,1487889308010
6,9,0,1,0,1487889309010,1487889309642
6,10,1,1,1,1487889310643,1487889311409
6,11,0,0,1,1487889312410,1487889313143
6,12,1,1,1,1487889314110,1487889314877
6,13,0,1,0,1487889315877,1487889316676
6,14,1,0,0,1487889317677,1487889318443
6,15,0,1,0,1487889319444,1487889320010
6,16,1,0,0,1487889320977,1487889321510
6,17,1,0,0,1487889322477,1487889322977
6,18,1,1,1,1487889323977,1487889324810
6,19,0,1,0,1487889325777,1487889326677
6,20,0,1,0,1487889327677,1487889328510
6,21,1,0,0,1487889329510,1487889330510
6,22,1,0,0,1487889331511,1487889332177
6,23,0,1,0,1487889333179,1487889333977
6,24,1,0,0,1487889334978,1487889335578
6,25,0,0,1,1487889336578,1487889337345
6,26,0,0,1,1487889338344,1487889339278
6,27,0,1,0,1487889340278,1487889341078
6,28,1,1,1,1487889342078,1487889342811
6,29,0,1,0,1487889343812,1487889344511
6,30,0,0,1,1487889345478,1487889346345
6,31,0,0,1,1487889347347,1487889348045
6,32,1,0,0,1487889349045,1487889349745
6,33,1,1,1,1487889350745,1487889351311
6,34,1,0,0,1487889352279,1487889352811
6,35,0,1,0,1487889353812,1487889354478
6,36,0,0,1,1487889355479,1487889356245
6,37,0,0,1,1487889357246,1487889358045
6,38,1,1,1,1487889359045,1487889359812
6,39,0,1,0,1487889360812,1487889361612
6,40,0,0,1,1487889362613,1487889363613
6,41,0,0,1,1487889364580,1487889365212
6,42,1,1,1,1487889366213,1487889366946
6,43,0,1,0,1487889367946,1487889368714
6,44,1,1,1,1487889369713,1487889370413
6,45,0,0,1,1487889371413,1487889372379
6,46,1,1,1,1487889373380,1487889374179
6,47,0,0,1,1487889375180,1487889376080
