%Recollect Version 2.3. Scene/Level: , Game Number: 002
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1486165978345,1486165981346,1486165993385
1,G4,D,4,1486165994912,1486165997914,1486166008963
2,3W5,W,35,1486166012013,1486166016481,1486166025064
3,T7L,TL,7,1486166026597,1486166031100,1486166040981
4,1JA,,,1486166043982,1486166048484,1486166054349
0,F4,F,4,1486166063483,1486166066485,1486166071750
1,1J,J,1,1486166073317,1486166076285,1486166080887
2,A7,A,7,1486166082417,1486166085419,1486166094538
3,L1H,LH,1,1486166096068,1486166100569,1486166109357
4,T2S,TS,2,1486166110886,1486166115387,1486166120762
5,K43,K,43,1486166122286,1486166126788,1486166132515
