%Recollect Version 2.3. Scene/Level: , Game Number: 007
%HeartsAndFlowers:Stage,TrailNum,Target,TargetPos,ChoicePos,TimeOfPresentation,TimeOfResponse
1,0,1,0,0,1486173505604,1486173506838
1,1,1,1,1,1486173507838,1486173508738
1,2,1,0,0,1486173509739,1486173510738
1,3,1,1,1,1486173511738,1486173512571
2,0,1,1,1,1486173519372,1486173520238
2,1,1,0,0,1486173521238,1486173522305
2,2,1,0,0,1486173523305,1486173524305
2,3,1,0,0,1486173525306,1486173526239
2,4,1,1,1,1486173527239,1486173528139
2,5,1,1,1,1486173529139,1486173530039
2,6,1,0,0,1486173531006,1486173531939
2,7,1,1,1,1486173532939,1486173533706
2,8,1,0,0,1486173534706,1486173535573
2,9,1,0,0,1486173536573,1486173537473
2,10,1,1,1,1486173538473,1486173539341
2,11,1,1,1,1486173540340,1486173541239
3,0,0,1,0,1486173547807,1486173548673
3,1,0,1,0,1486173549673,1486173550574
3,2,0,0,1,1486173551574,1486173552340
3,3,0,0,1,1486173553340,1486173554774
4,0,0,0,1,1486173557841,1486173558541
4,1,0,1,0,1486173559541,1486173560208
4,2,0,0,1,1486173561207,1486173561807
4,3,0,0,1,1486173562808,1486173563574
4,4,0,0,1,1486173564574,1486173565241
4,5,0,1,0,1486173566241,1486173566907
4,6,0,0,1,1486173567908,1486173568508
4,7,0,1,0,1486173569508,1486173570175
4,8,0,1,0,1486173571141,1486173571875
4,9,0,0,1,1486173572875,1486173573508
4,10,0,1,0,1486173574508,1486173575208
4,11,0,1,0,1486173576208,1486173576942
5,0,1,0,0,1486173581775,1486173582608
5,1,0,0,1,1486173583609,1486173584408
5,2,0,1,0,1486173585409,1486173586376
5,3,1,1,1,1486173587376,1486173588275
6,0,1,1,1,1486173590476,1486173591309
6,1,1,0,0,1486173592309,1486173593242
6,2,1,0,0,1486173594243,1486173595042
6,3,0,1,0,1486173596010,1486173596809
6,4,0,1,0,1486173597810,1486173598676
6,5,0,1,0,1486173599676,1486173600609
6,6,1,0,0,1486173601610,1486173602543
6,7,1,1,1,1486173603543,1486173604309
6,8,1,0,0,1486173605310,1486173606044
6,9,0,1,0,1486173607045,1486173607976
6,10,0,0,1,1486173608977,1486173609643
6,11,0,1,0,1486173610643,1486173611544
6,12,1,1,1,1486173612544,1486173613377
6,13,0,0,1,1486173614344,1486173615244
6,14,0,0,1,1486173616244,1486173617010
6,15,1,0,0,1486173618011,1486173618844
6,16,0,1,0,1486173619844,1486173620644
6,17,0,1,0,1486173621645,1486173622577
6,18,0,1,0,1486173623578,1486173624377
6,19,1,0,0,1486173625378,1486173626378
6,20,0,0,1,1486173627378,1486173628178
6,21,0,0,1,1486173629178,1486173629911
6,22,1,1,1,1486173630911,1486173631745
6,23,1,0,0,1486173632745,1486173633578
6,24,0,0,1,1486173634545,1486173635411
6,25,0,0,1,1486173636412,1486173637212
6,26,1,1,1,1486173638212,1486173638945
6,27,1,1,1,1486173639912,1486173640612
6,28,1,1,1,1486173641613,1486173642378
6,29,0,0,1,1486173643379,1486173644212
6,30,1,0,0,1486173645212,1486173646179
6,31,1,1,1,1486173647179,1486173647979
6,32,1,1,1,1486173648979,1486173649712
6,33,0,1,0,1486173650713,1486173651646
6,34,0,0,1,1486173652613,1486173653512
6,35,0,1,0,1486173654513,1486173655313
6,36,1,0,0,1486173656280,1486173657079
6,37,1,0,0,1486173658080,1486173658813
6,38,1,0,0,1486173659780,1486173660446
6,39,0,1,0,1486173661446,1486173662180
6,40,0,0,1,1486173663180,1486173664046
6,41,0,0,1,1486173665047,1486173665680
6,42,1,1,1,1486173666680,1486173667280
6,43,0,1,0,1486173668281,1486173669080
6,44,0,0,1,1486173670080,1486173670913
6,45,1,1,1,1486173671914,1486173672613
6,46,1,1,1,1486173673614,1486173674180
6,47,1,0,0,1486173675181,1486173676214
