%Recollect Version 2.3. Scene/Level: , Session: 19, GameNumber: 3
%SymmetrySpan:Stage,TrailNum,SequenceLength,TargetSequence,ResponseSequence,SymmetrySequence,SymmetryResponses,ClearCount,TimeOfSequencePresentation,TimeOfSymmetryPresentation,TimeOfResponsePrompt,TimeOfResponseSubmission
3,0,2,AB,AB,,,0,1487800632509,,1487800634875,1487800636571
3,1,2,A5,A5,,,0,1487800638546,,1487800640871,1487800642237
3,2,3,61F,61F,,,0,1487800644209,,1487800647738,1487800649271
3,3,3,4FE,4FE,,,0,1487800651243,,1487800654738,1487800656438
10,0,0,,,0,0,0,1487800668776,1487800668774,1487800654738,1487800670606
10,1,0,,,0,0,0,1487800672607,1487800672607,1487800654738,1487800676140
10,2,0,,,0,0,0,1487800678107,1487800678107,1487800654738,1487800679706
10,3,0,,,1,1,0,1487800681678,1487800681678,1487800654738,1487800683206
10,4,0,,,1,1,0,1487800685178,1487800685178,1487800654738,1487800686506
10,5,0,,,1,1,0,1487800688474,1487800688474,1487800654738,1487800691607
10,6,0,,,0,0,0,1487800693608,1487800693608,1487800654738,1487800695407
10,7,0,,,1,1,0,1487800697408,1487800697408,1487800654738,1487800699207
10,8,0,,,0,0,0,1487800701178,1487800701178,1487800654738,1487800702408
10,9,0,,,1,1,0,1487800704378,1487800704377,1487800654738,1487800706641
10,10,0,,,1,1,0,1487800708644,1487800708644,1487800654738,1487800710741
10,11,0,,,0,0,0,1487800712742,1487800712742,1487800654738,1487800714975
10,12,0,,,1,1,0,1487800716976,1487800716975,1487800654738,1487800718342
10,13,0,,,0,0,0,1487800720342,1487800720342,1487800654738,1487800722643
10,14,0,,,0,0,0,1487800724611,1487800724611,1487800654738,1487800727976
10,15,0,,,1,1,0,1487800729977,1487800729977,1487800654738,1487800733409
13,0,2,27,27,00,00,0,1487800753048,1487800758115,1487800760482,1487800762511
13,1,2,0D,0D,01,01,0,1487800764483,1487800769616,1487800770883,1487800772412
13,2,2,9D,9D,10,10,0,1487800774383,1487800779650,1487800780751,1487800782312
14,0,5,AC3E4,AD3E4,10001,10001,0,1487800789351,1487800804918,1487800806485,1487800809948
14,1,2,7D,7D,11,11,0,1487800811918,1487800817219,1487800819787,1487800822181
14,2,4,108C,608C,1010,1010,0,1487800824153,1487800835887,1487800837722,1487800840315
14,3,4,A9CD,A9CD,0101,0101,0,1487800842287,1487800853654,1487800854988,1487800857783
14,4,3,97E,97E,100,100,0,1487800859755,1487800867689,1487800868589,1487800871218
14,5,3,104,104,110,110,0,1487800873189,1487800880894,1487800882057,1487800883784
14,6,3,089,089,001,001,0,1487800885758,1487800894356,1487800895857,1487800897719
14,7,5,095A3,09A3,00110,00110,0,1487800899690,1487800913861,1487800915258,1487800917620
14,8,2,FD,FD,10,10,0,1487800919593,1487800924559,1487800926359,1487800928454
14,9,2,BD,BE,11,10,0,1487800930430,1487800936458,1487800937959,1487800940488
14,10,5,E14D8,E14D9,01000,01000,0,1487800942462,1487800955431,1487800956527,1487800960055
14,11,4,CFD8,CFD8,1100,1100,0,1487800962060,1487800972861,1487800974029,1487800976223
