%Recollect Version 2.3. Scene/Level: , Game Number: 003
%SymmetrySpan:Stage,TrailNum,SequenceLength,TargetSequence,ResponseSequence,SymmetrySequence,SymmetryResponses,ClearCount,TimeOfSequencePresentation,TimeOfSymmetryPresentation,TimeOfResponsePrompt,TimeOfResponseSubmission
3,0,2,4D,4D,,,0,1486399972606,,1486399974968,1486399977036
3,1,2,C6,C6,,,0,1486399979006,,1486399981369,1486399983269
3,2,3,8C4,8C4,,,1,1486399985241,,1486399988769,1486399993036
3,3,3,DC7,DC7,,,0,1486399995008,,1486399998603,1486400000836
10,0,0,,,1,1,0,1486400025174,1486400025172,1486399998603,1486400027838
10,1,0,,,1,1,0,1486400029805,1486400029805,1486399998603,1486400032071
10,2,0,,,1,1,0,1486400034039,1486400034039,1486399998603,1486400038838
10,3,0,,,0,0,0,1486400040843,1486400040843,1486399998603,1486400043172
10,4,0,,,0,0,0,1486400045173,1486400045173,1486399998603,1486400047439
10,5,0,,,0,1,0,1486400049440,1486400049440,1486399998603,1486400053006
10,6,0,,,1,1,0,1486400055008,1486400055008,1486399998603,1486400058039
10,7,0,,,0,0,0,1486400060007,1486400060007,1486399998603,1486400061673
10,8,0,,,0,0,0,1486400063674,1486400063674,1486399998603,1486400066740
10,9,0,,,1,1,0,1486400068707,1486400068707,1486399998603,1486400072207
10,10,0,,,0,0,0,1486400074175,1486400074175,1486399998603,1486400076307
10,11,0,,,1,1,0,1486400078308,1486400078308,1486399998603,1486400081077
10,12,0,,,0,0,0,1486400083075,1486400083075,1486399998603,1486400085441
10,13,0,,,1,1,0,1486400087409,1486400087409,1486399998603,1486400089808
10,14,0,,,0,0,0,1486400091809,1486400091809,1486399998603,1486400093375
10,15,0,,,0,0,0,1486400095343,1486400095342,1486399998603,1486400096480
13,0,2,DC,DC,11,11,0,1486400104014,1486400111418,1486400114487,1486400116676
13,1,2,3A,3A,00,00,0,1486400118649,1486400123451,1486400124682,1486400126678
13,2,2,89,89,01,01,0,1486400128652,1486400133182,1486400134449,1486400135677
14,0,2,8D,8D,10,10,0,1486400140882,1486400146187,1486400147283,1486400148545
14,1,4,D1B5,8DB19,1111,1111,1,1486400150518,1486400162788,1486400164651,1486400172446
14,2,4,E412,E81B,0100,0100,0,1486400174418,1486400185357,1486400187086,1486400193247
14,3,4,8310,E82B5,0001,0001,0,1486400195219,1486400206753,1486400208754,1486400213982
14,4,3,70B,42B,110,110,0,1486400215953,1486400224954,1486400226320,1486400231716
14,5,5,5318C,82BC,01100,01100,1,1486400233689,1486400250823,1486400252256,1486400256818
14,6,3,B6F,2B,100,100,0,1486400258827,1486400268356,1486400269090,1486400272685
14,7,3,B98,98,010,010,0,1486400274660,1486400284357,1486400286864,1486400288919
14,8,2,A8,98,00,00,0,1486400290891,1486400295357,1486400297159,1486400299920
14,9,5,ED6CA,D68A,11101,11101,0,1486400301891,1486400319859,1486400321393,1486400324955
14,10,5,27BD8,27B9C,10001,10101,0,1486400326927,1486400342032,1486400343361,1486400346956
14,11,2,BD,BE,11,11,0,1486400348928,1486400354832,1486400356962,1486400359390
