%Recollect Version 2.3. Scene/Level: , Game Number: 004
%D2:Action,Row,Character,TimeOfResponse
1,0,0,1486415879711
2,0,0,1486415881511
1,0,1,1486415882378
1,0,4,1486415883945
2,0,4,1486415884978
1,0,5,1486415885644
1,0,8,1486415888111
1,0,11,1486415889745
-1,0,9,1486415890545
-1,0,9,1486415891412
1,0,17,1486415894678
9,0,-1,1486415897146
-1,0,22,1486415897545
1,1,0,1486415899379
1,1,3,1486415901779
1,1,5,1486415903980
1,1,8,1486415905579
1,1,10,1486415906479
1,1,13,1486415908645
1,1,15,1486415911613
-1,1,13,1486415912280
1,1,23,1486415916379
1,1,24,1486415917914
9,1,-1,1486415918147
-1,1,25,1486415918513
1,2,0,1486415921746
1,2,2,1486415923747
1,2,3,1486415924447
1,2,6,1486415926147
1,2,9,1486415927915
1,2,13,1486415929947
1,2,14,1486415930914
1,2,20,1486415933214
1,2,21,1486415934547
1,2,22,1486415935614
1,2,23,1486415936281
1,2,24,1486415936948
9,2,-1,1486415939149
-1,2,26,1486415939215
1,3,0,1486415941948
1,3,2,1486415943281
1,3,4,1486415944981
1,3,5,1486415945948
1,3,6,1486415946781
1,3,10,1486415948449
1,3,14,1486415950548
1,3,15,1486415952115
1,3,17,1486415953315
1,3,20,1486415957282
9,3,-1,1486415960150
1,4,1,1486415965016
1,4,2,1486415965583
1,4,3,1486415966649
1,4,6,1486415969083
1,4,12,1486415972350
1,4,15,1486415975149
1,4,18,1486415976816
1,4,20,1486415979117
1,4,21,1486415980483
1,4,22,1486415981150
9,4,-1,1486415981155
1,5,1,1486415985750
1,5,4,1486415987418
1,5,5,1486415988317
1,5,8,1486415990317
1,5,12,1486415992684
1,5,15,1486415995151
1,5,16,1486415995651
1,5,18,1486415997618
1,5,20,1486415999718
1,5,24,1486416001417
9,5,-1,1486416002152
1,6,0,1486416005185
1,6,1,1486416005884
1,6,2,1486416006518
1,6,5,1486416008218
1,6,9,1486416010185
1,6,12,1486416011518
1,6,13,1486416012051
2,6,13,1486416014018
1,6,16,1486416016452
1,6,17,1486416018985
1,6,18,1486416019785
1,6,20,1486416021019
1,6,21,1486416021519
9,6,-1,1486416023158
-1,6,24,1486416023186
1,7,1,1486416025686
1,7,2,1486416026219
1,7,6,1486416029586
1,7,7,1486416029986
1,7,8,1486416031153
1,7,12,1486416033487
1,7,15,1486416035320
1,7,17,1486416036619
1,7,20,1486416038786
2,7,20,1486416040186
1,7,21,1486416042220
1,7,22,1486416042620
9,7,-1,1486416044187
1,8,0,1486416048953
1,8,3,1486416049787
1,8,7,1486416052654
1,8,8,1486416054054
1,8,9,1486416054855
1,8,12,1486416056421
2,8,12,1486416057055
1,8,14,1486416059188
1,8,16,1486416060754
1,8,17,1486416062454
9,8,-1,1486416065192
-1,8,21,1486416065288
1,9,0,1486416067922
1,9,2,1486416069989
2,9,2,1486416070855
1,9,3,1486416072155
1,9,4,1486416073988
1,9,6,1486416075855
1,9,7,1486416076589
1,9,9,1486416077722
1,9,11,1486416079089
1,9,14,1486416081048
-1,9,12,1486416082243
1,9,17,1486416085201
9,9,-1,1486416086169
1,10,2,1486416089602
1,10,4,1486416091769
1,10,5,1486416092536
1,10,7,1486416093769
1,10,8,1486416094668
1,10,12,1486416097102
1,10,14,1486416098802
1,10,17,1486416100269
1,10,19,1486416101569
1,10,20,1486416102769
1,10,21,1486416103603
1,10,23,1486416104869
1,10,24,1486416105902
1,10,25,1486416106635
9,10,-1,1486416107169
1,11,1,1486416109002
1,11,2,1486416111769
1,11,4,1486416113102
1,11,11,1486416116303
1,11,13,1486416117603
1,11,20,1486416121538
-1,11,18,1486416122337
1,11,22,1486416123670
1,11,23,1486416125703
1,11,24,1486416126170
