%Recollect Version 2.3; iPad: ; User: RLB142; Session: 4
%Span:2,Continent,Difficulty,Game Number,Highest Span Length Achieved,Current Span Length
%NBack:4,Game Number,Scene/Level Played,Highest N Level Achieved,Current N Level
%MultiObject:8,Continent,Difficulty,Game Number,Highest Number of Concurrent Bugs,Current Number of Concurrent Bugs
%LameBack:32,Algorithm,Session,GameNumber,Accuracy,EndingNLevel,HighestNLevel,BayesianEstimates
32,3,4,0,1,2,5,algoNotBayesian
32,3,4,0,0.5,3,5,algoNotBayesian
32,3,4,0,0.75,3,5,algoNotBayesian
32,3,4,0,0.25,4,5,algoNotBayesian
32,3,4,0,0.3333333,3,5,algoNotBayesian
32,3,4,0,0.6666667,3,5,algoNotBayesian
32,3,4,0,0.3333333,4,5,algoNotBayesian
32,3,4,0,0.5714286,3,5,algoNotBayesian
32,3,4,0,0.8571429,3,5,algoNotBayesian
32,3,4,0,0.5555556,4,5,algoNotBayesian
32,3,4,0,0.8333333,4,5,algoNotBayesian
32,3,4,0,0.8333333,5,5,algoNotBayesian
32,3,4,0,0.1,6,6,algoNotBayesian
32,3,4,0,0.2222222,5,6,algoNotBayesian
32,3,4,0,0.5,4,6,algoNotBayesian
32,3,5,0,1,2,6,algoNotBayesian
32,3,5,0,0.8571429,3,6,algoNotBayesian
32,3,5,0,0.5714286,4,6,algoNotBayesian
32,3,5,0,0.125,4,6,algoNotBayesian
32,3,5,0,0.7142857,3,6,algoNotBayesian
32,3,5,0,0.625,4,6,algoNotBayesian
32,3,5,0,0.75,4,6,algoNotBayesian
32,3,5,0,0.4545455,5,6,algoNotBayesian
32,3,5,0,0.3333333,4,6,algoNotBayesian
32,3,5,0,0.6666667,3,6,algoNotBayesian
32,3,5,0,1,3,6,algoNotBayesian
32,3,5,0,0.7142857,4,6,algoNotBayesian
32,3,5,0,0.5,5,6,algoNotBayesian
32,3,5,0,0.2727273,5,6,algoNotBayesian
