%Recollect Version 2.3. Scene/Level: , Session: 19, GameNumber: 1
%MatrixReasoning:Stage,ProblemNumber,CurrentResponse,CorrectResponse,NavigationDirection,TimeOfResponse
2,0,7,7,0,1487811019896
2,1,1,1,0,1487811023594
2,2,2,2,0,1487811029396
2,0,1,1,0,1487811034128
2,0,1,1,1,1487811034594
2,1,2,2,0,1487811036828
2,1,2,2,1,1487811037294
2,2,4,4,0,1487811041362
2,2,4,4,1,1487811041962
2,3,6,6,0,1487811046862
2,3,6,6,1,1487811047795
2,4,7,7,0,1487811053296
2,4,7,7,1,1487811053829
2,5,1,1,0,1487811060496
2,5,1,1,1,1487811064229
2,6,2,3,0,1487811072497
2,6,2,3,1,1487811073563
2,7,2,4,0,1487811081931
2,7,2,4,1,1487811082564
2,8,7,7,0,1487811086264
2,8,7,7,1,1487811086864
2,9,0,4,0,1487811092999
2,9,-1,4,0,1487811093666
2,9,4,4,0,1487811094231
2,9,4,4,1,1487811095031
2,10,5,3,0,1487811099232
2,10,5,3,1,1487811099898
2,11,7,7,0,1487811110533
2,11,7,7,1,1487811110999
2,12,1,1,0,1487811119533
2,12,1,1,1,1487811120166
2,13,7,6,0,1487811126266
2,13,7,6,1,1487811128400
2,14,2,4,0,1487811213371
2,14,2,4,1,1487811213871
2,15,2,4,0,1487811253640
2,15,2,4,1,1487811254173
2,16,2,5,0,1487811273041
2,16,2,5,1,1487811273741
2,17,0,0,0,1487811284909
2,17,0,0,1,1487811285542
2,18,3,3,0,1487811291676
2,18,3,3,1,1487811297776
2,19,2,2,0,1487811317210
2,19,2,2,1,1487811318410
2,20,4,5,0,1487811337112
2,20,4,5,1,1487811338178
2,21,7,0,0,1487811352679
2,21,0,0,0,1487811358613
2,21,0,0,1,1487811359546
2,22,5,5,0,1487811364313
2,22,5,5,1,1487811367713
2,23,5,5,0,1487811376980
2,23,5,5,1,1487811378080
2,24,1,1,0,1487811389215
2,24,1,1,1,1487811390048
2,25,0,0,0,1487811434517
2,25,0,0,1,1487811435350
2,26,5,5,0,1487811449285
2,26,5,5,1,1487811450285
2,27,5,3,0,1487811462618
2,27,3,3,0,1487811464319
2,27,3,3,1,1487811467386
2,28,6,6,0,1487811477019
2,28,6,6,1,1487811478619
2,29,1,1,0,1487811493854
2,29,1,1,1,1487811494387
2,30,2,2,0,1487811534623
2,30,2,2,1,1487811535390
2,31,0,0,0,1487811547924
2,31,0,0,1,1487811549223
2,32,2,2,0,1487811568726
2,32,2,2,1,1487811569358
2,33,0,0,0,1487811575959
2,33,0,0,1,1487811576759
2,34,2,6,0,1487811596459
2,34,2,6,1,1487811596993
2,35,3,3,0,1487811615928
2,35,3,3,1,1487811621894
2,36,5,0,0,1487811636262
2,36,5,0,1,1487811636862
2,37,2,2,0,1487811648696
2,37,2,2,1,1487811651662
2,38,2,3,0,1487811688331
2,38,2,3,1,1487811690231
2,39,3,4,0,1487811705232
2,39,3,4,1,1487811706832
2,40,6,6,0,1487811716299
2,40,6,6,1,1487811717066
2,41,2,7,0,1487811741235
