%Recollect Version 2.3. Scene/Level: , Game Number: 000
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:Algorithm Condition,Trial Number,Current N Level,Lure Rate,Is Correct,Stimulus Type,Stimulus Color,Presentation Time (R),Presentation Time (A),Response Time (R),Response Time (A),Expire Time (R),Expire Time (A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
1,1,3,0.3,1,3,2,5.253784,1487276887356,-1,-1,4.687378,1487276886791
1,2,3,0.3,1,3,6,8.287354,1487276890390,-1,-1,7.753906,1487276889859
1,3,3,0.3,1,3,3,11.354,1487276893457,-1,-1,10.78748,1487276892893
1,4,3,0.3,1,2,3,14.3877,1487276896490,-1,-1,13.85413,1487276895959
1,5,3,0.3,1,0,1,17.45447,1487276899557,-1,-1,16.92102,1487276899027
1,6,3,0.3,1,0,5,20.52124,1487276902624,-1,-1,19.95508,1487276902060
1,7,3,0.3,1,2,6,23.55481,1487276905657,-1,-1,23.02148,1487276905127
1,8,3,0.3,0,1,1,26.58838,1487276908691,-1,-1,26.05493,1487276908162
1,9,3,0.3,1,0,2,29.65552,1487276911758,-1,-1,29.1217,1487276911227
1,10,3,0.3,1,1,6,32.75525,1487276914858,33.72217,1487276915825,32.18896,1487276914295
1,11,3,0.3,1,1,1,35.78894,1487276917892,36.52283,1487276918626,35.25537,1487276917361
1,12,3,0.3,1,2,1,38.85559,1487276920958,-1,-1,38.28955,1487276920395
1,13,3,0.3,1,2,1,41.88916,1487276923992,-1,-1,41.35571,1487276923461
1,14,3,0.3,1,2,6,44.95593,1487276927058,-1,-1,44.38928,1487276926494
1,15,3,0.3,1,2,6,47.9895,1487276930092,-1,-1,47.45605,1487276929562
1,16,3,0.3,1,1,1,51.02295,1487276933126,51.75635,1487276933859,50.48962,1487276932595
1,17,3,0.3,1,0,3,54.05652,1487276936159,-1,-1,53.52307,1487276935629
1,18,3,0.3,1,0,0,57.12329,1487276939226,-1,-1,56.55664,1487276938663
