%Recollect Version 2.3. Scene/Level: , Game Number: 007
%NearTransferObject:GameNumber,BlockNumber,TrialNumber,CurrentNLevel,IsCorrect,StimulusType,Image,PresentationTime,ResponseTime,ExpireTime
%Possible values for "Image":Bear=0,Sheep=1,Duck=2,Elephant=3,Turtle=4,Owl=5,Goat=6,Seal=7,Blank=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
7,0,1,1,0,3,7,1487024989923,-1,1487024989390
7,0,2,1,1,1,7,1487024992990,1487024994657,1487024992459
7,0,3,1,1,0,3,1487024996056,-1,1487024995526
7,0,4,1,1,1,3,1487024999090,1487024999857,1487024998559
7,0,5,1,0,1,3,1487025002123,-1,1487025001592
7,0,6,1,1,0,5,1487025005190,-1,1487025004663
7,0,7,1,1,0,6,1487025008224,-1,1487025007693
7,0,8,1,1,0,3,1487025011257,-1,1487025010760
7,0,9,1,1,0,2,1487025014324,-1,1487025013793
7,0,10,1,0,0,5,1487025017391,1487025018091,1487025016862
7,0,11,1,1,0,4,1487025020425,-1,1487025019894
7,1,1,1,1,3,3,1487025028025,-1,1487025027492
7,1,2,1,1,0,1,1487025031058,-1,1487025030529
7,1,3,1,1,0,2,1487025034125,-1,1487025033596
7,1,4,1,1,1,2,1487025037192,1487025038059,1487025036661
7,1,5,1,1,0,3,1487025040259,-1,1487025039728
7,1,6,1,1,0,6,1487025043326,-1,1487025042795
7,1,7,1,1,1,6,1487025046359,1487025047059,1487025045829
7,1,8,1,1,0,0,1487025049393,-1,1487025048862
7,1,9,1,1,0,5,1487025052459,-1,1487025051929
7,1,10,1,1,1,5,1487025055493,1487025056260,1487025054962
7,1,11,1,1,0,3,1487025058526,-1,1487025057996
7,1,12,1,1,1,3,1487025061560,1487025062195,1487025061029
7,1,13,1,1,0,7,1487025064593,-1,1487025064064
7,1,14,1,1,1,7,1487025067627,1487025068661,1487025067097
7,1,15,1,1,0,2,1487025070660,-1,1487025070130
7,1,16,1,1,0,3,1487025073694,-1,1487025073164
7,1,17,1,1,0,7,1487025076727,-1,1487025076197
7,1,18,1,1,0,0,1487025079761,-1,1487025079231
7,1,19,1,1,0,2,1487025082795,-1,1487025082264
7,1,20,1,1,0,6,1487025085828,-1,1487025085331
7,1,21,1,1,1,6,1487025088895,1487025089596,1487025088364
7,2,1,2,1,3,2,1487025118630,-1,1487025118098
7,2,2,2,1,3,7,1487025121663,-1,1487025121133
7,2,3,2,1,1,2,1487025124730,1487025125297,1487025124200
7,2,4,2,1,0,3,1487025127764,-1,1487025127234
7,2,5,2,0,1,2,1487025130797,-1,1487025130300
7,2,6,2,0,1,3,1487025133832,-1,1487025133334
7,2,7,2,1,0,0,1487025136897,-1,1487025136370
7,2,8,2,1,0,5,1487025139964,-1,1487025139435
7,2,9,2,1,0,7,1487025142998,-1,1487025142467
7,2,10,2,1,0,4,1487025146065,-1,1487025145534
7,2,11,2,1,0,0,1487025149131,-1,1487025148601
7,2,12,2,0,0,2,1487025152165,1487025153232,1487025151634
7,3,1,2,0,3,5,1487025156832,-1,1487025156299
7,3,2,2,0,3,2,1487025159866,-1,1487025159335
7,3,3,2,1,0,1,1487025162932,-1,1487025162402
7,3,4,2,1,0,0,1487025165966,-1,1487025165436
7,3,5,2,1,0,7,1487025169033,-1,1487025168502
7,3,6,2,1,1,0,1487025172033,1487025173001,1487025171535
7,3,7,2,1,0,6,1487025175066,-1,1487025174536
7,3,8,2,0,0,2,1487025178068,1487025178734,1487025177570
7,3,9,2,1,0,1,1487025181100,-1,1487025180603
7,3,10,2,1,1,2,1487025184133,1487025185134,1487025183636
7,3,11,2,1,0,7,1487025187201,-1,1487025186670
7,3,12,2,1,1,2,1487025190234,1487025191301,1487025189704
7,3,13,2,1,0,5,1487025193301,-1,1487025192771
7,3,14,2,1,0,6,1487025196334,-1,1487025195837
7,3,15,2,1,0,4,1487025199401,-1,1487025198871
7,3,16,2,1,1,6,1487025202435,1487025203268,1487025201904
7,3,17,2,1,0,3,1487025205501,-1,1487025204971
7,3,18,2,1,0,1,1487025208535,-1,1487025208004
7,3,19,2,1,0,5,1487025211569,-1,1487025211038
7,3,20,2,1,0,4,1487025214635,-1,1487025214104
7,3,21,2,1,1,5,1487025217669,1487025218870,1487025217139
7,3,22,2,1,1,4,1487025220736,1487025221769,1487025220205
7,4,1,3,1,3,3,1487025236070,-1,1487025235537
7,4,2,3,1,3,0,1487025239103,-1,1487025238573
7,4,3,3,1,3,5,1487025242170,-1,1487025241640
7,4,4,3,1,1,3,1487025245204,1487025246204,1487025244674
7,4,5,3,1,0,6,1487025248270,-1,1487025247740
7,4,6,3,1,0,4,1487025251304,-1,1487025250774
7,4,7,3,1,0,1,1487025254371,-1,1487025253841
7,4,8,3,1,0,7,1487025257404,-1,1487025256874
7,4,9,3,1,1,4,1487025260438,1487025261405,1487025259942
7,4,10,3,0,1,1,1487025263505,-1,1487025262974
7,4,11,3,1,0,3,1487025266539,-1,1487025266041
7,4,12,3,1,0,0,1487025269605,-1,1487025269075
7,4,13,3,1,0,0,1487025272638,-1,1487025272109
7,5,1,3,1,3,3,1487025277639,-1,1487025277140
7,5,2,3,1,3,2,1487025280706,-1,1487025280175
7,5,3,3,1,3,4,1487025283773,-1,1487025283242
