%Recollect Version 2.3. Scene/Level: , Session: 5, GameNumber: 0
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:Algorithm Condition,Trial Number,Current N Level,Lure Rate,Is Correct,Stimulus Type,Stimulus Color,Presentation Time (R),Presentation Time (A),Response Time (R),Response Time (A),Expire Time (R),Expire Time (A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
6,1,2,0.3,1,3,5,0.586792,1486662558332,-1,-1,0.05334473,1486662557799
6,2,2,0.3,1,3,4,3.620117,1486662561365,-1,-1,3.086914,1486662560835
6,3,2,0.3,1,0,3,6.653809,1486662564399,-1,-1,6.120361,1486662563868
6,4,2,0.3,1,0,0,9.687866,1486662567433,-1,-1,9.187134,1486662566935
6,5,2,0.3,1,0,6,12.78735,1486662570532,-1,-1,12.2207,1486662569970
6,6,2,0.3,1,2,4,15.82092,1486662573566,-1,-1,15.28748,1486662573035
6,7,2,0.3,1,2,0,18.85437,1486662576599,-1,-1,18.32104,1486662576069
6,8,2,0.3,1,0,2,21.88794,1486662579633,-1,-1,21.35449,1486662579102
6,9,2,0.3,1,2,2,24.92139,1486662582666,-1,-1,24.38806,1486662582135
6,10,2,0.3,1,0,5,27.98816,1486662585733,-1,-1,27.42151,1486662585169
6,11,2,0.3,1,1,2,31.02173,1486662588767,31.6554,1486662589401,30.48914,1486662588238
6,12,2,0.3,1,0,6,34.08862,1486662591834,-1,-1,33.52185,1486662591268
6,13,2,0.3,0,1,2,37.12207,1486662594867,-1,-1,36.58875,1486662594336
6,14,2,0.3,1,1,6,40.18884,1486662597934,40.88904,1486662598634,39.62219,1486662597370
6,15,2,0.3,1,1,2,43.22253,1486662600968,43.85608,1486662601601,42.68921,1486662600437
6,16,2,0.3,1,2,2,46.32263,1486662604068,-1,-1,45.75647,1486662603505
6,17,2,0.3,1,0,1,49.3562,1486662607101,-1,-1,48.82312,1486662606570
6,18,2,0.3,1,0,0,52.42285,1486662610168,-1,-1,51.85657,1486662609604
6,19,2,0.3,1,2,2,55.48975,1486662613235,-1,-1,54.9231,1486662612671
6,20,2,0.3,1,2,2,58.52332,1486662616268,-1,-1,57.98987,1486662615738
6,21,2,0.3,1,1,2,61.5907,1486662619336,62.19055,1486662619936,61.05664,1486662618806
6,22,2,0.3,1,1,2,64.65747,1486662622402,65.3905,1486662623136,64.12354,1486662621872
6,1,2,0,1,3,1,70.22449,1486662627969,-1,-1,69.6908,1486662627437
6,2,2,0,1,3,2,73.29065,1486662631036,-1,-1,72.75732,1486662630506
6,3,2,0,1,0,4,76.35754,1486662634103,-1,-1,75.79089,1486662633538
6,4,2,0,1,0,0,79.39111,1486662637136,-1,-1,78.85779,1486662636606
6,5,2,0,1,1,4,82.45801,1486662640203,84.2583,1486662642004,81.89124,1486662639639
6,6,2,0,1,0,3,85.5249,1486662643270,-1,-1,84.99133,1486662642739
6,7,2,0,1,0,2,88.59167,1486662646337,-1,-1,88.05823,1486662645806
6,8,2,0,1,0,5,91.62573,1486662649371,-1,-1,91.0918,1486662648839
6,9,2,0,1,1,2,94.69202,1486662652437,95.52563,1486662653271,94.15857,1486662651906
6,10,2,0,0,1,5,97.72546,1486662655470,-1,-1,97.19214,1486662654941
6,11,2,0,1,0,4,100.759,1486662658504,-1,-1,100.2256,1486662657973
6,12,2,0,1,1,5,103.7925,1486662661537,105.9594,1486662663705,103.2592,1486662661007
6,13,2,0,1,0,3,106.826,1486662664571,-1,-1,106.2926,1486662664040
6,14,2,0,1,0,7,109.8595,1486662667604,-1,-1,109.3262,1486662667074
6,15,2,0,1,0,1,112.9264,1486662670671,-1,-1,112.3596,1486662670108
6,16,2,0,1,1,7,115.9276,1486662673673,116.9602,1486662674705,115.4265,1486662673174
6,17,2,0,1,0,6,119.0267,1486662676772,-1,-1,118.46,1486662676207
6,18,2,0,1,0,3,122.0935,1486662679838,-1,-1,121.5269,1486662679275
6,19,2,0,0,1,6,125.1271,1486662682872,-1,-1,124.5942,1486662682342
6,20,2,0,1,0,1,128.161,1486662685906,-1,-1,127.6272,1486662685375
6,21,2,0,1,0,7,131.261,1486662689006,-1,-1,130.6951,1486662688444
6,22,2,0,1,0,0,134.3275,1486662692073,-1,-1,133.7941,1486662691543
6,1,2,0.3,1,3,6,139.228,1486662696973,-1,-1,138.6945,1486662696440
6,2,2,0.3,1,3,7,142.2947,1486662700040,-1,-1,141.7612,1486662699509
6,3,2,0.3,1,2,7,145.3616,1486662703107,-1,-1,144.7949,1486662702544
6,4,2,0.3,1,0,5,148.4285,1486662706173,-1,-1,147.8949,1486662705643
6,5,2,0.3,1,1,7,151.5284,1486662709273,153.1956,1486662710941,150.9618,1486662708711
6,6,2,0.3,1,0,0,154.562,1486662712307,-1,-1,154.0287,1486662711777
6,7,2,0.3,1,2,5,157.5955,1486662715341,-1,-1,157.0621,1486662714810
6,8,2,0.3,1,1,0,160.6624,1486662718407,161.7625,1486662719508,160.0957,1486662717843
6,9,2,0.3,1,1,5,163.7292,1486662721474,164.7296,1486662722475,163.1625,1486662720911
6,10,2,0.3,1,2,5,166.7627,1486662724508,-1,-1,166.2299,1486662723978
6,11,2,0.3,1,0,3,169.8296,1486662727575,-1,-1,169.2633,1486662727011
6,12,2,0.3,1,2,3,172.863,1486662730608,-1,-1,172.3297,1486662730077
6,13,2,0.3,1,2,5,175.8971,1486662733642,-1,-1,175.3632,1486662733110
6,14,2,0.3,1,0,2,178.9968,1486662736742,-1,-1,178.4299,1486662736178
6,15,2,0.3,1,0,4,182.0306,1486662739776,-1,-1,181.4969,1486662739246
6,16,2,0.3,1,1,2,185.1304,1486662742876,186.2639,1486662744009,184.5637,1486662742313
6,17,2,0.3,1,0,1,188.1642,1486662745909,-1,-1,187.6305,1486662745378
6,18,2,0.3,1,1,2,191.264,1486662749009,192.3311,1486662750076,190.6974,1486662748445
6,19,2,0.3,1,0,0,194.2976,1486662752043,-1,-1,193.7642,1486662751511
6,20,2,0.3,0,2,1,197.3315,1486662755077,198.3651,1486662756110,196.7977,1486662754547
6,21,2,0.3,1,1,0,200.4313,1486662758176,201.5315,1486662759277,199.8645,1486662757613
6,22,2,0.3,1,0,5,203.4651,1486662761210,-1,-1,202.9319,1486662760679
6,1,2,0,1,3,1,208.3484,1486662766093,-1,-1,207.8153,1486662765561
6,2,2,0,1,3,2,211.4152,1486662769160,-1,-1,210.8485,1486662768599
6,3,2,0,0,1,1,214.4492,1486662772194,-1,-1,213.9153,1486662771663
6,4,2,0,1,0,0,217.5162,1486662775261,-1,-1,216.9822,1486662774730
6,5,2,0,0,0,4,220.583,1486662778328,221.2491,1486662778995,220.0491,1486662777797
6,6,2,0,1,0,7,223.6495,1486662781395,-1,-1,223.1158,1486662780864
6,7,2,0,0,1,4,226.7494,1486662784494,-1,-1,226.1827,1486662783931
6,8,2,0,0,1,7,229.783,1486662787528,-1,-1,229.2501,1486662786998
6,9,2,0,1,0,6,232.8167,1486662790562,-1,-1,232.2831,1486662790031
6,10,2,0,1,0,1,235.85,1486662793595,-1,-1,235.3497,1486662793097
6,11,2,0,1,0,5,238.9169,1486662796662,-1,-1,238.3501,1486662796099
6,12,2,0,1,1,1,241.9835,1486662799728,242.7838,1486662800529,241.4175,1486662799166
6,13,2,0,1,1,5,245.0172,1486662802762,245.5505,1486662803296,244.4838,1486662802232
6,14,2,0,1,0,2,248.0507,1486662805796,-1,-1,247.5173,1486662805265
6,15,2,0,1,0,7,251.0841,1486662808829,-1,-1,250.5508,1486662808299
6,16,2,0,1,0,6,254.1182,1486662811863,-1,-1,253.5842,1486662811332
6,17,2,0,0,0,4,257.1844,1486662814930,257.5186,1486662815264,256.6511,1486662814399
6,18,2,0,1,0,1,260.2181,1486662817963,-1,-1,259.7178,1486662817467
6,19,2,0,1,0,3,263.3181,1486662821063,-1,-1,262.7515,1486662820499
6,20,2,0,1,0,7,266.3517,1486662824097,-1,-1,265.8182,1486662823566
6,21,2,0,1,1,3,269.4185,1486662827163,269.8855,1486662827631,268.8521,1486662826601
6,22,2,0,1,0,0,272.4525,1486662830197,-1,-1,271.9189,1486662829666
6,1,2,0.3,1,3,4,284.3193,1486662842064,-1,-1,283.7859,1486662841532
6,2,2,0.3,1,3,1,287.3528,1486662845098,-1,-1,286.8195,1486662844567
6,3,2,0.3,1,1,4,290.3865,1486662848132,291.2196,1486662848965,289.8529,1486662847601
6,4,2,0.3,1,2,4,293.4865,1486662851231,-1,-1,292.9198,1486662850668
6,5,2,0.3,1,0,3,296.5533,1486662854298,-1,-1,295.9867,1486662853734
6,6,2,0.3,1,0,2,299.5872,1486662857332,-1,-1,299.0535,1486662856803
6,7,2,0.3,1,0,7,302.6537,1486662860399,-1,-1,302.1204,1486662859868
6,8,2,0.3,1,2,7,305.7205,1486662863465,-1,-1,305.1538,1486662862901
6,9,2,0.3,1,2,2,308.7875,1486662866532,-1,-1,308.2207,1486662865968
6,10,2,0.3,1,1,7,311.8541,1486662869599,312.5209,1486662870267,311.2876,1486662869035
6,11,2,0.3,1,2,7,314.8877,1486662872633,-1,-1,314.3544,1486662872103
6,12,2,0.3,1,0,5,317.9215,1486662875667,-1,-1,317.3878,1486662875135
6,13,2,0.3,1,2,2,320.9882,1486662878733,-1,-1,320.4547,1486662878201
6,14,2,0.3,1,1,5,324.0548,1486662881800,324.6885,1486662882434,323.4884,1486662881236
6,15,2,0.3,1,2,7,327.089,1486662884834,-1,-1,326.5554,1486662884303
6,16,2,0.3,0,1,5,330.1553,1486662887900,-1,-1,329.6219,1486662887370
6,17,2,0.3,1,1,7,333.2554,1486662891000,334.2556,1486662892001,332.6887,1486662890437
6,18,2,0.3,1,0,4,336.3223,1486662894067,-1,-1,335.7555,1486662893503
6,19,2,0.3,1,1,7,339.389,1486662897135,340.9225,1486662898668,338.8224,1486662896571
6,20,2,0.3,1,0,3,342.4559,1486662900201,-1,-1,341.8892,1486662899637
6,21,2,0.3,1,0,0,345.4564,1486662903201,-1,-1,344.9561,1486662902703
6,22,2,0.3,1,0,5,348.5229,1486662906268,-1,-1,347.9896,1486662905738
6,1,2,0,1,3,7,353.0571,1486662910802,-1,-1,352.49,1486662910236
6,2,2,0,1,3,6,356.1234,1486662913868,-1,-1,355.59,1486662913337
6,3,2,0,1,1,7,359.157,1486662916902,360.3903,1486662918136,358.6235,1486662916371
6,4,2,0,1,0,5,362.2238,1486662919969,-1,-1,361.6571,1486662919406
6,5,2,0,1,1,7,365.2573,1486662923002,366.2246,1486662923970,364.7239,1486662922472
6,6,2,0,1,0,1,368.3241,1486662926070,-1,-1,367.7574,1486662925505
6,7,2,0,1,0,2,371.3909,1486662929136,-1,-1,370.8242,1486662928572
6,8,2,0,1,0,3,374.4244,1486662932169,-1,-1,373.891,1486662931639
6,9,2,0,1,1,2,377.4941,1486662935239,378.5247,1486662936270,376.9246,1486662934672
6,10,2,0,1,1,3,380.5914,1486662938336,381.3917,1486662939137,380.0247,1486662937774
6,11,2,0,1,0,0,383.6583,1486662941403,-1,-1,383.0917,1486662940839
6,12,2,0,1,0,7,386.7583,1486662944503,-1,-1,386.1917,1486662943939
6,13,2,0,1,0,1,389.8252,1486662947570,-1,-1,389.2587,1486662947007
6,14,2,0,0,1,7,392.8923,1486662950637,-1,-1,392.3254,1486662950073
6,15,2,0,1,0,2,395.9928,1486662953738,-1,-1,395.4257,1486662953175
6,16,2,0,1,0,6,399.0924,1486662956837,-1,-1,398.5258,1486662956273
6,17,2,0,1,0,5,402.1259,1486662959871,-1,-1,401.5925,1486662959340
6,18,2,0,1,1,6,405.1927,1486662962938,406.2599,1486662964005,404.6262,1486662962374
6,19,2,0,1,0,7,408.2596,1486662966005,-1,-1,407.6931,1486662965440
6,20,2,0,1,0,4,411.3265,1486662969072,-1,-1,410.7598,1486662968507
6,21,2,0,1,0,2,414.3933,1486662972138,-1,-1,413.86,1486662971610
6,22,2,0,1,0,5,417.4601,1486662975205,-1,-1,416.8934,1486662974642
6,1,2,0.3,1,3,1,421.7937,1486662979539,-1,-1,421.2607,1486662979006
6,2,2,0.3,1,3,2,424.8611,1486662982606,-1,-1,424.2939,1486662982042
6,3,2,0.3,1,2,2,427.9607,1486662985706,-1,-1,427.394,1486662985143
6,4,2,0.3,1,0,1,430.9943,1486662988739,-1,-1,430.4608,1486662988209
6,5,2,0.3,1,1,2,434.061,1486662991806,434.8619,1486662992607,433.4946,1486662991242
6,6,2,0.3,0,2,2,437.1278,1486662994873,438.5616,1486662996307,436.5612,1486662994309
6,7,2,0.3,1,0,6,440.1614,1486662997906,-1,-1,439.6281,1486662997376
6,8,2,0.3,1,0,0,443.1949,1486663000940,-1,-1,442.6615,1486663000410
6,9,2,0.3,1,1,6,446.229,1486663003974,447.3621,1486663005107,445.6951,1486663003444
6,10,2,0.3,1,0,5,449.2953,1486663007040,-1,-1,448.762,1486663006510
6,11,2,0.3,1,0,2,452.3287,1486663010074,-1,-1,451.7954,1486663009544
6,12,2,0.3,1,1,5,455.3623,1486663013107,456.2959,1486663014041,454.8289,1486663012577
6,13,2,0.3,1,2,5,458.3958,1486663016141,-1,-1,457.8624,1486663015611
6,14,2,0.3,1,2,2,461.4294,1486663019175,-1,-1,460.8959,1486663018645
6,15,2,0.3,1,2,2,464.53,1486663022275,-1,-1,463.9628,1486663021711
6,16,2,0.3,1,1,2,467.6301,1486663025375,468.3966,1486663026142,467.063,1486663024810
6,17,2,0.3,1,2,5,470.6968,1486663028442,-1,-1,470.1631,1486663027911
6,18,2,0.3,1,0,6,473.7966,1486663031542,-1,-1,473.23,1486663030978
6,19,2,0.3,1,0,1,476.8302,1486663034575,-1,-1,476.2969,1486663034044
6,20,2,0.3,1,1,6,479.8638,1486663037609,480.7303,1486663038476,479.3303,1486663037080
6,21,2,0.3,1,0,3,482.9305,1486663040675,-1,-1,482.3972,1486663040145
6,22,2,0.3,1,1,6,485.9973,1486663043742,486.7311,1486663044476,485.4307,1486663043178
6,1,2,0,1,3,6,490.631,1486663048376,-1,-1,490.0645,1486663047810
6,2,2,0,1,3,1,493.6649,1486663051410,-1,-1,493.1311,1486663050881
6,3,2,0,1,0,4,496.7646,1486663054510,-1,-1,496.1979,1486663053946
6,4,2,0,0,0,2,499.8315,1486663057577,501.9318,1486663059677,499.2653,1486663057013
6,5,2,0,0,0,3,502.9316,1486663060677,503.4653,1486663061210,502.3649,1486663060113
6,6,2,0,1,1,2,505.9989,1486663063744,506.9323,1486663064677,505.4319,1486663063179
6,7,2,0,1,0,0,509.0653,1486663066810,-1,-1,508.5321,1486663066281
6,8,2,0,0,1,2,512.0988,1486663069844,-1,-1,511.5654,1486663069313
6,9,2,0,1,0,6,515.1656,1486663072911,-1,-1,514.599,1486663072347
6,10,2,0,1,0,5,518.2324,1486663075977,-1,-1,517.6658,1486663075414
6,11,2,0,1,0,3,521.2661,1486663079011,-1,-1,520.7327,1486663078480
6,12,2,0,1,0,7,524.3661,1486663082111,-1,-1,523.7994,1486663081547
6,13,2,0,0,1,3,527.433,1486663085178,-1,-1,526.8663,1486663084615
6,14,2,0,0,1,7,530.4666,1486663088212,-1,-1,529.9331,1486663087681
6,15,2,0,1,0,2,533.5333,1486663091278,-1,-1,532.9667,1486663090714
6,16,2,0,1,0,6,536.5669,1486663094312,-1,-1,536.0334,1486663093782
6,17,2,0,1,0,0,539.6008,1486663097346,-1,-1,539.067,1486663096815
