%Recollect Version 2.3. Scene/Level: , Session: 15, GameNumber: 0
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:Algorithm Condition,Trial Number,Current N Level,Lure Rate,Is Correct,Stimulus Type,Stimulus Color,Presentation Time (R),Presentation Time (A),Response Time (R),Response Time (A),Expire Time (R),Expire Time (A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
5,1,4,0.3,1,3,4,1.586792,1487180478442,-1,-1,1.020508,1487180477877
5,2,4,0.3,1,3,1,4.653687,1487180481509,-1,-1,4.087036,1487180480945
5,3,4,0.3,1,3,6,7.687256,1487180484542,-1,-1,7.153931,1487180484012
5,4,4,0.3,1,3,3,10.75403,1487180487609,-1,-1,10.18787,1487180487046
5,5,4,0.3,1,0,5,13.78821,1487180490644,-1,-1,13.25427,1487180490113
5,6,4,0.3,1,1,1,16.8877,1487180493743,17.38782,1487180494243,16.32104,1487180493179
5,7,4,0.3,1,0,7,19.92126,1487180496777,-1,-1,19.38782,1487180496246
5,8,4,0.3,1,2,1,22.98865,1487180499844,-1,-1,22.42139,1487180499279
5,9,4,0.3,1,1,5,26.05493,1487180502910,26.65515,1487180503511,25.52148,1487180502380
5,10,4,0.3,1,0,0,29.15515,1487180506010,-1,-1,28.58838,1487180505447
5,11,4,0.3,1,0,2,32.1886,1487180509044,-1,-1,31.65527,1487180508514
5,12,4,0.3,1,2,7,35.25537,1487180512111,-1,-1,34.68872,1487180511547
5,13,4,0.3,1,0,6,38.28906,1487180515144,-1,-1,37.75549,1487180514613
5,14,4,0.3,1,1,0,41.38904,1487180518244,42.02246,1487180518878,40.82239,1487180517681
5,15,4,0.3,1,2,7,44.42273,1487180521278,-1,-1,43.8894,1487180520747
5,16,4,0.3,1,2,0,47.52283,1487180524378,-1,-1,46.95654,1487180523815
5,17,4,0.3,1,1,6,50.55627,1487180527412,51.15662,1487180528012,50.02295,1487180526881
5,18,4,0.3,1,1,0,53.62317,1487180530478,54.15649,1487180531012,53.0564,1487180529915
5,19,4,0.3,1,0,4,56.68994,1487180533545,-1,-1,56.12329,1487180532981
5,20,4,0.3,1,2,6,59.72363,1487180536579,-1,-1,59.19006,1487180536049
5,21,4,0.3,1,1,6,62.82373,1487180539679,63.49023,1487180540346,62.25696,1487180539116
5,1,5,0.3,1,3,1,66.99048,1487180543846,-1,-1,66.42383,1487180543280
5,2,5,0.3,1,3,4,70.02405,1487180546879,-1,-1,69.49133,1487180546349
5,3,5,0.3,1,3,3,73.09106,1487180549946,-1,-1,72.52417,1487180549382
5,4,5,0.3,1,3,2,76.19104,1487180553046,-1,-1,75.62476,1487180552483
5,5,5,0.3,1,3,0,79.22449,1487180556080,-1,-1,78.69116,1487180555551
5,6,5,0.3,1,0,0,82.25806,1487180559113,-1,-1,81.72473,1487180558582
5,7,5,0.3,1,2,3,85.2915,1487180562147,-1,-1,84.75818,1487180561616
5,8,5,0.3,1,0,5,88.32507,1487180565180,-1,-1,87.79163,1487180564650
5,9,5,0.3,1,0,5,91.35876,1487180568214,-1,-1,90.8252,1487180567684
5,10,5,0.3,1,1,0,94.42542,1487180571281,94.95874,1487180571814,93.89209,1487180570751
5,11,5,0.3,1,0,7,97.49243,1487180574348,-1,-1,96.92554,1487180573785
5,12,5,0.3,1,0,4,100.5925,1487180577448,-1,-1,100.0261,1487180576884
5,13,5,0.3,1,0,6,103.626,1487180580481,-1,-1,103.0927,1487180579950
5,14,5,0.3,1,2,7,106.6594,1487180583515,-1,-1,106.1261,1487180582984
5,15,5,0.3,1,1,0,109.693,1487180586548,110.2933,1487180587149,109.1595,1487180586017
5,16,5,0.3,1,2,5,112.7269,1487180589582,-1,-1,112.1934,1487180589052
5,17,5,0.3,1,0,3,115.8267,1487180592682,-1,-1,115.2599,1487180592118
5,18,5,0.3,1,1,6,118.8934,1487180595749,119.4939,1487180596350,118.3268,1487180595185
5,19,5,0.3,1,2,5,121.927,1487180598782,-1,-1,121.3937,1487180598251
5,20,5,0.3,1,2,7,124.9939,1487180601849,-1,-1,124.4271,1487180601286
5,21,5,0.3,1,1,5,128.0607,1487180604916,128.6941,1487180605550,127.5272,1487180604386
5,22,5,0.3,1,2,0,131.0942,1487180607950,-1,-1,130.5608,1487180607419
5,23,5,0.3,1,0,2,134.1278,1487180610983,-1,-1,133.5944,1487180610452
5,24,5,0.3,1,1,5,137.1951,1487180614050,137.8287,1487180614684,136.6611,1487180613519
5,25,5,0.3,1,1,7,140.2614,1487180617117,140.7947,1487180617650,139.7279,1487180616586
5,1,6,0.3,1,3,5,144.4453,1487180621301,-1,-1,143.8784,1487180620735
5,2,6,0.3,1,3,4,147.5117,1487180624367,-1,-1,146.9784,1487180623838
5,3,6,0.3,1,3,3,150.5453,1487180627401,-1,-1,150.0118,1487180626871
5,4,6,0.3,1,3,6,153.5787,1487180630434,-1,-1,153.0455,1487180629903
5,5,6,0.3,1,3,1,156.6129,1487180633468,-1,-1,156.0789,1487180632937
5,6,6,0.3,1,3,2,159.6791,1487180636534,-1,-1,159.1458,1487180636004
5,7,6,0.3,1,2,4,162.7126,1487180639568,-1,-1,162.1792,1487180639038
5,8,6,0.3,1,1,4,165.7794,1487180642635,166.3796,1487180643235,165.2128,1487180642071
5,9,6,0.3,1,2,4,168.813,1487180645668,-1,-1,168.2795,1487180645137
5,10,6,0.3,1,0,5,171.8464,1487180648702,-1,-1,171.3131,1487180648172
5,11,6,0.3,1,2,3,174.9133,1487180651769,-1,-1,174.3466,1487180651205
5,12,6,0.3,1,1,2,177.9468,1487180654802,178.4469,1487180655302,177.4135,1487180654273
5,13,6,0.3,1,0,6,180.9803,1487180657836,-1,-1,180.4469,1487180657306
5,14,6,0.3,1,2,2,184.0471,1487180660902,-1,-1,183.5137,1487180660371
5,15,6,0.3,1,1,4,187.0807,1487180663936,187.881,1487180664737,186.5479,1487180663405
5,16,6,0.3,1,1,5,190.1475,1487180667003,190.781,1487180667637,189.5812,1487180666439
5,17,6,0.3,1,2,2,193.181,1487180670036,-1,-1,192.6476,1487180669506
5,18,6,0.3,1,1,2,196.2146,1487180673070,196.7482,1487180673604,195.6812,1487180672540
5,19,6,0.3,1,2,4,199.2479,1487180676103,-1,-1,198.7147,1487180675573
5,20,6,0.3,1,1,2,202.2815,1487180679137,202.7815,1487180679637,201.7482,1487180678606
5,1,7,0.3,1,3,3,206.3817,1487180683237,-1,-1,205.8483,1487180682705
5,2,7,0.3,1,3,7,209.4487,1487180686304,-1,-1,208.8818,1487180685740
5,3,7,0.3,1,3,4,212.5155,1487180689371,-1,-1,211.9821,1487180688842
5,4,7,0.3,1,3,5,215.549,1487180692404,-1,-1,215.0156,1487180691873
5,5,7,0.3,1,3,6,218.6162,1487180695472,-1,-1,218.0491,1487180694907
5,6,7,0.3,1,3,2,221.7162,1487180698571,-1,-1,221.1492,1487180698007
5,7,7,0.3,1,3,0,224.7827,1487180701638,-1,-1,224.2167,1487180701074
5,8,7,0.3,1,0,2,227.8163,1487180704672,-1,-1,227.283,1487180704142
5,9,7,0.3,1,2,5,230.8832,1487180707738,-1,-1,230.3164,1487180707175
5,10,7,0.3,1,1,4,233.9166,1487180710772,234.4836,1487180711339,233.3833,1487180710241
5,11,7,0.3,1,1,5,236.9834,1487180713839,237.4836,1487180714339,236.4167,1487180713275
5,12,7,0.3,1,1,6,240.017,1487180716872,240.584,1487180717440,239.4835,1487180716343
5,13,7,0.3,1,0,7,243.0504,1487180719906,-1,-1,242.5172,1487180719376
5,14,7,0.3,1,0,3,246.0841,1487180722939,-1,-1,245.5507,1487180722408
