%Recollect Version 2.3; iPad: ; User: Rlb101; Session: 20
%Span:2,Continent,Difficulty,Game Number,Highest Span Length Achieved,Current Span Length
%NBack:4,Game Number,Scene/Level Played,Highest N Level Achieved,Current N Level
%MultiObject:8,Continent,Difficulty,Game Number,Highest Number of Concurrent Bugs,Current Number of Concurrent Bugs
%LameBack:32,Algorithm,Session,GameNumber,Accuracy,EndingNLevel,HighestNLevel,BayesianEstimates
32,5,20,0,1,6,9,algoNotBayesian
32,5,20,0,0.7272727,7,9,algoNotBayesian
32,5,20,0,0.7142857,6,9,algoNotBayesian
32,5,20,0,0.5714286,6,9,algoNotBayesian
32,5,20,0,1,5,9,algoNotBayesian
32,5,20,0,0.8571429,6,9,algoNotBayesian
32,5,20,0,0.8888889,7,9,algoNotBayesian
32,5,20,0,0,8,9,algoNotBayesian
32,5,20,0,0.7142857,7,9,algoNotBayesian
32,5,20,0,0.5,6,9,algoNotBayesian
32,5,20,0,0.9,5,9,algoNotBayesian
32,5,20,0,0.6428571,6,9,algoNotBayesian
32,5,20,0,0.6666667,6,9,algoNotBayesian
32,5,21,0,0.8461539,4,9,algoNotBayesian
32,5,21,0,0.5714286,4,9,algoNotBayesian
32,5,21,0,1,3,9,algoNotBayesian
32,5,21,0,1,4,9,algoNotBayesian
32,5,21,0,0.6666667,5,9,algoNotBayesian
32,5,21,0,1,4,9,algoNotBayesian
32,5,21,0,0.9,5,9,algoNotBayesian
32,5,21,0,1,6,9,algoNotBayesian
32,5,21,0,0.7333333,7,9,algoNotBayesian
32,5,21,0,1,7,9,algoNotBayesian
32,5,21,0,0,8,9,algoNotBayesian
32,5,21,0,0.25,7,9,algoNotBayesian
32,5,21,0,0,6,9,algoNotBayesian
32,5,21,0,0.7692308,5,9,algoNotBayesian
32,5,21,0,1,5,9,algoNotBayesian
32,5,21,0,1,6,9,algoNotBayesian
32,5,21,0,0.7272727,7,9,algoNotBayesian
