%Recollect Version 2.3. Scene/Level: , Session: 15, GameNumber: 0
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:Algorithm Condition,Trial Number,Current N Level,Lure Rate,Is Correct,Stimulus Type,Stimulus Color,Presentation Time (R),Presentation Time (A),Response Time (R),Response Time (A),Expire Time (R),Expire Time (A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
3,1,2,0.3,1,3,2,0.75354,1487179992992,-1,-1,0.1866455,1487179992426
3,2,2,0.3,1,3,0,3.787109,1487179996026,-1,-1,3.253662,1487179995495
3,3,2,0.3,1,2,0,6.853882,1487179999092,-1,-1,6.320923,1487179998562
3,4,2,0.3,1,2,1,9.887939,1487180002126,-1,-1,9.354004,1487180001596
3,5,2,0.3,1,1,0,12.95422,1487180005193,13.9209,1487180006160,12.42114,1487180004663
3,6,2,0.3,1,1,1,16.021,1487180008260,16.88794,1487180009127,15.45435,1487180007696
3,7,2,0.3,1,0,2,19.05457,1487180011293,-1,-1,18.52112,1487180010763
3,8,2,0.3,1,0,3,22.08813,1487180014327,-1,-1,21.55469,1487180013796
3,9,2,0.3,1,0,0,25.15491,1487180017393,-1,-1,24.5885,1487180016830
3,10,2,0.3,1,1,3,28.18896,1487180020428,29.1554,1487180021394,27.65503,1487180019898
3,11,2,0.3,1,1,0,31.25586,1487180023494,32.12219,1487180024361,30.7218,1487180022963
3,12,2,0.3,1,1,3,34.32202,1487180026561,35.08875,1487180027328,33.7887,1487180026030
3,13,2,0.3,1,0,1,37.35559,1487180029594,-1,-1,36.82214,1487180029064
3,14,2,0.3,1,2,0,40.42236,1487180032661,-1,-1,39.85571,1487180032097
3,15,2,0.3,1,2,3,43.48962,1487180035728,-1,-1,42.92249,1487180035165
3,16,2,0.3,1,0,2,46.55603,1487180038795,-1,-1,46.02258,1487180038264
3,17,2,0.3,1,0,1,49.5896,1487180041828,-1,-1,49.05615,1487180041297
3,18,2,0.3,1,2,1,52.65637,1487180044895,-1,-1,52.08972,1487180044331
3,19,2,0.3,1,0,0,55.68994,1487180047929,-1,-1,55.15662,1487180047398
3,20,2,0.3,1,0,2,58.72339,1487180050962,-1,-1,58.19006,1487180050431
3,21,2,0.3,1,2,1,61.75696,1487180053996,-1,-1,61.22363,1487180053465
3,22,2,0.3,1,1,2,64.79041,1487180057029,65.85754,1487180058096,64.25745,1487180056498
3,1,3,0.3,1,3,1,83.17542,1487180075414,-1,-1,82.64148,1487180074880
3,2,3,0.3,1,3,2,86.2417,1487180078480,-1,-1,85.70862,1487180077950
3,3,3,0.3,1,3,0,89.30859,1487180081547,-1,-1,88.74182,1487180080983
3,4,3,0.3,1,0,0,92.37537,1487180084614,-1,-1,91.84192,1487180084083
3,5,3,0.3,1,2,0,95.40942,1487180087648,-1,-1,94.87573,1487180087117
3,6,3,0.3,1,1,0,98.47693,1487180090716,99.70923,1487180091948,97.94238,1487180090183
3,7,3,0.3,1,0,2,101.5759,1487180093815,-1,-1,101.0093,1487180093250
3,8,3,0.3,1,2,2,104.6096,1487180096848,-1,-1,104.076,1487180096318
3,9,3,0.3,1,2,2,107.7095,1487180099948,-1,-1,107.1428,1487180099386
3,10,3,0.3,1,0,3,110.743,1487180102982,-1,-1,110.2097,1487180102451
3,11,3,0.3,1,2,3,113.7767,1487180106015,-1,-1,113.2437,1487180105485
3,12,3,0.3,1,1,2,116.8767,1487180109115,118.0436,1487180110282,116.3099,1487180108551
3,13,3,0.3,1,0,0,119.9435,1487180112182,-1,-1,119.3768,1487180111618
3,14,3,0.3,1,0,1,123.0104,1487180115249,-1,-1,122.4438,1487180114685
3,15,3,0.3,1,1,2,126.0771,1487180118316,127.0442,1487180119283,125.5105,1487180117752
3,16,3,0.3,1,0,3,129.144,1487180121383,-1,-1,128.5774,1487180120819
3,17,3,0.3,1,0,3,132.2109,1487180124449,-1,-1,131.6442,1487180123885
3,18,3,0.3,1,0,0,135.2445,1487180127483,-1,-1,134.7111,1487180126953
3,19,3,0.3,1,1,3,138.3113,1487180130550,139.9454,1487180132184,137.778,1487180130020
3,20,3,0.3,1,1,3,141.3455,1487180133584,142.1115,1487180134350,140.8114,1487180133053
3,21,3,0.3,1,2,3,144.4117,1487180136650,-1,-1,143.8783,1487180136120
3,22,3,0.3,1,2,0,147.5117,1487180139750,-1,-1,146.9451,1487180139186
3,23,3,0.3,1,1,3,150.5786,1487180142817,151.5458,1487180143785,150.0118,1487180142253
3,1,4,0.3,1,3,2,168.913,1487180161152,-1,-1,168.3798,1487180160619
3,2,4,0.3,1,3,3,171.9799,1487180164218,-1,-1,171.4131,1487180163656
3,3,4,0.3,1,3,0,175.0466,1487180167285,-1,-1,174.48,1487180166721
3,4,4,0.3,1,3,1,178.1135,1487180170352,-1,-1,177.5468,1487180169788
3,5,4,0.3,1,1,2,181.1471,1487180173386,182.3141,1487180174553,180.6136,1487180172855
3,6,4,0.3,1,1,3,184.2139,1487180176453,185.3473,1487180177586,183.6804,1487180175922
3,7,4,0.3,1,0,2,187.2474,1487180179486,-1,-1,186.714,1487180178955
3,8,4,0.3,1,0,3,190.3143,1487180182553,-1,-1,189.7476,1487180181989
3,9,4,0.3,1,0,0,193.4148,1487180185653,-1,-1,192.8477,1487180185090
3,10,4,0.3,1,1,3,196.4812,1487180188720,197.4482,1487180189687,195.9481,1487180188189
3,11,4,0.3,1,1,2,199.5481,1487180191787,200.7489,1487180192988,198.9813,1487180191222
3,12,4,0.3,1,0,1,202.5815,1487180194820,-1,-1,202.0488,1487180194290
3,13,4,0.3,1,2,3,205.6484,1487180197887,-1,-1,205.0817,1487180197323
3,14,4,0.3,1,2,0,208.7487,1487180200987,-1,-1,208.1819,1487180200423
3,15,4,0.3,1,2,3,211.8154,1487180204054,-1,-1,211.2489,1487180203490
3,16,4,0.3,1,2,2,214.8822,1487180207121,-1,-1,214.3156,1487180206558
3,17,4,0.3,1,1,3,217.9159,1487180210155,218.7161,1487180210955,217.3823,1487180209624
3,18,4,0.3,1,0,1,220.9829,1487180213222,-1,-1,220.4495,1487180212690
3,19,4,0.3,1,2,2,224.0494,1487180216288,-1,-1,223.516,1487180215758
3,20,4,0.3,1,1,2,227.1162,1487180219356,227.9833,1487180220222,226.5496,1487180218793
3,21,4,0.3,1,2,2,230.1498,1487180222389,-1,-1,229.6163,1487180221858
3,22,4,0.3,1,0,0,233.2166,1487180225455,-1,-1,232.6499,1487180224892
3,23,4,0.3,1,0,3,236.2833,1487180228522,-1,-1,235.7167,1487180227958
3,24,4,0.3,1,0,1,239.317,1487180231556,-1,-1,238.7836,1487180231025
3,1,5,0.3,1,3,1,257.718,1487180249957,-1,-1,257.1512,1487180249390
