%Recollect Version 2.3. Scene/Level: , Game Number: 002
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1486141621186,1486141624187,1486141643057
1,G4,G,4,1486141644587,1486141647588,1486141651842
2,3W5,W,35,1486141653371,1486141657872,1486141663330
3,T7L,LT,7,1486141664854,1486141669356,1486141676123
4,1JA,AJ,1,1486141677655,1486141682157,1486141690822
0,L2,L,2,1486141696656,1486141699658,1486141704957
1,6P,P,6,1486141706490,1486141709492,1486141714096
2,B5,B,5,1486141715624,1486141718625,1486141723224
3,F7L,FL,7,1486141724758,1486141729259,1486141742809
4,R4D,DR,4,1486141744342,1486141748844,1486141755443
5,H18,H,18,1486141756977,1486141761478,1486141767398
6,T9A3,AT,39,1486141768927,1486141774929,1486141785324
7,V1J5,JV,15,1486141786845,1486141792847,1486141799945
8,7N4L,LN,47,1486141801445,1486141807447,1486141819896
9,8D6G1,DG,168,1486141821430,1486141828932,1486141838614
10,K2C7S,CKS,27,1486141840148,1486141847616,1486141866782
11,5P3Y9,P,359,1486141868316,1486141875818,1486141888771
12,M4E7Q2,EMQ,247,1486141890300,1486141899302,1486141922902
13,W8H5F3,HW,35,1486141924436,1486141933437,1486141951875
14,6G9A2S,AGS,269,1486141953404,1486141962406,1486141976705
15,R3B4Z1C,BRSZ,134,1486141978239,1486141988741,1486142005240
16,5T9B4K3,K,459,1486142006774,1486142017276,1486142037341
17,E1H8R4D,EHR,134,1486142038859,1486142049361,1486142073913
