%Recollect Version 2.3. Scene/Level: , Game Number: 006
%NearTransferObject:GameNumber,BlockNumber,TrialNumber,CurrentNLevel,IsCorrect,StimulusType,Image,PresentationTime,ResponseTime,ExpireTime
%Possible values for "Image":RV=0,Truck=1,FireTruck=2,Ambulance=3,Cab=4,Schoolbus=5,Limo=6,Police=7,Blank=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
6,0,1,1,0,3,7,1486144009312,-1,1486144008780
6,0,2,1,1,1,7,1486144012346,1486144013312,1486144011848
6,0,3,1,1,0,6,1486144015412,-1,1486144014882
6,0,4,1,1,0,4,1486144018479,-1,1486144017948
6,0,5,1,1,0,2,1486144021512,-1,1486144020982
6,0,6,1,1,0,3,1486144024546,-1,1486144024016
6,0,7,1,1,0,6,1486144027613,-1,1486144027082
6,0,8,1,1,1,6,1486144030680,1486144031447,1486144030149
6,0,9,1,1,0,7,1486144033747,-1,1486144033216
6,0,10,1,1,1,7,1486144036813,1486144037614,1486144036283
6,0,11,1,1,0,5,1486144039847,-1,1486144039316
6,1,1,1,1,3,6,1486144058348,-1,1486144057849
6,1,2,1,1,1,6,1486144061382,1486144061915,1486144060885
6,1,3,1,1,0,3,1486144064448,-1,1486144063917
6,1,4,1,1,1,3,1486144067449,1486144068149,1486144066951
6,1,5,1,1,0,0,1486144070515,-1,1486144069984
6,1,6,1,1,0,6,1486144073516,-1,1486144073018
6,1,7,1,1,1,6,1486144076583,1486144077317,1486144076052
6,1,8,1,1,0,0,1486144079649,-1,1486144079118
6,1,9,1,1,0,4,1486144082683,-1,1486144082152
6,1,10,1,1,1,4,1486144085750,1486144086417,1486144085219
6,1,11,1,1,0,6,1486144088816,-1,1486144088285
6,1,12,1,1,0,7,1486144091850,-1,1486144091319
6,1,13,1,1,0,3,1486144094884,-1,1486144094353
6,1,14,1,1,0,4,1486144097950,-1,1486144097420
6,1,15,1,1,0,6,1486144100984,-1,1486144100453
6,1,16,1,1,1,6,1486144104018,1486144104884,1486144103486
6,1,17,1,1,0,7,1486144107084,-1,1486144106554
6,1,18,1,1,0,4,1486144110117,-1,1486144109587
6,1,19,1,1,0,1,1486144113151,-1,1486144112621
