%Recollect Version 2.3. Scene/Level: , Session: 23, GameNumber: 23
%D2:Action,Row,Character,TimeOfResponse
1,0,1,1487801182480
1,0,5,1487801185147
-1,0,4,1487801185481
-1,0,4,1487801186280
-1,0,4,1487801187713
1,0,8,1487801190448
1,0,10,1487801191747
1,0,11,1487801192681
1,0,13,1487801193947
1,0,16,1487801195514
1,0,17,1487801196081
1,0,18,1487801196614
1,0,19,1487801197180
1,0,22,1487801198215
2,0,22,1487801199181
1,0,24,1487801200381
9,0,-1,1487801200816
-1,0,25,1487801201214
1,1,1,1487801202514
1,1,8,1487801206281
1,1,9,1487801206714
1,1,10,1487801207314
1,1,12,1487801208215
1,1,15,1487801209881
1,1,17,1487801211315
1,1,19,1487801212282
1,1,26,1487801214848
1,1,29,1487801216448
1,1,31,1487801218182
1,1,33,1487801219949
9,1,-1,1487801221816
1,2,3,1487801224715
1,2,6,1487801226549
1,2,7,1487801227483
1,2,9,1487801228483
1,2,10,1487801229216
1,2,11,1487801230149
1,2,12,1487801230916
1,2,13,1487801231616
1,2,14,1487801232349
1,2,18,1487801233916
1,2,23,1487801235916
1,2,25,1487801237084
1,2,26,1487801237516
1,2,30,1487801239383
1,2,34,1487801240750
1,2,35,1487801241883
1,2,36,1487801242416
9,2,-1,1487801242817
1,3,1,1487801245017
1,3,4,1487801245917
1,3,6,1487801247050
1,3,7,1487801247617
1,3,9,1487801248350
1,3,12,1487801250417
1,3,15,1487801251751
1,3,16,1487801253184
1,3,19,1487801254785
1,3,20,1487801255917
1,3,24,1487801257817
1,3,25,1487801258717
1,3,26,1487801259317
1,3,34,1487801263584
9,3,-1,1487801263818
1,4,1,1487801266418
1,4,4,1487801267451
-1,4,3,1487801269118
1,4,5,1487801270652
1,4,7,1487801271752
1,4,8,1487801273285
1,4,10,1487801274285
1,4,15,1487801276385
1,4,16,1487801277085
1,4,17,1487801277885
1,4,19,1487801278652
1,4,23,1487801280452
1,4,24,1487801281085
1,4,31,1487801284185
9,4,-1,1487801284820
1,5,1,1487801286453
1,5,3,1487801287452
1,5,4,1487801288019
1,5,6,1487801289086
1,5,7,1487801289519
1,5,9,1487801290186
1,5,10,1487801290652
1,5,14,1487801292921
1,5,15,1487801293819
1,5,16,1487801294420
1,5,17,1487801295153
1,5,22,1487801297254
1,5,26,1487801298820
1,5,28,1487801300953
1,5,31,1487801302087
1,5,37,1487801305754
9,5,-1,1487801305821
1,6,0,1487801308854
1,6,3,1487801310720
1,6,5,1487801311587
1,6,6,1487801312188
1,6,8,1487801313354
1,6,9,1487801313787
1,6,10,1487801314388
1,6,13,1487801316021
1,6,14,1487801316521
1,6,15,1487801317354
1,6,17,1487801319088
1,6,19,1487801320187
1,6,24,1487801321955
1,6,29,1487801323689
1,6,31,1487801324688
1,6,32,1487801326355
9,6,-1,1487801326822
1,7,2,1487801329055
1,7,4,1487801330656
1,7,7,1487801331756
1,7,8,1487801332588
1,7,9,1487801334488
1,7,11,1487801335290
1,7,12,1487801335988
1,7,13,1487801336656
1,7,14,1487801337355
1,7,15,1487801337922
1,7,16,1487801338556
1,7,20,1487801340223
2,7,20,1487801340922
1,7,21,1487801342089
1,7,22,1487801343322
1,7,24,1487801344322
1,7,25,1487801345756
9,7,-1,1487801347824
-1,7,29,1487801348256
1,8,3,1487801351090
1,8,4,1487801351824
1,8,6,1487801353556
1,8,11,1487801355756
1,8,14,1487801357024
1,8,15,1487801357590
1,8,22,1487801361123
1,8,23,1487801361657
1,8,24,1487801362623
2,8,24,1487801363923
1,8,24,1487801364590
1,8,25,1487801365090
1,8,27,1487801366991
1,8,29,1487801367857
9,8,-1,1487801368828
-1,8,31,1487801369024
1,9,3,1487801373258
1,9,4,1487801373825
1,9,6,1487801374791
1,9,7,1487801375257
1,9,9,1487801377324
1,9,10,1487801378324
1,9,11,1487801378958
1,9,12,1487801379558
1,9,13,1487801380024
1,9,17,1487801382058
1,9,19,1487801383058
1,9,20,1487801383691
1,9,23,1487801384858
1,9,24,1487801385925
1,9,25,1487801387359
1,9,30,1487801388958
9,9,-1,1487801389826
-1,9,31,1487801390292
1,10,0,1487801391792
1,10,3,1487801393125
1,10,7,1487801394158
1,10,8,1487801394625
1,10,10,1487801395758
1,10,14,1487801397025
1,10,16,1487801398526
1,10,17,1487801399025
1,10,21,1487801401825
1,10,23,1487801403226
1,10,24,1487801403493
1,10,27,1487801405194
1,10,28,1487801407092
1,10,29,1487801407559
1,10,32,1487801409193
2,10,32,1487801410160
1,10,31,1487801410693
9,10,-1,1487801410827
1,11,2,1487801414526
1,11,3,1487801415226
1,11,7,1487801416593
1,11,8,1487801417560
1,11,10,1487801418426
1,11,11,1487801419260
1,11,13,1487801420160
1,11,14,1487801420927
1,11,15,1487801421327
1,11,16,1487801421860
1,11,17,1487801422593
1,11,22,1487801424427
1,11,23,1487801425594
1,11,24,1487801426294
1,11,28,1487801428327
1,11,31,1487801429861
1,11,32,1487801430394
