%Recollect Version 2.3. Scene/Level: , Session: 23, GameNumber: 6
%NearTransferObject:GameNumber,BlockNumber,TrialNumber,CurrentNLevel,IsCorrect,StimulusType,Image,PresentationTime,ResponseTime,ExpireTime
%Possible values for "Image":RV=0,Truck=1,FireTruck=2,Ambulance=3,Cab=4,Schoolbus=5,Limo=6,Police=7,Blank=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
6,0,1,1,0,3,2,1487802240339,-1,1487802239806
6,0,2,1,1,1,2,1487802243406,1487802244406,1487802242876
6,0,3,1,1,0,7,1487802246473,-1,1487802245942
6,0,4,1,1,0,6,1487802249506,-1,1487802248975
6,0,5,1,1,1,6,1487802252573,1487802253273,1487802252043
6,0,6,1,1,0,7,1487802255606,-1,1487802255109
6,0,7,1,1,0,3,1487802258640,-1,1487802258109
6,0,8,1,1,0,5,1487802261674,-1,1487802261143
6,0,9,1,1,0,4,1487802264707,-1,1487802264209
6,0,10,1,1,1,4,1487802267740,1487802268441,1487802267243
6,0,11,1,1,0,6,1487802270774,-1,1487802270244
6,1,1,1,1,3,1,1487802279374,-1,1487802278842
6,1,2,1,1,0,0,1487802282408,-1,1487802281879
6,1,3,1,1,0,6,1487802285475,-1,1487802284944
6,1,4,1,1,0,2,1487802288542,-1,1487802288011
6,1,5,1,1,1,2,1487802291576,1487802292075,1487802291045
6,1,6,1,1,0,7,1487802294642,-1,1487802294111
6,1,7,1,1,0,5,1487802297675,-1,1487802297145
6,1,8,1,1,0,6,1487802300709,-1,1487802300178
6,1,9,1,1,0,2,1487802303743,-1,1487802303212
6,1,10,1,1,0,5,1487802306776,-1,1487802306245
6,1,11,1,0,1,5,1487802309843,-1,1487802309313
6,1,12,1,1,0,4,1487802312910,-1,1487802312380
6,1,13,1,1,1,4,1487802315977,1487802316977,1487802315447
6,1,14,1,1,0,3,1487802319043,-1,1487802318513
6,1,15,1,1,0,7,1487802322077,-1,1487802321546
6,1,16,1,1,1,7,1487802325144,1487802326144,1487802324613
6,1,17,1,1,1,7,1487802328177,1487802329344,1487802327647
6,1,18,1,1,0,5,1487802331211,-1,1487802330680
6,1,19,1,1,0,3,1487802334278,-1,1487802333747
6,1,20,1,1,1,3,1487802337344,1487802338012,1487802336815
6,1,21,1,1,0,4,1487802340378,-1,1487802339848
6,2,1,2,1,3,2,1487802357745,-1,1487802357214
6,2,2,2,1,3,1,1487802360779,-1,1487802360249
6,2,3,2,1,0,4,1487802363846,-1,1487802363316
6,2,4,2,0,0,7,1487802366879,1487802368013,1487802366382
6,2,5,2,1,1,4,1487802369946,1487802370980,1487802369416
6,2,6,2,1,1,7,1487802372980,1487802373847,1487802372482
6,2,7,2,1,0,2,1487802376046,-1,1487802375516
6,2,8,2,1,0,0,1487802379080,-1,1487802378550
6,2,9,2,1,0,3,1487802382114,-1,1487802381617
6,2,10,2,0,1,0,1487802385180,-1,1487802384650
6,2,11,2,1,0,5,1487802388214,-1,1487802387717
6,2,12,2,1,0,7,1487802391247,-1,1487802390717
6,3,1,2,1,3,0,1487802396381,-1,1487802395849
6,3,2,2,1,3,5,1487802399415,-1,1487802398885
6,3,3,2,1,0,2,1487802402481,-1,1487802401950
6,3,4,2,1,0,6,1487802405515,-1,1487802404985
6,3,5,2,1,1,2,1487802408548,1487802409182,1487802408018
6,3,6,2,1,0,0,1487802411582,-1,1487802411051
6,3,7,2,0,1,2,1487802414615,-1,1487802414085
6,3,8,2,1,0,5,1487802417649,-1,1487802417119
6,3,9,2,1,0,4,1487802420716,-1,1487802420185
6,3,10,2,1,1,5,1487802423749,1487802424916,1487802423253
6,3,11,2,0,0,7,1487802426816,1487802428017,1487802426286
6,3,12,2,1,0,2,1487802429850,-1,1487802429319
6,3,13,2,1,0,4,1487802432884,-1,1487802432386
6,3,14,2,1,0,1,1487802435950,-1,1487802435419
6,3,15,2,1,1,4,1487802439017,1487802441218,1487802438486
6,3,16,2,1,0,2,1487802442050,-1,1487802441520
6,3,17,2,1,1,4,1487802445084,1487802446384,1487802444553
6,3,18,2,1,0,5,1487802448150,-1,1487802447620
6,3,19,2,1,0,6,1487802451184,-1,1487802450653
6,3,20,2,1,0,3,1487802454219,-1,1487802453720
6,3,21,2,0,1,6,1487802457254,-1,1487802456754
6,3,22,2,1,0,0,1487802460285,-1,1487802459788
6,4,1,3,1,3,5,1487802471218,-1,1487802470686
6,4,2,3,1,3,2,1487802474252,-1,1487802473722
6,4,3,3,1,3,1,1487802477319,-1,1487802476788
6,4,4,3,1,0,4,1487802480352,-1,1487802479822
6,4,5,3,0,0,5,1487802483386,1487802485486,1487802482855
6,4,6,3,1,0,0,1487802486419,-1,1487802485923
6,4,7,3,1,0,0,1487802489486,-1,1487802488957
6,4,8,3,1,0,6,1487802492520,-1,1487802491989
6,4,9,3,1,0,6,1487802495587,-1,1487802495056
6,4,10,3,1,1,0,1487802498654,1487802499554,1487802498124
6,4,11,3,0,1,6,1487802501687,-1,1487802501189
6,4,12,3,1,1,6,1487802504754,1487802505921,1487802504224
6,4,13,3,0,0,3,1487802507787,1487802508988,1487802507257
6,5,1,3,0,3,7,1487802512254,-1,1487802511722
6,5,2,3,0,3,0,1487802515321,-1,1487802514791
6,5,3,3,0,3,4,1487802518355,-1,1487802517824
6,5,4,3,1,0,1,1487802521388,-1,1487802520858
6,5,5,3,1,0,3,1487802524421,-1,1487802523891
6,5,6,3,0,1,4,1487802527456,-1,1487802526925
6,5,7,3,1,0,7,1487802530489,-1,1487802529991
6,5,8,3,1,0,2,1487802533522,-1,1487802532992
