%Recollect Version 2.3. Scene/Level: , Session: 19, GameNumber: 4
%D2:Row,lastInteractedCharacter,Ht,Ms,FA,CR,Sequence,Responses
0,37,17,0,0,21,bkaaccbfpcnhncmmbemaoapbngdcaeoibmbmhamcbbkgcpea,101111100100010010010101000110001010010000000000
1,38,18,3,0,18,bafeccnadpbkhjfcognbcbamabgjpkceaacbcbafjimgiham,110011010010000100010110110000101101011000000000
2,45,17,4,0,25,aeobccabggbnbcemhngejacaaccfdeaihhbbomikbkamdbco,100111110010100000000101100000100011000010100100
3,32,15,2,0,16,afbcagmmobjcbbcmedofjgcaoabhnabcadclmcnapbcpodmk,101010000101111000000011011001101000000000000000
4,39,16,1,0,23,cfceamabbhpkhcjbfdaefafldcmbgacibgelicdabnhabmca,101010111000010100100100010101101000000100000000
5,36,17,0,0,20,cobhajkbddfdchajmpabebmnkeccaikdcbabagcackmemabk,101010010000101000110100001110001111100000000000
6,38,16,1,0,22,abpnfnmjacffcbfoadpabbcffchebhaocgbgdhancicaakhb,110000001100110010011100010010101010001000000000
7,36,15,1,0,21,aknknfbcmfgcnfpjbgalablcbanhpcdcbajicbaagcjaplbd,100000110000000010101101110001011100100000000000
8,36,19,0,0,18,fbcibaahggcacagfimlbfbchcacbabkmfehecakgkchhkhdb,011011100011110000010110111111000000100000000000
9,46,19,2,0,26,kdbbipamhcinacjlkkgjbcamoacbifbbipchahdkacbcebda,001100100100110000001110011100110010100010100100
10,31,12,1,0,19,cjdghjaeabbomflgkcablegcbgacejmbacjbocmapcnailbc,100000101110000000110001101100010000000000000000
11,35,12,5,0,19,caacbnbebmfdejhjlpagbadccbcdocknfapbappjddaekccb,011010101000000000001101110000000101000000000000
