%Recollect Version 2.3. Scene/Level: , Session: 19, GameNumber: 19
%D2:Action,Row,Character,TimeOfResponse
1,0,0,1487791391185
1,0,2,1487791391784
1,0,3,1487791392285
1,0,4,1487791393151
1,0,5,1487791393618
1,0,6,1487791394252
1,0,9,1487791395318
1,0,13,1487791397152
1,0,16,1487791398085
1,0,19,1487791399885
1,0,22,1487791400585
2,0,22,1487791401552
1,0,21,1487791402019
1,0,23,1487791402585
1,0,27,1487791405052
1,0,28,1487791405752
1,0,32,1487791407186
1,0,34,1487791407985
1,0,37,1487791409186
9,0,-1,1487791410054
-1,0,40,1487791410285
1,1,0,1487791411886
1,1,1,1487791412352
1,1,4,1487791413752
1,1,5,1487791414152
1,1,7,1487791415252
1,1,10,1487791416652
1,1,15,1487791418853
1,1,19,1487791420487
1,1,21,1487791421354
1,1,22,1487791422287
1,1,24,1487791422953
1,1,25,1487791423520
1,1,30,1487791425322
1,1,31,1487791425820
2,1,31,1487791426520
1,1,32,1487791427487
1,1,33,1487791427853
1,1,35,1487791428721
1,1,37,1487791429320
1,1,38,1487791430387
9,1,-1,1487791431055
1,2,0,1487791433388
1,2,3,1487791434320
1,2,5,1487791435620
-1,2,4,1487791436087
2,2,5,1487791436520
1,2,4,1487791436887
1,2,5,1487791437221
1,2,6,1487791437521
1,2,7,1487791438320
1,2,10,1487791439188
1,2,12,1487791439887
1,2,21,1487791443321
1,2,23,1487791444189
1,2,24,1487791444521
1,2,30,1487791446821
1,2,34,1487791448189
1,2,35,1487791448655
1,2,40,1487791449921
1,2,42,1487791450954
1,2,45,1487791452021
9,2,-1,1487791452056
1,3,0,1487791454288
1,3,2,1487791455455
1,3,4,1487791456555
1,3,9,1487791458288
1,3,11,1487791459522
1,3,12,1487791460022
1,3,13,1487791460522
1,3,14,1487791461389
1,3,22,1487791464789
1,3,23,1487791465822
1,3,25,1487791466956
1,3,26,1487791467322
1,3,30,1487791468689
-1,3,29,1487791469656
2,3,30,1487791470089
1,3,29,1487791470389
1,3,30,1487791470656
1,3,32,1487791471856
9,3,-1,1487791473057
1,4,0,1487791475256
1,4,2,1487791475790
1,4,4,1487791477123
1,4,6,1487791477756
1,4,7,1487791478323
1,4,8,1487791478623
1,4,13,1487791480523
1,4,15,1487791481823
1,4,18,1487791483290
1,4,21,1487791484590
1,4,25,1487791486491
1,4,27,1487791487690
1,4,29,1487791488757
1,4,30,1487791490357
1,4,32,1487791490891
1,4,39,1487791493524
9,4,-1,1487791494060
-1,4,40,1487791494158
1,5,0,1487791496591
1,5,2,1487791497157
1,5,4,1487791498058
1,5,7,1487791499225
1,5,12,1487791502392
1,5,14,1487791503291
1,5,18,1487791504791
1,5,19,1487791505658
1,5,21,1487791506458
1,5,26,1487791508458
1,5,27,1487791508958
1,5,28,1487791509893
1,5,32,1487791511958
1,5,33,1487791512526
1,5,34,1487791513325
1,5,35,1487791513758
1,5,36,1487791514391
9,5,-1,1487791515062
-1,5,38,1487791515192
1,6,0,1487791517058
1,6,1,1487791517492
1,6,8,1487791520625
1,6,9,1487791521625
1,6,12,1487791523192
1,6,13,1487791523792
1,6,16,1487791525227
1,6,19,1487791527026
1,6,20,1487791527359
1,6,21,1487791527759
1,6,25,1487791529593
1,6,28,1487791530793
1,6,30,1487791531426
1,6,32,1487791532760
1,6,34,1487791533726
1,6,38,1487791535693
9,6,-1,1487791536061
1,7,0,1487791538660
1,7,6,1487791540527
1,7,7,1487791542194
1,7,16,1487791545427
1,7,18,1487791546227
1,7,20,1487791547027
1,7,21,1487791547694
1,7,23,1487791548727
1,7,24,1487791549194
1,7,25,1487791550094
1,7,29,1487791551728
1,7,32,1487791552661
2,7,32,1487791553427
1,7,31,1487791553727
1,7,32,1487791553994
1,7,33,1487791555461
1,7,36,1487791556727
9,7,-1,1487791557063
-1,7,37,1487791557129
1,8,1,1487791558994
1,8,2,1487791559961
1,8,4,1487791560562
1,8,5,1487791561261
1,8,6,1487791561594
1,8,10,1487791562761
1,8,11,1487791563761
1,8,12,1487791564861
1,8,13,1487791565128
1,8,19,1487791567562
1,8,21,1487791568428
1,8,22,1487791569328
1,8,24,1487791570162
1,8,25,1487791571095
