%Recollect Version 2.3. Scene/Level: , Session: 19, GameNumber: 0
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:Algorithm Condition,Trial Number,Current N Level,Lure Rate,Is Correct,Stimulus Type,Stimulus Color,Presentation Time (R),Presentation Time (A),Response Time (R),Response Time (A),Expire Time (R),Expire Time (A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
6,1,2,0.3,1,3,6,4.854004,1487715096442,-1,-1,4.32019,1487715095909
6,2,2,0.3,1,3,1,7.920776,1487715099509,-1,-1,7.387329,1487715098978
6,3,2,0.3,1,0,7,11.02075,1487715102609,-1,-1,10.45398,1487715102047
6,4,2,0.3,1,0,2,14.0542,1487715105642,-1,-1,13.52087,1487715105112
6,5,2,0.3,1,1,7,17.12097,1487715108709,17.68774,1487715109276,16.55432,1487715108145
6,6,2,0.3,1,2,7,20.18835,1487715111777,-1,-1,19.62122,1487715111212
6,7,2,0.3,1,1,7,23.25806,1487715114846,23.98816,1487715115576,22.72131,1487715114312
6,8,2,0.3,1,1,7,26.3573,1487715117945,26.98853,1487715118577,25.78833,1487715117379
6,9,2,0.3,1,0,4,29.42175,1487715121010,-1,-1,28.88855,1487715120481
6,10,2,0.3,1,2,4,32.4552,1487715124043,-1,-1,31.92188,1487715123513
6,11,2,0.3,1,0,0,35.48877,1487715127077,-1,-1,34.95532,1487715126547
6,12,2,0.3,1,1,4,38.52246,1487715130111,39.22266,1487715130811,37.98938,1487715129580
6,13,2,0.3,1,1,0,41.55579,1487715133144,42.15613,1487715133744,41.02258,1487715132613
6,14,2,0.3,1,1,4,44.58936,1487715136177,45.48987,1487715137078,44.05591,1487715135647
6,15,2,0.3,1,0,3,47.65625,1487715139244,-1,-1,47.0896,1487715138681
6,16,2,0.3,1,2,3,50.7229,1487715142311,-1,-1,50.18945,1487715141780
6,17,2,0.3,1,0,2,53.75647,1487715145345,-1,-1,53.22302,1487715144814
6,18,2,0.3,1,2,4,56.82324,1487715148411,-1,-1,56.25659,1487715147848
6,19,2,0.3,1,2,3,59.85693,1487715151445,-1,-1,59.32336,1487715150914
6,20,2,0.3,1,0,0,62.95703,1487715154545,-1,-1,62.39026,1487715153981
6,21,2,0.3,1,0,1,65.9906,1487715157579,-1,-1,65.45715,1487715157048
6,22,2,0.3,1,2,4,69.02429,1487715160612,-1,-1,68.49109,1487715160082
6,1,2,0.3,1,3,5,87.42505,1487715179013,-1,-1,86.85828,1487715178447
6,2,2,0.3,1,3,0,90.45862,1487715182047,-1,-1,89.92517,1487715181516
6,3,2,0.3,1,1,5,93.52551,1487715185114,94.29236,1487715185881,92.99243,1487715184584
6,4,2,0.3,1,1,0,96.59229,1487715188180,97.29236,1487715188881,96.05884,1487715187649
6,5,2,0.3,1,1,5,99.69263,1487715191281,100.359,1487715191947,99.12561,1487715190716
6,6,2,0.3,1,0,1,102.7592,1487715194347,-1,-1,102.2258,1487715193816
6,7,2,0.3,1,0,4,105.7926,1487715197381,-1,-1,105.2593,1487715196850
6,8,2,0.3,1,0,2,108.8264,1487715200415,-1,-1,108.2931,1487715199883
6,9,2,0.3,1,1,4,111.8929,1487715203481,112.6599,1487715204248,111.3267,1487715202917
6,10,2,0.3,1,0,5,114.9265,1487715206515,-1,-1,114.3931,1487715205984
6,11,2,0.3,1,2,5,117.9601,1487715209548,-1,-1,117.4266,1487715209018
6,12,2,0.3,1,0,1,121.0273,1487715212616,-1,-1,120.4602,1487715212051
6,13,2,0.3,0,2,4,124.0942,1487715215683,125.1277,1487715216716,123.5603,1487715215151
6,14,2,0.3,1,2,5,127.1605,1487715218749,-1,-1,126.6272,1487715218218
6,15,2,0.3,1,1,4,130.1941,1487715221782,131.1277,1487715222716,129.6606,1487715221251
6,16,2,0.3,1,0,0,133.2609,1487715224849,-1,-1,132.6947,1487715224287
6,17,2,0.3,1,0,2,136.3278,1487715227916,-1,-1,135.7611,1487715227352
6,18,2,0.3,1,0,1,139.3612,1487715230949,-1,-1,138.8279,1487715230418
6,19,2,0.3,1,1,2,142.3958,1487715233985,143.1948,1487715234783,141.8613,1487715233452
6,20,2,0.3,1,2,2,145.4622,1487715237050,-1,-1,144.9282,1487715236519
6,21,2,0.3,1,2,1,148.5284,1487715240117,-1,-1,147.9951,1487715239587
6,22,2,0.3,1,2,1,151.5619,1487715243150,-1,-1,151.0286,1487715242621
6,1,2,0.3,1,3,1,168.2133,1487715259801,-1,-1,167.7128,1487715259302
