%Recollect Version 2.0. Scene/Level: nback0_inter, Game Number: 016
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Orange=0,Green=1,Purple=2,Blue=3,White=4,None=5,
0,2,1,0,0,1.11668,1477691674873.51,3.68358,1477691677441.68
0,2,1,0,0,3.61703,1477691677377.31,6.18361,1477691679942.46
0,2,1,0,4,6.11705,1477691679874.76,8.68378,1477691682442.75
0,2,1,0,2,8.61709,1477691682375.66,11.18457,1477691684943.26
0,2,1,0,3,10.88395,1477691684641.96,13.41740,1477691687175.51
0,2,1,1,2,13.38410,1477691687142.48,15.05300,1477691688851.79
0,2,1,0,0,15.88415,1477691689642.1,18.41772,1477691692175.95
0,2,1,0,1,18.38434,1477691692141.47,20.91785,1477691694674.94
0,2,1,0,3,20.61787,1477691694375.5,23.18465,1477691696941.98
0,2,1,0,0,23.11789,1477691696876.79,25.65144,1477691699409.13
0,2,1,0,4,25.61813,1477691699375.65,28.15170,1477691701908.07
0,2,1,0,1,28.11824,1477691701874.69,30.65179,1477691704408
0,2,1,1,4,30.61839,1477691704376.76,32.27301,1477691706042.8
0,2,1,0,0,33.11850,1477691706876.29,35.65205,1477691709408.42
0,2,1,0,3,35.38548,1477691709142.66,37.88547,1477691711642.27
0,3,1,1,0,37.88547,1477691711644.92,39.57300,1477691713346.91
0,3,1,0,2,42.88573,1477691718676.93,45.38599,1477691721177.42
0,3,1,0,3,45.11919,1477691720910.11,47.65266,1477691723442.14
0,3,1,0,1,47.55267,1477691723343.49,50.08614,1477691725877.66
0,3,1,0,0,50.05280,1477691725842.65,52.58629,1477691728377.08
0,3,0,0,2,52.55295,1477691728342.2,54.31300,1477691730109.72
1,231.32890,0.61443,2,56.31300,1477691732109.58
0,2,0,0,3,55.05310,1477691730844.13,56.73300,1477691732543.98
0,2,1,0,3,59.82005,1477691737644.52,62.35355,1477691740178.12
1,259.08900,0.80302,1,63.25301,1477691741080.42
0,2,0,0,0,62.32065,1477691740145.46,64.51300,1477691742343.52
0,2,1,1,3,64.82037,1477691742644,66.47301,1477691744309.81
0,2,1,0,1,67.32056,1477691745144.47,69.85399,1477691747678.06
0,2,1,1,3,69.55396,1477691747378.24,71.23300,1477691749076.97
0,2,1,0,4,72.02075,1477691749844.17,74.55421,1477691752378
0,3,1,1,3,74.52090,1477691752344.88,76.19301,1477691754045.1
0,3,1,0,3,79.52115,1477691759378.46,82.05464,1477691761912.68
0,3,1,0,4,82.02130,1477691761879.11,84.55540,1477691764413.2
0,3,1,0,2,84.28810,1477691764144.68,86.82156,1477691766679.57
0,3,1,0,4,86.78815,1477691766645.85,89.32169,1477691769180.59
0,3,1,1,4,89.28841,1477691769146.74,90.95300,1477691770812.48
0,3,1,1,2,91.78850,1477691771645.23,93.45300,1477691773312.53
0,3,1,0,1,94.02199,1477691773879.83,96.55557,1477691776413.74
0,4,1,1,4,96.65549,1477691776514.51,98.33301,1477691778213.32
0,4,1,0,1,101.42250,1477691783314.74,103.95600,1477691785847.71
0,4,1,0,1,103.92260,1477691785813.76,106.45610,1477691788347.47
0,4,1,0,0,106.42280,1477691788314.51,108.95630,1477691790848.12
0,4,1,0,0,108.78960,1477691790679.92,111.32310,1477691793214.73
0,4,1,0,3,111.28980,1477691793179.49,113.82330,1477691795713.93
0,4,1,1,1,113.78990,1477691795679.26,115.45300,1477691797348.12
0,4,1,0,3,116.29000,1477691798180.61,118.82350,1477691800714.74
0,4,1,1,0,118.79010,1477691800681.3,120.51300,1477691802414.58
0,4,1,0,1,121.05690,1477691802947.59,123.55710,1477691805447.71
0,4,1,0,2,123.55710,1477691805450.18,126.05740,1477691807948.3
0,4,1,0,1,126.05740,1477691807951.23,128.55730,1477691810449.14
0,4,0,1,0,128.55730,1477691810447.83,131.05750,1477691812949.33
0,3,0,0,2,130.79090,1477691812680.16,132.45300,1477691814350.05
0,3,1,0,3,135.72450,1477691819649.67,138.25800,1477691822183.62
0,3,1,0,1,138.22460,1477691822149.47,140.75810,1477691824682.55
0,3,1,0,0,140.72480,1477691824649.75,143.25830,1477691827183.84
0,3,0,0,1,143.22490,1477691827148.91,145.29300,1477691829247.83
0,2,0,0,4,145.49160,1477691829415.66,147.63300,1477691831582.15
0,2,1,0,3,150.49200,1477691836449.63,153.02570,1477691838984.12
0,2,1,0,3,152.99210,1477691838950.41,155.52560,1477691841483.46
0,2,1,0,2,155.22560,1477691841183.83,157.75910,1477691843716.59
0,2,1,0,0,157.72570,1477691843683.03,160.22590,1477691846184.74
0,2,1,0,3,160.22590,1477691846187.92,162.72600,1477691848684.92
0,2,1,0,1,162.72600,1477691848684.37,165.22640,1477691851184.46
0,2,1,1,3,165.19310,1477691851151.19,166.87300,1477691852849.24
0,2,1,0,2,167.69310,1477691853651.05,170.22650,1477691856183.75
0,2,0,0,1,169.95980,1477691855918.02,171.61300,1477691857582.88
0,2,1,1,2,172.45990,1477691858417.78,174.11300,1477691860082.84
0,2,0,0,3,174.96000,1477691860918.9,177.21300,1477691863183.36
0,2,1,1,2,177.46020,1477691863417.74,179.11300,1477691865083.14
0,2,1,0,1,179.69380,1477691865651.66,182.22710,1477691868184.57
1,826.29410,6.23081,0,205.03300,1477691891002.63
