%Recollect Version 2.0. Scene/Level: nback0_intro, Game Number: 001
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Orange=0,Green=1,Purple=2,Blue=3,White=4,None=5,
0,1,0,0,3,1.16675,1477524875171.84,2.83534,1477524876881.41
0,1,0,0,1,3.66689,1477524877671.71,5.33534,1477524879375.3
0,1,0,0,3,6.16704,1477524880171.79,7.89534,1477524881905.15
0,1,0,0,4,8.66715,1477524882671.8,10.37535,1477524884405.23
0,1,1,1,4,10.93396,1477524884938.41,12.67534,1477524886705.34
0,1,0,0,0,13.43420,1477524887438.61,15.13535,1477524889172.07
0,1,0,0,4,15.93437,1477524889938.64,17.59535,1477524891606.16
0,1,0,1,4,18.43434,1477524892438.66,20.96811,1477524894973.36
0,1,0,0,2,20.66785,1477524894672.35,22.43535,1477524896472.72
0,1,0,0,4,23.16814,1477524897172.8,25.03534,1477524899072.47
0,1,1,0,3,25.66806,1477524899672.93,28.20160,1477524902206.68
0,1,1,1,3,28.16817,1477524902173.16,29.81534,1477524903839.59
0,1,0,0,1,30.66882,1477524904673.45,32.31534,1477524906339.62
0,1,0,0,4,1.13318,1477524925740.73,2.81943,1477524927442.95
