%Recollect Version 2.0. Scene/Level: nback1_intro, Game Number: 049
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Orange=0,Green=1,Purple=2,Blue=3,White=4,None=5,
0,2,1,0,3,0.06464,1478537694945.78,1.69562,1478537696567.72
0,2,1,0,1,1.62897,1478537696501.17,4.12909,1478537699001.4
0,2,1,1,3,4.02930,1478537698901.58,5.72846,1478537700603.52
0,2,0,1,1,6.49591,1478537701367.48,9.02942,1478537703901.84
0,2,1,0,0,8.79602,1478537703667.78,11.49615,1478537706367.73
0,2,1,0,3,11.39618,1478537706268,13.92963,1478537708801.55
0,2,1,0,2,13.76294,1478537708634.45,16.39648,1478537711268.29
0,2,1,0,0,16.26312,1478537711134.45,18.79663,1478537713668.36
0,2,1,0,4,18.73071,1478537713602.42,21.23016,1478537716101.98
0,2,1,0,3,21.16339,1478537716034.68,23.69684,1478537718568.57
0,2,1,0,1,23.63025,1478537718502.03,26.16370,1478537721035.05
0,2,1,0,2,26.16370,1478537721034.9,28.69714,1478537723569.05
0,2,1,1,1,28.59711,1478537723468.94,30.26849,1478537725168.7
0,2,1,0,4,31.03064,1478537725903.37,33.59741,1478537728469.59
0,2,1,0,2,33.49731,1478537728369.24,36.03101,1478537730902.79
0,2,1,1,4,35.93085,1478537730802.6,37.58844,1478537732469.69
0,2,0,0,3,38.39771,1478537733270.08,40.04846,1478537734935.92
0,2,1,0,0,40.83118,1478537735703.02,43.36462,1478537738235.88
0,2,1,0,2,43.23132,1478537738103.47,45.79834,1478537740670.48
0,2,1,1,0,45.69806,1478537740569.7,47.42847,1478537742303.58
1,201.81000,0.89719,2,48.92847,1478537743808.43
0,2,1,0,3,48.16498,1478537743036.42,50.69836,1478537745570.49
0,2,1,0,2,50.59839,1478537745470.16,53.13190,1478537748003.65
0,2,1,0,0,53.23187,1478537748104.14,55.76538,1478537750636.57
0,2,1,0,1,55.63202,1478537750503.84,58.16547,1478537753037.21
0,2,1,1,0,58.06549,1478537752936.7,59.78845,1478537754671.3
0,2,1,0,2,60.53241,1478537755404.82,63.06580,1478537757936.97
0,2,1,0,3,62.96588,1478537757836.96,65.49921,1478537760370.96
0,3,1,1,2,65.39923,1478537760271.68,67.06848,1478537761974.22
0,3,1,0,2,70.26550,1478537767171.69,72.79895,1478537769705.64
0,3,1,0,4,72.73230,1478537769638.4,75.26581,1478537772171.54
0,3,1,0,2,75.19916,1478537772105.01,77.73254,1478537774638.49
0,3,1,0,0,77.63251,1478537774538.6,80.16687,1478537777072.5
0,3,1,0,1,80.13269,1478537777039.11,82.63281,1478537779539.12
0,3,0,0,4,82.56616,1478537779471.64,84.64844,1478537781571.73
0,3,1,1,0,84.93292,1478537781838.98,86.78845,1478537783705.82
0,3,0,0,4,87.66650,1478537784572.14,89.34845,1478537786272.16
0,3,1,0,3,90.13324,1478537787039.32,92.66675,1478537789572.7
0,3,1,1,0,92.56671,1478537789472.04,94.28845,1478537791206.27
0,3,1,0,2,95.03357,1478537791940.36,97.53369,1478537794439.82
0,3,1,1,3,97.43365,1478537794339.53,99.10846,1478537796039.24
0,3,0,0,2,99.90051,1478537796806.32,101.54850,1478537798472.89
0,2,0,0,0,102.33400,1478537799240.09,104.02840,1478537800941.18
0,2,1,0,2,107.20070,1478537806140.08,109.73420,1478537808673.6
0,2,1,0,2,109.63420,1478537808574.74,112.20100,1478537811140.3
0,2,1,1,2,112.10100,1478537811040.52,113.76850,1478537812740.26
0,2,1,0,0,114.63460,1478537813573.83,117.16790,1478537816106.87
0,2,1,0,4,117.06850,1478537816007.92,119.63480,1478537818574.36
0,2,1,1,0,119.53460,1478537818474.13,121.22850,1478537820174.62
0,2,1,0,2,121.96830,1478537820907.32,124.50170,1478537823441.08
0,2,1,0,1,124.40170,1478537823340.69,126.93520,1478537825874.63
0,2,0,0,4,126.86850,1478537825807.88,128.52840,1478537827475.03
0,2,1,0,0,129.30190,1478537828240.96,131.83540,1478537830774.96
0,1,0,0,2,131.73560,1478537830674.86,133.68850,1478537832642.43
0,1,0,0,3,136.63570,1478537837608.75,138.32850,1478537839308.79
0,1,1,0,1,139.13580,1478537840108.75,141.63600,1478537842609
0,1,1,0,4,141.73600,1478537842709.33,144.26960,1478537845242.78
0,1,1,0,0,144.13610,1478537845108.8,146.66950,1478537847642.51
0,1,1,0,2,146.56960,1478537847542.71,149.13640,1478537850109.49
0,1,1,1,2,149.03650,1478537850009.89,150.70850,1478537851709.01
0,1,1,1,2,151.47000,1478537852443,153.14840,1478537854142.72
0,1,1,0,4,153.93670,1478537854910.15,156.47020,1478537857442.91
0,1,1,0,2,156.37020,1478537857342.86,158.90370,1478537859876.11
0,2,1,1,2,158.80460,1478537859776.71,160.64840,1478537861644.67
0,2,1,0,1,163.70400,1478537866709.46,166.23750,1478537869243.44
0,2,1,0,4,166.13750,1478537869143.32,168.67100,1478537871677.11
0,2,1,1,1,168.63790,1478537871643.95,170.30850,1478537873344.05
0,2,1,0,1,171.07100,1478537874077.36,173.63790,1478537876643.87
0,2,1,0,0,173.53790,1478537876544.11,176.07150,1478537879077.39
