%Recollect Version 2.0. Scene/Level: nback1_intro, Game Number: 056
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Blue=0,Yellow=1,Green=2,Pink=3,White=4,Gray=5,Brown=6,Purple=7,None=8,
0,2,1,0,3,0.07434,1479240183492.57,1.69995,1479240185106.52
0,2,1,0,2,1.63327,1479240185040.33,4.16708,1479240187573.75
0,2,1,0,5,4.06668,1479240187474.35,6.60022,1479240190006.77
0,2,1,0,4,6.50037,1479240189906.55,9.03372,1479240192440.93
0,2,1,0,0,8.93369,1479240192340.4,11.46716,1479240194874.08
0,2,1,0,1,11.40063,1479240194807.15,13.93396,1479240197340.72
0,2,1,0,4,13.66742,1479240197074.51,16.36758,1479240199774.45
0,2,1,0,3,16.26746,1479240199673.96,18.80090,1479240202207.06
0,2,1,0,5,18.73425,1479240202141.26,21.26770,1479240204674.54
0,2,1,0,1,21.16763,1479240204575.04,23.70114,1479240207107.41
0,2,0,0,2,23.63452,1479240207041.3,25.22119,1479240208643.56
0,2,1,1,1,26.16815,1479240209576.11,27.80121,1479240211209.23
0,2,1,0,4,28.60220,1479240212009.1,31.13495,1479240214541.21
0,2,1,0,0,31.03494,1479240214441.1,33.56842,1479240216975.44
0,2,1,0,0,33.50360,1479240216911.01,36.03525,1479240219442.08
0,2,1,0,1,35.93521,1479240219341.77,38.46887,1479240221875.52
0,2,0,0,5,38.36865,1479240221775.49,40.10120,1479240223509.5
0,2,1,0,3,40.83551,1479240224241.96,43.36884,1479240226775.76
0,1,0,1,5,43.26898,1479240226675.79,45.80237,1479240229212.85
1,205.12450,0.71653,2,49.78119,1479240235242.14
0,1,1,0,2,48.16919,1479240233609.34,50.70264,1479240236142.66
0,1,1,0,4,50.60303,1479240236043.05,53.16949,1479240238609.94
0,1,0,0,2,53.23621,1479240238675.89,54.86121,1479240240310.01
0,1,1,0,0,55.66980,1479240241109.77,58.16974,1479240243610.14
0,1,1,1,0,58.06976,1479240243510.09,59.66119,1479240245110.62
0,1,1,1,0,60.53668,1479240245976.39,62.12122,1479240247576.63
0,1,1,0,5,62.97003,1479240248410.7,65.50348,1479240250943.88
0,2,1,1,5,65.40399,1479240250844.83,67.12122,1479240252579.96
0,2,1,0,0,70.27112,1479240257744.02,72.80585,1479240260279.05
0,2,1,0,3,72.73798,1479240260210.62,75.27142,1479240262744.4
0,2,1,1,0,75.20490,1479240262677.77,77.14117,1479240264644.27
0,2,1,0,2,77.63818,1479240265110.66,80.17255,1479240267645.81
0,2,1,0,3,80.10504,1479240267578.5,82.67181,1479240270145.32
0,2,1,1,2,82.60504,1479240270078.47,84.20117,1479240271678.44
0,3,1,1,3,85.03864,1479240272511.09,86.62122,1479240274113.21
0,3,1,0,4,90.10559,1479240279612.04,92.64172,1479240282148.4
0,3,1,0,1,92.57239,1479240282079.03,95.10590,1479240284612.26
0,3,1,0,4,95.00635,1479240284513.42,97.53931,1479240287045.25
0,3,1,0,2,97.43933,1479240286945.28,99.97296,1479240289479.84
0,3,1,0,3,99.90625,1479240289412.48,102.43960,1479240291945.34
0,3,1,1,4,102.33970,1479240291845.35,103.96120,1479240293479.72
0,3,1,0,0,104.77310,1479240294279.52,107.30680,1479240296813.29
0,3,1,0,4,107.20650,1479240296713.07,109.77340,1479240299279.71
0,3,0,1,4,109.67330,1479240299179.65,112.20680,1479240301713.82
0,2,0,0,5,112.10680,1479240301613.44,113.82120,1479240303347.66
0,2,1,0,5,117.10770,1479240308647.54,119.64040,1479240311180.14
0,2,1,0,0,119.54130,1479240311081.11,122.07400,1479240313614.14
0,2,1,0,3,122.01210,1479240313553.25,124.54080,1479240316080.14
0,2,1,0,1,124.44070,1479240315980.2,126.97440,1479240318514.14
0,2,0,0,4,126.87430,1479240318414.01,128.68120,1479240320247.39
0,1,0,1,1,129.34100,1479240320880.28,131.87470,1479240323416.13
0,1,1,0,4,134.20830,1479240327781.5,136.74160,1479240330315.33
0,1,1,0,0,136.64160,1479240330214.91,139.20860,1479240332782.22
0,1,1,0,2,139.10860,1479240332682.07,141.64180,1479240335215.39
0,1,0,0,0,141.70870,1479240335282.01,144.02120,1479240337619.11
0,1,1,0,2,144.14210,1479240337715.4,146.67570,1479240340248.38
0,1,1,1,2,146.57550,1479240340148.12,148.20120,1479240341782.5
0,1,1,1,2,149.04230,1479240342615.68,150.64120,1479240344216.23
0,1,1,0,1,151.44300,1479240345016.07,154.00930,1479240347582.42
0,2,1,1,1,153.90940,1479240347482.34,155.54120,1479240349118.12
0,2,1,0,3,158.77610,1479240354382.28,161.30960,1479240356916.45
0,2,1,0,0,161.24290,1479240356849.69,163.74290,1479240359349.43
0,2,1,0,2,163.67650,1479240359282.53,166.20970,1479240361816.38
0,2,1,0,4,166.14300,1479240361749.65,168.64390,1479240364250.73
0,2,1,1,2,168.60990,1479240364216.97,170.22120,1479240365849.85
0,2,1,1,4,171.04330,1479240366650.39,172.88120,1479240368516.57
0,2,1,0,0,173.51030,1479240369116.98,176.04360,1479240371650.14
