%Recollect Version 2.0. Scene/Level: nback2_intro, Game Number: 084
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Blue=0,Yellow=1,Green=2,Pink=3,White=4,Gray=5,Brown=6,Purple=7,None=8,
0,3,1,0,5,0.05212,1479488450072.23,1.41687,1479488451431.06
0,3,1,0,6,1.34992,1479488451364.16,3.88330,1479488453897.81
0,3,1,0,2,3.78326,1479488453798.16,6.31702,1479488456331.72
0,3,1,1,5,6.25018,1479488456265.28,7.93994,1479488457968.43
0,3,1,0,2,8.65033,1479488458665.42,11.18408,1479488461199.71
0,3,1,0,3,11.11713,1479488461131.51,13.65057,1479488463665.75
0,3,1,0,4,13.55060,1479488463565.71,16.08411,1479488466098.98
0,3,1,0,3,15.98425,1479488465999.76,18.51752,1479488468531.99
0,3,1,1,3,18.45105,1479488468466.43,20.01990,1479488470065.53
0,3,1,0,2,20.88428,1479488470899.32,23.45111,1479488473466.12
0,3,0,0,4,23.35120,1479488473366.37,24.95990,1479488474999.48
0,3,1,0,0,25.88483,1479488475899.53,28.41815,1479488478432.65
0,3,1,0,4,28.35144,1479488478366.48,30.88489,1479488480899.53
0,3,1,0,1,30.78491,1479488480799.68,33.31842,1479488483333.03
0,2,0,0,6,33.15167,1479488483166.6,34.61993,1479488484669.6
0,2,1,0,6,38.11884,1479488490166.57,40.65289,1479488492701.7
0,2,1,0,7,40.55231,1479488492600.38,43.08575,1479488495134.81
0,2,1,0,2,42.98590,1479488495033.79,45.51910,1479488497566.86
0,2,0,0,4,45.45239,1479488497500.81,47.05994,1479488499133.68
0,1,0,1,2,47.88617,1479488499934.3,50.41937,1479488502468.98
0,1,1,0,0,52.95264,1479488507034.49,55.48615,1479488509567.89
0,1,1,0,2,55.38617,1479488509467.92,57.91943,1479488512001.14
0,1,1,0,6,57.58624,1479488511668.12,60.35327,1479488514435.3
0,1,1,1,6,60.28632,1479488514368.54,62.07990,1479488516168.54
0,1,1,0,7,62.71973,1479488516801.71,65.25323,1479488519335.06
0,1,1,0,4,65.15393,1479488519236.59,67.68695,1479488521769.85
0,1,1,0,2,67.62000,1479488521701.79,70.15411,1479488524235.76
0,1,1,0,5,70.02020,1479488524102.09,72.58704,1479488526669.36
0,1,0,0,3,72.48694,1479488526568.73,74.37988,1479488528469.15
0,1,1,0,2,74.98712,1479488529068.92,77.52057,1479488531602.62
0,1,1,0,5,77.38721,1479488531469.25,79.92072,1479488534002.84
0,1,1,0,3,79.75403,1479488533835.63,82.28748,1479488536369.56
0,1,1,0,2,82.32086,1479488536402.78,84.88782,1479488538970.59
0,1,1,0,6,84.78790,1479488538869.69,87.32104,1479488541403.25
0,1,1,0,3,87.32104,1479488541402.95,89.88794,1479488543969.89
0,1,1,0,0,89.78790,1479488543869.95,92.32147,1479488546403.62
0,1,0,0,5,92.22137,1479488546303.39,94.41992,1479488548504.89
0,1,1,0,3,94.68835,1479488548770.35,97.22168,1479488551304.04
0,1,1,0,7,97.12164,1479488551203.78,99.65527,1479488553737.39
0,1,1,1,7,99.55585,1479488553637.31,101.51990,1479488555604.1
0,1,1,0,3,102.02210,1479488556104.77,104.52220,1479488558604.99
0,1,1,0,7,104.42210,1479488558504.18,106.95560,1479488561037.42
0,1,1,0,1,106.88900,1479488560971.15,109.42250,1479488563505.15
0,1,1,0,3,109.32240,1479488563404.26,111.85580,1479488565937.63
0,1,1,1,3,111.78920,1479488565871.13,113.35990,1479488567471.02
0,2,1,1,3,114.32260,1479488568404.71,115.89990,1479488570007.91
0,2,1,0,0,119.19090,1479488575305.69,121.72370,1479488577838.67
0,2,1,0,1,121.62360,1479488577738.61,124.19050,1479488580305.18
0,2,1,1,0,124.02380,1479488580138.48,126.21990,1479488582339.23
0,2,1,0,6,126.52400,1479488582639.11,129.09080,1479488585205.38
0,2,1,0,7,128.99100,1479488585105.69,131.52440,1479488587639.04
0,2,1,0,5,131.39090,1479488587505.64,133.92440,1479488590039.07
0,2,0,1,7,133.85770,1479488589972.05,136.39110,1479488592506.34
0,2,1,0,1,136.32450,1479488592439.47,138.85820,1479488594973.28
0,2,1,1,7,138.75800,1479488594872.33,140.85990,1479488597005.88
1,574.72920,0.87636,2,142.13990,1479488598273.86
0,2,0,0,6,141.29160,1479488597406.38,143.35990,1479488599506.87
0,2,1,0,0,143.79160,1479488599906.4,146.32530,1479488602440
0,2,1,0,5,146.22520,1479488602339.77,148.79190,1479488604906.89
0,2,1,0,1,148.69190,1479488604806.47,151.22530,1479488607340.54
0,2,1,1,5,151.12550,1479488607240.52,152.83990,1479488608973.44
0,2,1,0,4,153.59220,1479488609706.87,156.12560,1479488612240.62
0,2,1,0,7,156.02550,1479488612140.35,158.55930,1479488614673.7
0,2,1,0,6,158.42580,1479488614541.33,160.99250,1479488617106.9
0,2,1,0,5,160.89250,1479488617006.83,163.42630,1479488619540.84
0,2,1,0,3,163.35950,1479488619473.66,165.89280,1479488622007.65
0,2,1,0,6,165.79280,1479488621907.9,168.32650,1479488624441.25
0,2,1,0,4,168.19290,1479488624307.65,170.72640,1479488626841.47
0,2,1,0,7,170.72640,1479488626846.3,173.26000,1479488629374.76
0,2,1,0,3,173.19320,1479488629307.95,175.72680,1479488631841.51
