%Recollect Version 2.0. Scene/Level: nback0_advan, Game Number: 095
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Blue=0,Yellow=1,Green=2,Pink=3,White=4,Gray=5,Brown=6,Purple=7,None=8,
0,3,1,0,0,1.15001,1479760642764.72,3.71694,1479760645331.12
0,3,1,0,1,3.65018,1479760645264.46,6.21700,1479760647831.17
0,3,1,0,0,6.15033,1479760647763.9,8.71729,1479760650330.99
0,3,1,0,3,8.65055,1479760650264.69,11.21729,1479760652831.73
0,3,1,1,1,10.91726,1479760652531.17,12.56528,1479760654208.36
0,3,1,0,2,13.35109,1479760654965.33,15.95091,1479760657564.91
0,3,1,0,0,15.91752,1479760657531.26,18.45103,1479760660065.17
0,3,1,1,1,18.41770,1479760660031.49,20.06528,1479760661697.41
0,3,1,0,0,20.65142,1479760662265.46,23.21796,1479760664831.45
0,3,0,0,1,23.15130,1479760664765.14,25.30528,1479760666931.7
0,2,0,0,2,25.65142,1479760667264.99,27.26528,1479760668903.64
0,2,1,0,0,30.65185,1479760674299.24,33.18536,1479760676832.47
0,2,1,0,2,33.15203,1479760676799.13,35.68568,1479760679334.05
1,151.73460,2.91177,2,36.44527,1479760680099.64
0,2,0,0,1,35.38550,1479760679032.62,37.42528,1479760703433
0,2,1,0,3,37.88572,1479760703867.18,40.41911,1479760706400
0,2,1,0,0,40.38578,1479760706367.32,42.91922,1479760708900.55
0,2,1,0,1,42.88585,1479760708866.9,45.41962,1479760711400.4
0,2,1,1,0,45.15307,1479760711134.54,46.72527,1479760712733.85
0,2,1,1,1,47.58991,1479760713570.95,49.46528,1479760715467.17
0,2,0,0,3,50.08635,1479760716068.31,51.66528,1479760717667.07
0,2,1,1,1,52.58730,1479760718568.18,54.22527,1479760720233.98
0,2,1,0,2,55.08661,1479760721068.45,57.62024,1479760723601.36
0,2,0,0,3,57.58676,1479760723567.69,59.70528,1479760725700.81
0,2,1,0,0,59.85386,1479760725835.44,62.38750,1479760728369.18
0,2,1,1,3,62.35370,1479760728334.55,63.92528,1479760729934.39
0,2,1,1,0,64.85385,1479760730835.16,66.42528,1479760732434.59
0,2,1,0,1,67.35409,1479760733335.18,69.88744,1479760735868.58
0,2,1,0,3,69.58743,1479760735568.32,72.12090,1479760738101.28
0,3,1,1,1,72.05439,1479760738036.66,73.70528,1479760739704.29
0,3,1,0,3,77.05461,1479760745069.23,79.58803,1479760747602.66
0,3,1,0,1,79.55493,1479760747569.65,82.08802,1479760751569.84
0,3,1,0,0,82.05493,1479760751537.26,84.58817,1479760754070.23
0,3,1,0,2,84.32180,1479760753803.8,86.85494,1479760756336.66
0,3,1,1,1,86.82178,1479760756303.25,88.46528,1479760757969.34
0,3,0,1,0,89.28862,1479760758770,91.85524,1479760761337.29
0,3,1,0,0,91.78857,1479760761270.33,94.35535,1479760763837.76
0,3,1,0,3,94.05553,1479760763537.4,96.58878,1479760766070.6
0,3,1,1,0,96.68887,1479760766170.58,98.28528,1479760767770.73
0,3,0,0,2,98.95564,1479760768437.37,100.82530,1479760770336.92
0,3,1,1,3,101.45580,1479760770937.25,103.02530,1479760772536.93
0,3,1,0,2,103.95590,1479760773437.2,106.48950,1479760775970.65
0,3,0,0,3,106.45600,1479760775937.5,108.30530,1479760777803.8
0,3,1,0,1,108.82290,1479760778304.13,111.35630,1479760780837.98
0,3,1,0,0,111.32310,1479760780804.15,113.85670,1479760783338.36
0,3,1,1,3,113.82320,1479760783305.7,115.40530,1479760784904.06
0,3,0,0,2,116.32370,1479760785805.31,117.94530,1479760787438.42
0,3,1,1,0,118.82360,1479760788304.65,120.40530,1479760789904.48
0,3,1,1,3,121.05700,1479760790538.26,122.84530,1479760792338.76
0,3,0,0,0,123.55700,1479760793038.38,125.38530,1479760794872.96
0,3,1,0,1,126.05720,1479760795538.8,128.59070,1479760798072.74
0,3,1,0,1,128.55740,1479760798038.8,131.09110,1479760800572.72
0,3,1,0,3,130.82450,1479760800305.55,133.35760,1479760802839.42
0,2,0,0,0,133.25760,1479760802739.22,134.84530,1479760804342.25
0,2,1,0,1,138.25880,1479760809772.73,140.79210,1479760812306.13
0,2,1,0,2,140.75890,1479760812272.78,143.29260,1479760814806.77
0,2,1,1,1,143.25890,1479760814772.98,144.90530,1479760816439.62
0,2,1,1,2,145.52580,1479760817040.17,147.12530,1479760818639.96
0,2,1,0,3,148.02590,1479760819540.15,150.52600,1479760822040.17
0,2,0,1,2,150.52600,1479760822042.96,153.02610,1479760824541.22
0,2,1,0,2,153.02610,1479760824540.19,155.52620,1479760827040.52
0,2,1,0,0,155.25960,1479760826773.17,157.79310,1479760829307.23
0,2,1,0,0,157.72650,1479760829240.46,160.25990,1479760831773.41
0,2,1,0,2,160.22650,1479760831740.38,162.76000,1479760834273.49
0,2,1,0,1,162.72670,1479760834241,165.26010,1479760836773.49
0,2,1,0,0,165.22690,1479760836741.19,167.76050,1479760839274.21
0,2,1,1,1,167.72690,1479760839241.53,169.40530,1479760840940.83
0,2,1,0,2,169.99390,1479760841508.41,172.52740,1479760844041.37
0,2,1,0,3,172.49400,1479760844008.08,175.02740,1479760846541.99
0,2,1,0,0,174.99390,1479760846507.7,177.52760,1479760849041.36
0,2,1,1,3,177.49420,1479760849007.87,179.06530,1479760850608.11
0,3,1,1,0,179.72780,1479760851241.96,181.30530,1479760852842.88
