%Recollect Version 2.0. Scene/Level: nback2_inter, Game Number: 117
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Blue=0,Yellow=1,Green=2,Pink=3,White=4,Gray=5,Brown=6,Purple=7,None=8,
0,3,1,0,0,0.05029,1479846982802.73,1.41687,1479846984160.12
0,3,0,0,1,1.35022,1479846984093.07,3.61798,1479846986395.16
0,3,1,0,7,3.78357,1479846986527.7,6.31702,1479846989061.34
0,3,1,0,3,6.25043,1479846988995.29,8.75098,1479846991496.6
0,3,1,1,1,8.65064,1479846991395.81,10.29797,1479846993061.52
0,3,1,0,2,11.11737,1479846993861.86,13.65088,1479846996395.4
0,3,1,0,0,13.55103,1479846996296.18,16.08429,1479846998828.84
0,3,1,0,4,15.98431,1479846998728.7,18.51782,1479847001261.46
0,3,1,0,6,18.45135,1479847001196.32,20.98541,1479847003730.73
0,3,1,1,0,20.88470,1479847003629.6,22.47797,1479847005229.15
0,4,1,1,4,23.35138,1479847006095.15,24.95795,1479847007732.47
0,4,1,0,3,28.35028,1479847013132.08,30.88354,1479847015663.15
0,4,1,0,4,30.78394,1479847015563.99,33.31702,1479847018095.54
0,4,0,0,0,33.15033,1479847017930.04,34.73798,1479847019529.59
0,4,1,0,7,35.61713,1479847020396.1,38.15076,1479847022930.41
0,4,1,0,6,38.11731,1479847022896.06,40.65076,1479847025430.82
0,4,1,0,5,40.55536,1479847025335.09,43.08435,1479847027864.25
0,4,1,0,3,42.98425,1479847027764.21,45.51776,1479847030296.97
0,4,1,0,0,45.41815,1479847030198.47,47.98468,1479847032764.1
0,4,1,1,6,47.88452,1479847032664.08,49.55798,1479847034363.58
0,4,1,1,5,50.31818,1479847035097.92,52.03796,1479847036830.48
0,4,0,0,0,52.95160,1479847037730.02,54.77795,1479847039564.31
0,4,1,0,1,55.38507,1479847040164.26,57.91840,1479847042697.87
1,239.52230,10.06495,2,58.35797,1479847043164.98
0,4,1,0,2,57.81842,1479847042598.49,60.35187,1479847045131.5
1,252.16260,0.65409,1,61.51794,1479847046297.36
0,3,0,0,7,60.28516,1479847045064.49,61.87793,1479847046666.5
0,3,1,0,1,65.15222,1479847051964.4,67.68579,1479847054498.83
0,3,0,0,0,67.58612,1479847054399.07,69.19794,1479847056031.1
0,3,1,0,6,70.01910,1479847056832.01,72.58606,1479847059398.68
0,3,1,0,2,72.48627,1479847059298.94,75.01935,1479847061832.38
0,3,1,1,0,74.98621,1479847061799.53,76.93793,1479847063764.94
0,3,0,0,1,77.38617,1479847064199.06,79.37793,1479847066199.02
0,3,1,0,6,79.75317,1479847066566.13,82.28650,1479847069099.84
0,3,1,0,5,82.31982,1479847069132.7,84.88660,1479847071699.81
0,3,1,0,7,84.78687,1479847071600,87.32001,1479847074132.95
0,3,1,0,4,87.32001,1479847074135.78,89.88690,1479847076700.04
0,3,1,1,5,89.78699,1479847076600.07,91.49792,1479847078332.76
0,3,1,0,6,92.22034,1479847079033.38,94.75403,1479847081566.39
0,3,0,0,1,94.48767,1479847081301.1,96.31793,1479847083133.74
0,2,0,0,7,97.12061,1479847083933.85,98.73798,1479847085567.67
0,2,1,0,6,102.02100,1479847090867.37,104.55460,1479847093400.23
0,2,1,0,6,104.42130,1479847093267.45,106.98790,1479847095834.09
0,2,1,1,6,106.88790,1479847095734.97,108.37790,1479847097234.84
0,2,1,0,5,109.32160,1479847098169.05,111.88820,1479847100734.46
0,2,0,0,5,111.78820,1479847100635.13,113.49790,1479847102367.19
0,2,1,0,6,114.32170,1479847103168.06,116.88850,1479847105734.71
0,2,1,0,2,116.78840,1479847105634.92,119.32200,1479847108168.15
0,2,1,0,4,119.22210,1479847108069.08,121.75540,1479847110601.08
0,2,1,1,2,121.65530,1479847110500.98,123.27800,1479847112135.26
0,2,1,0,6,124.02220,1479847112868.39,126.58910,1479847115435.42
0,2,1,1,2,126.55570,1479847115401.32,128.25790,1479847117134.73
0,2,1,0,2,128.98920,1479847117836.41,131.52260,1479847120368.89
0,2,1,0,1,131.42260,1479847120269.17,133.95600,1479847122801.33
0,3,1,1,2,133.88960,1479847122735.89,135.61800,1479847124470.68
0,3,1,0,0,138.78960,1479847129668.94,141.32310,1479847132203.25
0,3,0,0,1,141.28970,1479847132169.29,143.25790,1479847134168.77
0,3,1,0,4,143.82340,1479847134703.06,146.39000,1479847137269.88
0,3,1,0,5,146.29000,1479847137169.9,148.79020,1479847139669.99
0,3,1,1,1,148.72340,1479847139603.11,150.47800,1479847141370.59
0,3,1,0,3,151.15710,1479847142036.47,153.69050,1479847144570.44
0,3,1,0,6,153.59060,1479847144470.4,156.12400,1479847147004.34
0,3,1,0,0,156.02390,1479847146904.19,158.59070,1479847149470.43
0,3,1,1,3,158.45730,1479847149336.27,160.35800,1479847151270.1
0,3,0,0,1,160.92410,1479847151804.01,162.55790,1479847153470.36
0,3,1,1,0,163.39090,1479847154271.14,165.29790,1479847156203.42
0,3,0,0,1,165.82460,1479847156705.2,167.45790,1479847158370.7
0,2,0,0,3,168.19120,1479847159071.09,169.91790,1479847160805.74
0,2,1,0,7,173.19160,1479847166103.99,175.72500,1479847168638.02
