%Recollect Version 2.0. Scene/Level: nback2_inter, Game Number: 127
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Blue=0,Yellow=1,Green=2,Pink=3,White=4,Gray=5,Brown=6,Purple=7,None=8,
0,3,1,0,2,0.07983,1479918331513.24,1.39984,1479918332817.08
0,3,1,0,6,1.33392,1479918332750.89,3.86676,1479918335283.9
0,3,1,0,3,3.76672,1479918335184.91,6.30017,1479918337718.74
0,3,1,0,4,6.20020,1479918337618.23,8.73377,1479918340153.07
0,3,1,1,6,8.63367,1479918340051.72,10.12970,1479918341554.48
0,3,1,0,5,11.10071,1479918342518.76,13.63391,1479918345052.54
0,3,1,1,4,13.53394,1479918344952.29,15.14966,1479918346584.44
0,3,1,0,5,15.96814,1479918347385.66,18.50183,1479918349919.57
0,3,1,0,4,18.43414,1479918349852.24,20.96765,1479918352385.16
0,3,0,1,4,20.90112,1479918352318.94,23.43451,1479918354853.16
0,3,1,0,7,23.33447,1479918354752.43,25.86786,1479918357285
0,3,1,0,1,25.86786,1479918357287.98,28.40143,1479918359819.63
0,3,1,1,4,28.33478,1479918359752.69,29.92969,1479918361352.95
0,3,1,0,3,30.76862,1479918362185.57,33.30176,1479918364719.29
0,3,1,0,6,33.13507,1479918364553.78,35.66876,1479918367086.73
0,3,1,0,0,35.60187,1479918367019.59,38.13531,1479918369553.34
0,3,1,1,3,38.10199,1479918369519.63,39.72968,1479918371153.25
0,3,1,0,2,40.53546,1479918371952.83,43.10223,1479918374519.88
0,3,1,0,6,42.96893,1479918374386.2,45.50238,1479918376920.22
0,4,1,1,3,45.43573,1479918376854.63,47.00970,1479918378457.47
0,4,1,0,1,50.33624,1479918383788.23,52.86957,1479918386320.15
0,4,1,0,7,52.93634,1479918386387.1,55.46979,1479918388920.48
0,4,1,0,1,55.36969,1479918388820.88,57.90326,1479918391354.11
0,4,1,0,2,57.80334,1479918391254.07,60.33667,1479918393788.14
0,4,0,1,1,60.26996,1479918393721.3,62.80402,1479918396254.99
0,4,1,0,5,62.70374,1479918396154.79,65.23694,1479918398687.96
0,4,1,0,7,65.13708,1479918398588.02,67.67041,1479918401121.47
0,3,0,0,6,67.60376,1479918401054.33,69.08966,1479918402555.63
0,3,1,0,2,72.47058,1479918407955.46,75.03735,1479918410522.05
0,3,1,0,7,74.97089,1479918410455.22,77.53748,1479918413023.03
0,3,1,0,6,77.37079,1479918412855.23,79.93756,1479918415422.16
0,3,1,0,4,79.73755,1479918415222.47,82.27106,1479918417756.39
0,3,1,0,6,82.33777,1479918417822.49,84.87115,1479918420356.72
0,3,1,0,2,84.77124,1479918420255.72,87.30469,1479918422788.48
0,3,1,1,4,87.33807,1479918422823.47,88.94971,1479918424455.66
0,3,1,0,3,89.77148,1479918425256.16,92.30505,1479918427789
0,3,1,1,2,92.20520,1479918427689.21,93.82971,1479918429323.11
0,3,1,0,7,94.67194,1479918430156.84,97.20526,1479918432690.08
0,3,1,0,1,97.10522,1479918432589.13,99.63873,1479918435123.88
0,3,1,0,3,99.53888,1479918435023.64,102.07220,1479918437556.78
0,4,1,1,7,102.00550,1479918437489.49,103.66970,1479918439159.18
0,4,1,0,2,106.87260,1479918444390.84,109.43980,1479918446958.9
0,4,1,0,4,109.33980,1479918446858.31,111.87290,1479918449391.53
0,4,1,0,2,111.77300,1479918449291.78,114.33970,1479918451858.27
0,4,1,0,5,114.33970,1479918451857.73,116.87340,1479918454391.38
0,4,1,0,7,116.77310,1479918454291,119.30670,1479918456824.5
0,4,1,0,6,119.20680,1479918456724.27,121.74020,1479918459258.44
0,4,1,0,1,121.64020,1479918459158.17,124.17360,1479918461691.54
0,4,1,0,7,124.04020,1479918461558.02,126.57390,1479918464092.4
0,4,1,0,3,126.54030,1479918464058.17,129.07400,1479918466592.18
0,4,1,0,5,128.97390,1479918466492.21,131.54070,1479918469058.65
0,4,1,0,4,131.40740,1479918468924.45,133.94090,1479918471459.18
0,4,1,0,5,133.87430,1479918471391.86,136.40770,1479918473925.1
0,4,1,0,4,136.34100,1479918473858.82,138.84120,1479918476359.64
0,4,0,0,1,138.77450,1479918476292.97,140.40970,1479918477959.02
0,4,1,0,7,141.27450,1479918478792.23,143.80800,1479918481325.22
0,4,1,0,6,143.80800,1479918481325.02,146.34150,1479918483859.27
0,4,1,1,4,146.24150,1479918483759.2,147.86970,1479918485392.85
0,4,0,0,7,148.71050,1479918486228.8,150.36970,1479918487893.25
0,4,1,1,7,151.14180,1479918488659.63,152.78970,1479918490325.9
0,4,1,0,4,153.57540,1479918491093.23,156.10870,1479918493625.98
0,4,1,1,4,156.04210,1479918493559.81,157.86970,1479918495393.42
0,4,1,0,0,158.44220,1479918495960,160.97560,1479918498493.89
0,5,1,1,7,160.90900,1479918498426.52,162.52970,1479918500063.04
0,5,1,0,5,165.80900,1479918505359.86,168.34260,1479918507894.27
0,5,1,0,4,168.17580,1479918507727.62,170.70950,1479918510260.39
0,5,1,0,7,170.74300,1479918510295,173.27630,1479918512827.89
0,5,0,0,5,173.17630,1479918512729.57,175.24970,1479918514827.08
