%Recollect Version 2.0. Scene/Level: nback0_advan, Game Number: 135
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Blue=0,Yellow=1,Green=2,Pink=3,White=4,Gray=5,Brown=6,Purple=7,None=8,
0,3,1,0,3,1.16676,1480349444060.03,3.70010,1480349446593.51
0,3,1,0,2,3.66696,1480349446560.27,6.20036,1480349449094.36
0,3,1,0,1,6.16702,1480349449061.03,8.70046,1480349451595.11
0,3,1,1,3,8.66710,1480349451561.37,10.25984,1480349453164.24
0,3,1,0,0,10.93398,1480349453827.28,13.46742,1480349456361.17
0,3,1,0,3,13.43411,1480349456327.6,15.96773,1480349458861.89
0,3,1,1,3,15.93425,1480349458827.84,17.49985,1480349460394.7
0,3,1,0,1,18.43439,1480349461327.75,20.96786,1480349463862.18
0,4,1,1,3,20.66782,1480349463561.39,22.25984,1480349465167.07
0,4,1,0,1,25.66841,1480349470595.11,28.20190,1480349473128.55
0,4,1,0,3,28.16875,1480349473095.28,30.70201,1480349475628.58
0,4,1,0,2,30.66872,1480349475595.95,33.20212,1480349478129.23
1,144.79530,2.68182,2,34.71985,1480349479661.97
0,4,1,0,0,33.16885,1480349478096.04,35.70227,1480349480629.54
0,4,0,0,3,35.40283,1480349480329.33,37.45984,1480349482396.04
0,3,0,0,1,37.90245,1480349482829.26,39.53984,1480349484497.07
0,3,1,0,2,42.90303,1480349489863.31,45.43709,1480349492396.73
0,3,1,0,3,45.16946,1480349492130.11,47.70296,1480349494663.27
0,3,1,0,2,47.60297,1480349494563.08,50.13638,1480349497095.88
0,3,1,1,2,50.10387,1480349497064.77,51.71985,1480349498696.3
0,3,1,1,3,52.60323,1480349499563.13,54.17984,1480349501162.96
0,3,1,0,0,55.10352,1480349502064.81,57.63710,1480349504597.81
0,3,1,0,1,57.60353,1480349504563.53,60.13701,1480349507096.53
0,4,1,1,3,59.87032,1480349506831.29,61.41985,1480349508398.5
0,4,1,0,0,64.87065,1480349513864.35,67.37099,1480349516365.3
0,4,1,0,3,67.37099,1480349516365.12,69.87090,1480349518864.41
0,4,1,0,0,69.60420,1480349518597.46,72.13768,1480349521130.48
0,4,1,0,1,72.07100,1480349521064.98,74.60448,1480349523598.47
0,4,1,0,2,74.57115,1480349523564.81,77.10475,1480349526098.15
0,4,1,0,0,77.07130,1480349526065.45,79.60475,1480349528598.88
0,4,1,0,2,79.57143,1480349528565.55,82.10490,1480349531098.87
0,4,0,1,1,82.07243,1480349531067.06,84.60506,1480349533599.54
0,4,1,1,2,84.30525,1480349533298.64,86.41985,1480349535431.83
0,4,0,0,3,86.80519,1480349535799.27,88.65984,1480349537665.59
0,3,0,0,1,89.30547,1480349538299.16,90.95985,1480349539967.39
0,3,1,0,2,94.07253,1480349545100.23,96.60585,1480349547632.69
0,3,1,0,3,96.70586,1480349547732.78,99.23933,1480349550265.93
0,3,1,0,1,98.97279,1480349550001.81,101.50630,1480349552532.91
0,3,1,0,0,101.47290,1480349552500.22,104.00630,1480349555033.45
0,3,1,0,1,103.97290,1480349554999.62,106.50650,1480349557533.07
0,3,1,0,2,106.44000,1480349557468.73,109.00650,1480349560033.52
0,3,1,1,0,108.84000,1480349559867.54,110.41980,1480349561466.56
0,3,1,0,2,111.34000,1480349562367.04,113.87350,1480349564900.01
0,3,1,1,2,113.84030,1480349564867.33,115.43980,1480349566468.45
0,3,1,0,3,116.34030,1480349567367.24,118.87380,1480349569900.89
0,3,0,0,0,118.84070,1480349569868.29,120.41980,1480349571466.93
0,2,0,0,1,121.07390,1480349572100.25,122.71980,1480349573768.36
0,2,1,0,0,126.07420,1480349579135.09,128.61150,1480349581672.52
0,2,1,0,2,128.57410,1480349581634.31,131.10780,1480349584168.36
0,2,1,1,0,130.84090,1480349583902.49,132.41980,1480349585501.8
0,2,1,1,2,133.27440,1480349586334.39,135.01990,1480349588101.28
0,2,1,0,3,135.77450,1480349588834.78,138.30800,1480349591368.77
0,3,1,1,2,138.27480,1480349591334.39,139.89980,1480349592970.59
0,3,1,0,0,143.27470,1480349598368.69,145.80820,1480349600903.2
0,3,1,0,1,145.54170,1480349600636.13,148.04160,1480349603136.91
0,3,1,0,2,148.04160,1480349603136.59,150.54210,1480349605636.36
0,3,1,0,3,150.50880,1480349605602.91,153.04220,1480349608136.54
0,3,1,1,1,153.00860,1480349608102.63,154.67990,1480349609802.36
0,3,1,0,3,155.27570,1480349610369.24,157.80890,1480349612903.34
0,3,1,0,0,157.74210,1480349612836.18,160.27610,1480349615369.69
0,3,1,1,1,160.24250,1480349615336.81,162.07980,1480349617202.79
0,3,1,0,2,162.74270,1480349617836.64,165.27600,1480349620369.72
0,3,1,0,3,165.24270,1480349620337.13,167.77600,1480349622870.71
0,3,1,0,2,167.74280,1480349622837.21,170.27620,1480349625370.18
0,4,1,1,2,170.00950,1480349625103.85,171.59980,1480349626705.98
0,4,1,0,3,175.00960,1480349632137.04,177.54320,1480349634670.98
0,4,1,0,0,177.50980,1480349634637.63,180.04330,1480349637170.92
0,4,1,0,0,179.74350,1480349636872.16,182.27690,1480349639404.33
