%Recollect Version 2.0. Scene/Level: multi1_intro, Game Number: 008
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Orange=0,Green=1,Purple=2,Blue=3,White=4,None=5,
0,2,1,0,2,0.06812,1477596278890.01,1.39893,1477596280209.02
0,2,1,0,0,1.33215,1477596280141.82,3.86572,1477596282675.99
0,2,0,1,2,3.76575,1477596282575.86,6.29907,1477596285111.87
0,2,1,0,1,6.23242,1477596285041.93,8.76599,1477596287576.15
0,2,1,0,0,8.66602,1477596287476.04,11.19934,1477596290009.44
0,2,1,0,3,11.09949,1477596289909.48,13.66614,1477596292476.72
0,2,1,1,0,13.56616,1477596292376.42,15.27747,1477596294109.36
0,2,1,1,3,15.96631,1477596294776.09,17.67737,1477596296509.97
0,2,0,1,0,18.43323,1477596297242.69,20.96667,1477596299777.3
0,1,0,1,3,20.90002,1477596299710.35,23.43347,1477596302246.77
0,1,1,0,2,25.86633,1477596306710.27,28.39990,1477596309243.97
0,1,1,0,3,28.33313,1477596309176.62,30.86670,1477596311710.51
0,1,1,0,2,30.76660,1477596311610.51,33.30017,1477596314144.55
0,1,0,0,0,33.13342,1477596313976.85,34.85742,1477596315711.02
0,1,1,0,1,35.60034,1477596316444.08,38.16711,1477596319010.87
0,1,1,1,1,38.10071,1477596318944.49,39.77747,1477596320643.97
0,1,1,0,2,40.56726,1477596321410.82,43.10083,1477596323945.5
0,1,1,1,2,42.96729,1477596323810.98,44.77747,1477596325644.29
0,2,1,1,2,45.43408,1477596326277.53,47.11743,1477596327979.58
0,2,1,0,0,50.33435,1477596333211.32,52.86792,1477596335745.36
0,2,1,0,3,52.96777,1477596335845.04,55.50122,1477596338378.45
0,2,0,0,4,55.36804,1477596338245.13,57.39746,1477596340278.53
0,1,0,0,2,57.80139,1477596340678.5,59.75745,1477596342646.16
0,1,1,0,3,62.70300,1477596347613.75,65.26855,1477596350179.07
0,1,1,1,3,65.16858,1477596350079.1,66.81738,1477596351746.02
0,1,1,0,0,67.60205,1477596352512.61,70.16870,1477596355079.53
0,1,1,0,1,70.03552,1477596354945.78,72.56897,1477596357479.92
0,1,1,0,4,72.50220,1477596357412.97,75.03577,1477596359946.21
0,1,1,0,2,75.00244,1477596359913.46,77.50391,1477596362415.02
0,1,1,0,4,77.40320,1477596362314.77,79.93616,1477596364847
0,1,1,0,1,79.76941,1477596364679.84,82.30286,1477596367213.45
0,1,1,0,2,82.33630,1477596367247.07,84.86963,1477596369780.89
0,1,1,0,0,84.76978,1477596369680.17,87.30310,1477596372214.36
0,1,1,0,4,87.33728,1477596372248.25,89.86987,1477596374780.72
0,1,1,1,4,89.80322,1477596374714.21,91.45740,1477596376381.16
0,2,1,1,4,92.20337,1477596377114.2,94.23743,1477596379181.85
0,2,1,0,3,97.10388,1477596384047.96,99.63770,1477596386581.88
0,2,1,0,4,99.57043,1477596386514.61,102.10400,1477596389048.46
0,2,1,1,3,102.00400,1477596388949.13,103.73740,1477596390714.6
0,2,1,1,4,104.43740,1477596391381.26,106.07740,1477596393048.23
0,2,1,0,2,106.87070,1477596393814.7,109.40430,1477596396348.74
0,3,1,1,4,109.33760,1477596396282.02,110.99740,1477596397950.6
0,3,1,0,2,114.30520,1477596403282.27,116.83870,1477596405815.87
0,3,1,0,0,116.77200,1477596405748.84,119.30540,1477596408283.06
0,3,1,0,2,119.20540,1477596408182.75,121.73900,1477596410716.24
0,3,1,0,4,121.63890,1477596410616.14,124.17240,1477596413149.14
0,3,1,0,1,124.03910,1477596413016.13,126.57250,1477596415549.23
0,3,1,0,3,126.53910,1477596415516.1,129.07260,1477596418049.28
0,3,1,1,4,129.00600,1477596417983.53,131.01750,1477596420016.45
0,3,1,0,3,131.40610,1477596420383.37,133.94630,1477596422923.44
0,3,1,0,2,133.87290,1477596422849.47,136.40670,1477596425384.92
0,3,1,0,0,136.30630,1477596425283.28,138.83980,1477596427816.73
0,3,1,1,3,138.77320,1477596427749.75,140.43740,1477596429417.7
1,568.02890,0.79735,2,140.55740,1477596429550.79
0,3,1,0,1,141.30660,1477596430283.64,143.84020,1477596432817.21
0,3,1,0,4,143.84020,1477596432819.25,146.37370,1477596435350.34
0,3,1,0,0,146.27360,1477596435250.24,148.80700,1477596437784.11
0,3,0,1,1,148.74040,1477596437717.42,151.27380,1477596440252
0,3,1,0,2,151.14050,1477596440117.61,153.70740,1477596442684.43
0,3,1,0,1,153.60730,1477596442584.39,156.14090,1477596445118.42
0,3,1,1,1,156.04060,1477596445017.68,157.71740,1477596446717.71
0,3,0,1,2,158.47420,1477596447450.88,161.00770,1477596449986.08
0,2,0,1,1,160.94120,1477596449919.05,163.47460,1477596452453.5
0,2,1,0,3,165.84010,1477596456853.07,168.37350,1477596459384.91
0,2,1,0,2,168.20690,1477596459218.89,170.74040,1477596461752.26
0,2,1,1,3,170.77430,1477596461785.66,172.43740,1477596463452.53
0,2,1,1,2,173.20730,1477596464219.54,174.97740,1477596466019.23
