%Recollect Version 2.0. Scene/Level: nback0_advan, Game Number: 011
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Orange=0,Green=1,Purple=2,Blue=3,White=4,None=5,
0,3,1,0,4,1.13329,1477682016661.45,3.66676,1477682019194.69
0,3,1,0,4,3.63339,1477682019161.45,6.16687,1477682021695.1
0,3,1,0,3,6.13353,1477682021661.75,8.66713,1477682024196.14
0,3,1,1,4,8.63428,1477682024163.1,10.30594,1477682025864.2
0,3,1,1,4,10.90053,1477682026428.22,12.56593,1477682028095.73
0,3,1,0,2,13.40063,1477682028927.8,15.93408,1477682031461.91
0,3,1,0,1,15.90076,1477682031427.94,18.43422,1477682033962.46
0,4,1,1,4,18.40092,1477682033928.71,20.06593,1477682035598.92
0,4,1,0,2,23.10109,1477682040661.68,25.63455,1477682043195.71
0,4,1,0,4,25.60136,1477682043162.42,28.13475,1477682045696.36
0,4,0,0,2,28.10132,1477682045662.58,30.34593,1477682047929.26
0,4,1,0,4,30.60168,1477682048162.34,33.13501,1477682050696.01
0,4,1,0,3,33.10835,1477682050670.45,35.63518,1477682053196.87
0,3,0,0,0,35.36853,1477682052929.83,37.46594,1477682055030.92
1,159.05540,2.69773,2,38.24594,1477682057862.21
0,3,1,0,1,40.36891,1477682059963.59,42.90254,1477682062497.56
0,3,1,0,0,42.86900,1477682062464.25,45.40248,1477682064997.16
0,3,1,0,3,45.10246,1477682064696.38,47.63603,1477682067230.61
0,3,1,0,2,47.56923,1477682067164.38,50.10274,1477682069697.03
0,3,1,1,0,50.06938,1477682069664.07,51.76595,1477682071364.38
1,220.33680,2.48343,1,53.56593,1477682073167.73
0,3,1,0,2,52.56953,1477682072164.05,55.10301,1477682074697.09
0,3,1,1,2,55.06972,1477682074664.84,57.32594,1477682076931.21
0,3,1,0,3,57.57002,1477682077166.23,60.10329,1477682079698.04
0,3,1,0,1,59.80336,1477682079397.61,62.33687,1477682081931.86
0,4,1,1,2,62.30348,1477682081898.08,63.96593,1477682083566.42
0,4,1,0,1,67.30333,1477682088931.64,69.83684,1477682091465.65
0,4,1,0,0,69.57005,1477682091198.68,72.10356,1477682093731.79
0,4,1,0,4,72.03688,1477682093666.63,74.57033,1477682096200.05
0,4,1,0,2,74.53700,1477682096165.82,77.07051,1477682098699.3
0,4,1,0,4,77.03709,1477682098665.51,79.57060,1477682101199.29
0,4,0,0,2,79.53731,1477682101166.11,81.20595,1477682102865.86
0,4,1,0,0,82.03749,1477682103666.51,84.57100,1477682106200.08
0,3,0,1,2,84.27086,1477682105899.91,86.83769,1477682108468.1
0,3,1,0,3,89.27110,1477682112933.94,91.83794,1477682115500.59
0,3,1,0,2,91.77129,1477682115433.5,94.33812,1477682118000.87
0,3,1,0,1,94.03813,1477682117701.6,96.57155,1477682120234.41
0,3,0,1,3,96.67162,1477682120334.64,99.20491,1477682122867.04
0,3,1,1,2,98.93834,1477682122600.98,100.86590,1477682124535.28
0,3,1,0,4,101.43850,1477682125100.42,103.97200,1477682127634.1
0,3,0,1,3,103.93860,1477682127600.56,106.47210,1477682130134.6
0,3,1,0,4,106.43880,1477682130100.81,108.97220,1477682132634.37
0,3,1,0,1,108.80560,1477682132467.75,111.33910,1477682135002.27
0,3,1,1,3,111.30570,1477682134967.22,112.96590,1477682136634.52
0,3,1,1,4,113.80570,1477682137467.44,115.46590,1477682139134.78
0,3,0,0,3,116.30600,1477682139968.11,117.96590,1477682141634.88
0,3,1,1,3,118.80620,1477682142468.12,120.46590,1477682144135.34
0,3,0,0,2,121.04000,1477682144702.18,122.70590,1477682146368.96
0,3,1,1,3,123.53990,1477682147201.05,125.20590,1477682148868.56
0,3,1,0,4,126.03990,1477682149701.25,128.57340,1477682152235.39
0,3,1,0,3,128.54010,1477682152201.8,131.07350,1477682154735.61
0,3,1,0,2,130.80690,1477682154468.79,133.34030,1477682157001.87
0,3,1,0,1,133.24050,1477682156901.74,135.77370,1477682159435.69
0,3,1,1,3,135.74040,1477682159402.07,137.44590,1477682161135.71
0,3,1,0,0,138.24070,1477682161903.11,140.77410,1477682164436.92
0,3,1,0,2,140.74070,1477682164402.07,143.27420,1477682166936.03
0,3,1,0,4,143.24080,1477682166902.21,145.77430,1477682169436.72
0,3,1,0,4,145.50760,1477682169169.66,148.00780,1477682171669.99
0,3,1,0,4,147.97440,1477682171636.46,150.50790,1477682174170.14
0,3,1,0,1,150.47460,1477682174136.8,153.00810,1477682176671.01
0,3,1,0,3,152.97470,1477682176636.6,155.50810,1477682179170.15
0,4,1,1,4,155.24150,1477682178902.95,157.12590,1477682180805.01
0,4,1,0,1,160.20780,1477682185903.98,162.74140,1477682188437.05
0,4,1,0,2,162.70800,1477682188404.05,165.24170,1477682190937.23
0,4,1,0,0,165.20820,1477682190904.19,167.74210,1477682206338.33
0,4,1,0,0,167.70870,1477682206305.3,170.24220,1477682208838.38
0,4,1,0,4,169.97560,1477682208571.77,172.50900,1477682211105.37
0,4,1,0,3,172.47570,1477682211071.79,175.00960,1477682213605.81
0,4,1,0,4,174.97580,1477682213572.09,177.50930,1477682216105.54
0,4,1,1,0,177.47640,1477682216072.79,179.16590,1477682217772.36
0,4,0,1,4,179.70930,1477682218305.94,182.24280,1477682220839.3
1,757.11310,8.77752,0,187.76590,1477682226372.62
