%Recollect Version 2.0. Scene/Level: nback2_intro, Game Number: 060
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Blue=0,Yellow=1,Green=2,Pink=3,White=4,Gray=5,Brown=6,Purple=7,None=8,
0,3,1,0,3,0.07678,1478636179487.51,1.43341,1478636180837.33
0,3,1,0,5,1.33337,1478636180736.97,3.86688,1478636183270.51
0,3,1,0,1,3.76685,1478636183170.75,6.33368,1478636185737.89
0,3,1,0,2,6.23358,1478636185636.88,8.76715,1478636188171.05
0,3,1,0,4,8.66718,1478636188070.92,11.20081,1478636190604.18
0,3,0,1,1,11.13397,1478636190537.48,13.66742,1478636193073.77
0,3,1,0,6,13.56744,1478636192970.82,16.10089,1478636195504.04
0,3,1,0,7,15.96753,1478636195371.25,18.50122,1478636197904.66
0,3,1,0,0,18.43433,1478636197837.88,20.96777,1478636200371.87
0,3,1,0,1,20.90118,1478636200304.49,23.43463,1478636202837.96
0,3,1,0,3,23.33466,1478636202737.99,25.86810,1478636205271.83
0,3,1,0,2,25.86810,1478636205271.47,28.40173,1478636207805.46
0,3,1,1,1,28.33508,1478636207738.28,29.98120,1478636209404.87
0,3,1,1,3,30.76855,1478636210172.03,32.56116,1478636211972.15
0,3,1,0,7,33.13544,1478636212538.43,35.66864,1478636215072.6
0,3,1,0,3,35.60815,1478636215011.29,38.16882,1478636217572.2
0,3,1,0,7,38.10211,1478636217505.59,40.66895,1478636220072.29
0,3,1,0,2,40.56909,1478636219972.79,43.10242,1478636222505.86
0,3,1,0,0,42.96906,1478636222372.39,45.50323,1478636224906.58
0,4,1,1,7,45.43604,1478636224838.93,47.06116,1478636226477.52
0,4,1,0,4,50.33655,1478636231772.88,52.86993,1478636234306.62
0,4,1,0,5,52.96991,1478636234406.45,55.50336,1478636236939.78
0,4,1,0,4,55.36993,1478636236806.48,57.90344,1478636239340.01
0,4,1,0,5,57.80347,1478636239240.32,60.37030,1478636241806.9
0,4,1,0,6,60.27039,1478636241707.1,62.80396,1478636244240.52
0,4,1,1,5,62.70386,1478636244140.14,64.60120,1478636246040.38
0,4,1,1,4,65.17059,1478636246606.88,66.78119,1478636248240.65
0,4,1,0,0,67.60406,1478636249040.57,70.13763,1478636251573.78
0,5,1,1,6,70.03754,1478636251473.72,72.16119,1478636253609.39
0,5,1,0,7,74.97107,1478636258441.27,77.50470,1478636260974.91
0,5,1,0,4,77.40448,1478636260874.75,79.90460,1478636263374.61
0,5,1,0,3,79.77136,1478636263241.27,82.30499,1478636265774.84
0,5,1,0,4,82.33905,1478636265808.63,84.87177,1478636268341.79
0,5,1,0,1,84.77155,1478636268241.45,87.30652,1478636270776.46
0,5,1,1,7,87.33856,1478636270808.28,88.94116,1478636272441.68
0,5,1,1,4,89.77191,1478636273242.01,91.38116,1478636274875.23
0,6,1,1,3,92.20551,1478636275675.58,93.78119,1478636277277.51
0,6,1,0,2,97.07245,1478636282575.95,99.60620,1478636285110.3
0,6,1,0,3,99.53937,1478636285042.24,102.07290,1478636287576.27
0,6,1,0,6,101.97280,1478636287476.14,104.50630,1478636290010.13
0,6,1,0,5,104.40660,1478636289910.28,106.90640,1478636292409.93
0,6,1,0,7,106.83980,1478636292342.83,109.37340,1478636294876.87
0,6,1,0,0,109.30670,1478636294810.12,111.84000,1478636297343.11
0,6,0,0,3,111.74020,1478636297243.16,113.52120,1478636299043.95
0,6,1,0,5,114.27350,1478636299776.89,116.80710,1478636302311.34
0,5,0,0,3,116.74050,1478636302243.6,118.84120,1478636304378.51
0,5,1,0,1,121.60740,1478636309144.73,124.17410,1478636311710.98
0,5,1,0,4,124.00750,1478636311544.18,126.54090,1478636314077.53
0,5,1,0,5,126.50770,1478636314044.41,129.04110,1478636316577.46
0,5,1,0,7,128.97470,1478636316511.43,131.50850,1478636319045.02
0,5,1,0,6,131.37540,1478636318912.13,133.90810,1478636321444.74
0,5,1,0,7,133.84120,1478636321378.03,136.37480,1478636323910.99
0,5,1,0,1,136.27480,1478636323811.16,138.80880,1478636326345.54
0,5,1,1,5,138.74150,1478636326278.24,140.50120,1478636328045.89
0,5,0,0,4,141.24160,1478636328778.25,142.92120,1478636330478.26
0,5,1,0,3,143.77520,1478636331311.62,146.30860,1478636333845.38
0,5,1,1,7,146.20870,1478636333745.42,148.02120,1478636335582.89
0,5,1,1,1,148.64210,1478636336179.23,150.56120,1478636338112.56
0,5,1,0,7,151.10890,1478636338645.63,153.64260,1478636341179.26
0,5,1,0,3,153.54250,1478636341079.1,156.10920,1478636343646.3
0,5,1,0,5,156.00930,1478636343546.3,158.54270,1478636346079.68
0,6,1,1,7,158.40940,1478636345945.94,160.28120,1478636347848.59
0,6,0,0,0,163.34330,1478636352913.11,164.92120,1478636354512.98
0,6,1,0,0,165.77660,1478636355346.27,168.31010,1478636357880.63
0,6,1,0,7,168.14370,1478636357714.23,170.67690,1478636360246.59
0,6,1,0,0,170.71030,1478636360280.58,173.24400,1478636362814
0,6,1,0,3,173.14370,1478636362714.06,175.71060,1478636365281.25
