%Recollect Version 2.0. Scene/Level: nback0_advan, Game Number: 024
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Orange=0,Green=1,Purple=2,Blue=3,White=4,None=5,
0,3,1,0,1,1.13312,1477941194684.76,3.66663,1477941197217.13
0,3,1,0,4,3.63330,1477941197184.29,6.16663,1477941199717.13
0,3,1,0,3,6.13342,1477941199685.87,8.66705,1477941202217.56
0,3,1,1,1,8.63355,1477941202184.7,10.29230,1477941203854.12
0,3,1,1,4,10.90051,1477941204451.6,12.55231,1477941206120.93
0,4,1,1,3,13.40045,1477941206951.29,15.05231,1477941208620.83
0,4,1,0,1,18.40082,1477941213985.24,20.90094,1477941216485.51
0,4,1,0,2,20.63428,1477941216219.35,23.16766,1477941218752.04
0,4,1,0,2,23.10101,1477941218685.37,25.63446,1477941221218.77
0,4,1,0,3,25.60120,1477941221186.5,28.13464,1477941223719.77
0,4,1,0,4,28.10132,1477941223685.95,30.63477,1477941226220.33
0,4,1,0,0,30.60144,1477941226185.7,33.13489,1477941228719.2
0,4,1,0,3,33.10162,1477941228686.9,35.63507,1477941231220.26
0,4,0,0,2,35.33508,1477941230919.57,37.49231,1477941233086.03
0,4,1,0,0,37.83527,1477941233419.49,40.40198,1477941235986.76
0,4,1,0,1,40.33533,1477941235919.8,42.90216,1477941238486.6
0,4,1,0,0,42.83551,1477941238420.39,45.40228,1477941240987.82
0,4,1,0,3,45.10229,1477941240686.95,47.63568,1477941243219.9
0,4,1,0,1,47.53613,1477941243121.44,50.10248,1477941245687.03
0,4,1,0,4,50.03577,1477941245619.9,52.60266,1477941248186.69
0,4,1,1,0,52.53601,1477941248120.37,54.27234,1477941249887
0,4,1,0,2,55.03619,1477941250621.04,57.60297,1477941253187.85
0,4,1,0,0,57.53638,1477941253121.13,60.10333,1477941255688.63
0,4,0,0,0,59.80304,1477941255387.6,61.51233,1477941257120.38
0,3,0,0,3,62.30322,1477941257888.2,63.97229,1477941259588.64
0,3,1,0,2,67.30341,1477941264921.97,69.83679,1477941267455.01
0,3,1,0,0,69.53680,1477941267154.84,72.10358,1477941269721.67
0,3,1,0,3,72.03693,1477941269655.34,74.53705,1477941272156.08
0,3,1,0,4,74.53705,1477941272155.63,77.03729,1477941274655.66
0,3,1,0,3,77.03729,1477941274655.25,79.53729,1477941277155.97
0,3,1,0,0,79.53729,1477941277159.55,82.07074,1477941279688.77
0,3,1,0,2,82.03766,1477941279656.73,84.57098,1477941282188.8
0,3,1,0,4,84.27094,1477941281888.61,86.80450,1477941284422.46
0,3,0,0,4,86.77118,1477941284388.39,88.61237,1477941286255.27
0,3,1,0,1,89.27130,1477941286888.85,91.80463,1477941289422.82
0,3,1,0,0,91.77142,1477941289388.91,94.30487,1477941291923.03
0,3,1,1,4,94.03815,1477941291656.6,95.69232,1477941293322.96
0,3,1,0,0,96.63837,1477941294256.49,99.20514,1477941296823.18
0,3,1,0,2,98.90509,1477941296523.91,101.43870,1477941299056.94
0,3,1,0,3,101.40550,1477941299023.33,103.93890,1477941301557.07
0,3,1,0,2,103.90550,1477941301524.1,106.43890,1477941304057.03
0,3,1,0,4,106.40570,1477941304023.56,108.93900,1477941306557.55
0,3,1,0,0,108.80570,1477941306423.93,111.33920,1477941308957.22
0,3,1,0,1,111.27240,1477941308890.44,113.83930,1477941311457.35
0,3,0,0,2,113.77250,1477941311391.1,115.45230,1477941313090.71
0,3,1,0,3,116.27280,1477941313890.79,118.83950,1477941316457.76
0,3,1,1,1,118.77300,1477941316391,120.45230,1477941318090.47
0,3,1,0,3,121.04500,1477941318663.46,123.57320,1477941321191.02
0,3,1,1,3,123.54000,1477941321158.02,125.21230,1477941322858.08
0,4,1,1,1,126.04000,1477941323657.94,127.71230,1477941325358.74
1,517.13510,2.32942,2,127.77230,1477941327424.37
0,4,1,0,1,130.77340,1477941330425.13,133.31380,1477941332965.24
0,4,1,0,2,133.24080,1477941332892.05,135.77370,1477941335425.34
0,4,1,0,1,135.74040,1477941335392.16,138.27420,1477941337925.98
0,4,1,0,3,138.24040,1477941337892.55,140.77400,1477941340426.74
0,4,1,0,0,140.74070,1477941340392.07,143.27410,1477941342925.59
0,4,0,0,1,143.24080,1477941342892.36,144.89230,1477941344558.68
0,4,1,1,1,145.47530,1477941345126.82,147.15230,1477941346825.3
0,4,1,0,0,147.97430,1477941347625.93,150.50790,1477941350158.75
0,4,1,0,4,150.47450,1477941350126.8,153.00800,1477941352659.21
0,4,0,0,2,152.97470,1477941352626.16,155.13230,1477941354793.31
0,4,1,1,1,155.24140,1477941354892.85,157.05230,1477941356725.82
0,4,1,0,2,157.67490,1477941357326.61,160.24180,1477941359893.31
0,4,1,0,0,160.17500,1477941359826.62,162.74190,1477941362393.5
0,4,1,0,4,162.67520,1477941362326.77,165.24200,1477941364894.15
0,4,1,0,3,165.17540,1477941364826.68,167.74210,1477941367393.6
0,4,1,0,4,167.67560,1477941367327.42,170.24240,1477941369894.6
0,4,0,1,0,169.94220,1477941369593.6,172.47580,1477941372128.04
0,3,0,1,4,172.44240,1477941372094.47,174.97590,1477941374629.64
0,3,1,0,4,177.44270,1477941379127.8,179.97630,1477941386195.84
0,3,1,0,1,179.67630,1477941385894.72,182.24310,1477941388462.11
1,757.10420,10.00002,1,187.75230,1477941393994.11
