%Recollect Version 2.0. Scene/Level: nback0_intro, Game Number: 050
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Blue=0,Yellow=1,Green=2,Pink=3,White=4,Gray=5,Brown=6,Purple=7,None=8,
0,3,1,0,0,1.11661,1478629383949.01,3.68362,1478629386516.74
0,3,1,0,3,3.61691,1478629386449.57,6.18390,1478629389016.62
0,3,1,0,2,6.11697,1478629388949.46,8.68375,1478629391516.25
0,3,1,0,1,8.61711,1478629391449.79,11.18404,1478629394016.3
0,3,1,1,3,10.88403,1478629393716.3,12.47537,1478629395319.19
0,3,1,0,1,13.38402,1478629396216.6,15.91748,1478629398750.08
0,3,1,1,1,15.88438,1478629398716.86,17.67537,1478629400516.88
0,4,1,1,3,18.38458,1478629401217.06,20.11537,1478629402954.32
0,4,1,0,0,23.11789,1478629407983.75,25.65137,1478629410516.93
0,4,1,0,2,25.61813,1478629410484.39,28.15166,1478629413017.49
0,4,1,0,1,28.11816,1478629412984.07,30.65163,1478629415517.47
0,4,1,0,2,30.61865,1478629415484.56,33.15196,1478629418017.85
0,4,1,1,0,33.11845,1478629417984.32,34.69537,1478629419584.2
0,4,1,1,2,35.38525,1478629420251.21,37.03537,1478629421917.71
0,5,1,1,1,37.88539,1478629422751.18,39.57538,1478629424453.28
0,5,1,0,0,42.88577,1478629429785.19,45.41901,1478629432318.43
0,5,1,0,3,45.11914,1478629432018.69,47.65262,1478629434551.68
0,5,1,0,0,47.58569,1478629434484.99,50.08621,1478629436985.72
0,5,1,0,1,50.08621,1478629436985.55,52.58945,1478629439488.91
0,5,1,0,2,52.58945,1478629439492.09,55.08636,1478629441985.75
0,5,1,0,3,55.08636,1478629441989.58,57.58630,1478629444485.79
0,5,1,0,1,57.55301,1478629444451.91,60.08664,1478629446986.06
0,5,1,0,3,59.82059,1478629446719.91,62.35330,1478629449252.27
0,5,0,0,2,62.32028,1478629449219.63,63.93536,1478629450852.58
0,5,1,0,0,64.82016,1478629451719.62,67.35358,1478629454252.63
0,5,1,1,3,67.32022,1478629454219.59,68.89539,1478629455819.77
0,5,1,0,2,69.58704,1478629456486.42,72.08731,1478629458986.67
0,5,1,0,1,72.02048,1478629458920,74.58731,1478629461487.18
0,5,1,0,3,74.52081,1478629461420.07,77.08792,1478629463987.21
0,5,1,0,3,77.02078,1478629463920.34,79.58759,1478629466487.31
0,5,1,0,2,79.52090,1478629466420.27,82.08789,1478629468987.34
0,5,1,1,2,82.02106,1478629468920.43,83.65536,1478629470587.16
0,5,1,0,0,84.28793,1478629471187.27,86.82129,1478629473720.7
0,5,0,0,2,86.78836,1478629473688.92,88.77536,1478629475687.79
0,4,0,0,0,89.28815,1478629476187.63,90.87537,1478629477789.63
0,4,1,0,2,94.02155,1478629482954.9,96.58838,1478629485521.44
0,4,1,0,0,96.68854,1478629485621.39,99.22202,1478629488154.95
0,4,1,0,0,98.92188,1478629487854.92,101.45530,1478629490387.79
0,4,1,0,2,101.42220,1478629490355.64,103.95560,1478629492888.6
0,4,1,0,1,103.92210,1478629492854.89,106.45550,1478629495388.35
0,4,1,0,1,106.42230,1478629495355.31,108.95590,1478629497889.5
0,4,1,0,1,108.78910,1478629497721.93,111.32270,1478629500255.59
0,4,1,0,3,111.28920,1478629500221.98,113.82270,1478629502755.55
0,4,1,0,2,113.78950,1478629502721.99,116.32300,1478629505257.22
0,4,1,0,0,116.28940,1478629505221.95,118.82300,1478629507755.82
0,4,1,0,3,118.78980,1478629507723.19,121.32310,1478629510255.98
0,4,1,1,3,121.05670,1478629509989.5,122.61540,1478629511556.48
0,4,1,1,2,123.55650,1478629512489.46,125.31540,1478629514257.42
0,5,1,1,0,126.05690,1478629514989.7,127.67540,1478629516624.85
0,5,0,0,2,130.79050,1478629521756.31,132.93540,1478629523923.37
0,5,1,0,1,133.22380,1478629524190.26,135.75740,1478629526724.78
0,5,1,0,0,135.72390,1478629526690.39,138.25740,1478629529223.8
0,5,1,0,2,138.22420,1478629529190.9,140.75770,1478629531724.51
0,5,1,0,3,140.72420,1478629531690.46,143.25770,1478629534224.16
0,5,1,0,3,143.22420,1478629534190.72,145.75780,1478629536724.21
0,5,1,1,1,145.49110,1478629536457.02,147.13540,1478629538124.49
0,5,1,0,2,147.99120,1478629538957.15,150.52490,1478629541491.76
0,5,1,0,1,150.49140,1478629541457.31,153.02490,1478629543991.22
0,5,1,0,0,152.99150,1478629543957.56,155.52500,1478629546491.32
0,5,1,1,3,155.22500,1478629546191.15,156.81540,1478629547791.88
0,6,1,1,1,157.69180,1478629548657.73,159.35540,1478629550326.9
0,6,1,0,2,162.69120,1478629555691.44,165.22480,1478629558225.56
0,6,1,0,1,165.19160,1478629558191.9,167.72490,1478629560725.53
0,6,1,0,1,167.69140,1478629560691.71,170.22490,1478629563225.51
0,6,1,0,2,169.95840,1478629562958.96,172.49190,1478629565492.18
0,6,1,0,1,172.45850,1478629565459.38,174.99200,1478629567992.32
0,6,1,0,3,174.95860,1478629567959.47,177.49200,1478629570492.24
0,6,1,1,2,177.45880,1478629570459.36,179.23540,1478629572259.74
0,6,1,0,0,179.69210,1478629572692.35,182.22570,1478629575226.46
