%Recollect Version 2.0. Scene/Level: nback2_advan, Game Number: 111
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Blue=0,Yellow=1,Green=2,Pink=3,White=4,Gray=5,Brown=6,Purple=7,None=8,
0,3,1,0,0,0.07507,1479414097745.66,1.40021,1479414099057.26
0,3,1,0,5,1.33331,1479414098989.48,3.86700,1479414101522.59
0,3,1,0,7,3.76679,1479414101422.05,6.30023,1479414103956.59
0,3,1,0,3,6.23383,1479414103890.25,8.73370,1479414106390.42
0,3,1,0,1,8.63373,1479414106289.9,11.20050,1479414108856.71
0,3,0,1,7,11.10046,1479414108756.79,13.63434,1479414111293.51
0,3,1,1,3,13.53400,1479414111190.19,15.71075,1479414113389.22
0,3,1,0,6,15.96759,1479414113623.17,18.50092,1479414116157.12
0,3,1,1,7,18.43427,1479414116090.29,20.05072,1479414117723.11
0,4,1,1,3,20.90106,1479414118557.74,22.65076,1479414120326.78
0,4,1,0,5,25.86786,1479414125556.49,28.40149,1479414128090.85
0,4,1,0,1,28.33466,1479414128024.17,30.86816,1479414130557.04
0,4,1,0,3,30.76898,1479414130457.94,33.30164,1479414132991.19
0,4,1,0,1,33.13489,1479414132824.46,35.66846,1479414135357.27
0,4,1,1,5,35.60199,1479414135292.3,37.29071,1479414136991.38
0,4,1,0,6,38.10199,1479414137790.93,40.63538,1479414140324.9
0,4,1,0,4,40.53558,1479414140224.92,43.10217,1479414142791.59
0,4,1,0,2,42.96881,1479414142657.43,45.50226,1479414145191.62
0,4,1,1,5,45.43567,1479414145125.16,47.13074,1479414146825.11
0,4,1,0,7,47.86926,1479414147558.68,50.40271,1479414150092.57
0,5,1,1,4,50.33606,1479414150025.49,51.93073,1479414151627.16
0,5,1,0,0,55.36945,1479414157091.75,57.90332,1479414159626.05
0,5,1,0,7,57.80298,1479414159526.37,60.33649,1479414162059.74
0,5,1,0,0,60.23639,1479414161959.4,62.80328,1479414164525.9
0,5,1,0,5,62.70331,1479414164425.7,65.23669,1479414166959.19
0,5,1,0,6,65.13690,1479414166859.33,67.70355,1479414169426.02
0,5,1,0,2,67.60352,1479414169326.04,70.13702,1479414171860
0,5,1,0,6,70.03723,1479414171759.96,72.57068,1479414174292.83
0,5,1,0,5,72.50385,1479414174226.39,75.03729,1479414176760.07
0,5,1,1,5,74.97064,1479414176692.49,76.75073,1479414178492.95
0,5,1,0,7,77.37079,1479414179093.96,79.93756,1479414181660.48
0,5,1,0,6,79.73755,1479414181460.32,82.27112,1479414183994.57
0,5,1,1,6,82.33777,1479414184060.37,84.01074,1479414185759.93
0,5,1,0,0,84.77118,1479414186493.85,87.30548,1479414189028.38
0,5,1,0,1,87.33801,1479414189060.98,89.87164,1479414191594.45
0,6,1,1,7,89.77148,1479414191494.14,91.73071,1479414193463.97
0,6,1,0,4,94.67120,1479414198428.16,97.20483,1479414200961.07
0,6,1,0,0,97.10486,1479414200860.95,99.63831,1479414203395.1
0,6,1,0,2,99.53827,1479414203295.22,102.07180,1479414205828.83
0,6,1,0,5,102.00520,1479414205760.96,104.53860,1479414208295.28
0,6,1,0,3,104.43840,1479414208195.71,106.97190,1479414210729.13
0,6,1,0,2,106.87190,1479414210629.15,109.43880,1479414213195.87
0,6,1,1,4,109.33870,1479414213095.72,110.95070,1479414214728.16
0,6,0,1,0,111.77220,1479414215529.25,114.33900,1479414218096.87
0,6,1,1,2,114.33900,1479414218101.25,115.93070,1479414219695.98
0,6,1,0,3,116.77250,1479414220529.13,119.30590,1479414223062.14
0,6,1,0,0,119.20620,1479414222962.4,121.73940,1479414225496.22
0,6,1,0,3,121.63940,1479414225395.98,124.17290,1479414227929.79
0,6,1,0,1,124.03960,1479414227796.13,126.57300,1479414230329.59
0,6,1,1,0,126.53970,1479414230296.29,128.13070,1479414231896.63
0,7,1,1,2,128.97310,1479414232730.01,130.59070,1479414234364.7
0,7,1,0,7,133.87350,1479414239663.25,136.40730,1479414242197.94
0,7,1,0,1,136.30700,1479414242096.13,138.84030,1479414244630.2
0,7,1,0,7,138.77380,1479414244564.56,141.30710,1479414247097.11
1,580.19600,1.36017,0,143.51070,1479414249302.04
0,7,1,0,2,141.27390,1479414247064.2,143.80730,1479414249596.87
