%Recollect Version 2.0. Scene/Level: nback0_inter, Game Number: 139
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Blue=0,Yellow=1,Green=2,Pink=3,White=4,Gray=5,Brown=6,Purple=7,None=8,
0,3,1,0,0,1.11583,1479849785081.57,3.64949,1479849787615.25
0,3,1,0,2,3.61632,1479849787582.2,6.14961,1479849790115.96
0,3,1,0,3,6.11629,1479849790082.56,8.64975,1479849792615.73
0,3,1,1,0,8.61647,1479849792583.49,10.78770,1479849794783.25
0,3,1,0,1,10.88333,1479849794849.96,13.41660,1479849797384.67
0,3,1,0,0,13.38333,1479849797348.72,15.91682,1479849799883.7
0,3,1,1,0,15.88368,1479849799847.91,17.46770,1479849801447.32
0,4,1,1,1,18.38365,1479849802348.87,20.02769,1479849804018.63
0,4,1,0,0,23.11710,1479849809116.49,25.65071,1479849811651.79
0,4,1,0,3,25.61722,1479849811616.14,28.15065,1479849814149.24
0,4,1,0,2,28.11755,1479849814117.72,30.65114,1479849816651.07
0,4,1,0,1,30.61749,1479849816616.95,33.15097,1479849819151.06
0,4,1,1,0,33.11765,1479849819117.1,34.68770,1479849820714.93
0,4,1,0,2,35.35126,1479849821349.87,37.88457,1479849823882.46
0,4,0,0,3,37.85133,1479849823850.43,39.52769,1479849825548.68
0,4,1,0,3,40.35130,1479849826351.5,42.88486,1479849828883.76
0,4,1,0,2,42.85155,1479849828852.5,45.38493,1479849831383.73
0,4,1,1,2,45.11830,1479849831116.69,46.72771,1479849832749.12
0,4,1,0,0,47.55177,1479849833550.94,50.08528,1479849836083.12
0,4,1,1,3,50.05208,1479849836051.8,51.62770,1479849837649.82
0,4,1,0,0,52.55205,1479849838550.68,55.08556,1479849841083.29
0,5,1,1,2,55.05217,1479849841052.42,56.66771,1479849842685.94
0,5,1,0,2,59.81929,1479849847851.59,62.35277,1479849850385.6
0,5,0,0,1,62.31941,1479849850351.39,63.94771,1479849851984.9
0,4,0,0,0,64.81987,1479849852852.73,66.80769,1479849854852.86
0,4,1,0,0,69.55333,1479849859618.73,72.08717,1479849862151.88
0,4,1,0,0,72.02034,1479849862086.86,74.55360,1479849864619.05
0,4,1,0,2,74.52028,1479849864585.86,77.05376,1479849867120.4
0,4,1,0,0,77.02061,1479849867086.41,79.55388,1479849869619.94
0,4,1,0,1,79.52055,1479849869586.13,82.05403,1479849872120.19
0,4,0,0,2,82.02068,1479849872086.06,83.68770,1479849873752.73
0,3,0,0,0,84.28743,1479849874353.06,85.86769,1479849875953.15
0,3,1,0,3,89.28752,1479849881386.42,91.82130,1479849883920.1
0,3,1,0,2,91.78783,1479849883889.67,94.32112,1479849886420.49
0,3,1,0,1,94.02113,1479849886120.21,96.55458,1479849888654.75
0,3,1,0,2,96.65492,1479849888755.15,99.18913,1479849891289.19
0,3,1,1,2,98.88808,1479849890988.7,100.52770,1479849892652.79
0,3,1,0,3,101.38820,1479849893487.75,103.95500,1479849896054.03
0,3,1,0,1,103.88840,1479849895988.62,106.45520,1479849898555.8
0,3,1,0,0,106.38850,1479849898487.32,108.95530,1479849901054.17
0,3,1,0,0,108.78860,1479849900888.51,111.32210,1479849903420.74
0,3,1,0,2,111.28880,1479849903387.83,113.82220,1479849905919.89
0,3,0,0,3,113.78880,1479849905887.8,115.42770,1479849907553.11
0,3,1,0,2,116.28900,1479849908388.94,118.82250,1479849910921.84
0,3,1,0,0,118.78910,1479849910889.01,121.32280,1479849913421.94
0,3,1,0,1,121.05620,1479849913156.37,123.55610,1479849915656.05
0,2,0,0,3,123.55610,1479849915655.29,125.10770,1479849917221.98
1,506.96060,0.76025,2,125.22770,1479849919387.09
1,515.60670,0.54462,1,127.38770,1479849921521.48
0,2,1,0,1,128.55640,1479849922688.58,131.05650,1479849925189.05
0,2,1,0,0,130.78980,1479849924922.98,133.32330,1479849927455.34
0,2,1,0,2,133.22350,1479849927355.1,135.75670,1479849929888.77
0,2,1,0,3,135.72340,1479849929855.4,138.25690,1479849932390.05
0,2,1,0,1,138.22360,1479849932355.45,140.75700,1479849934890.01
0,2,1,0,2,140.72410,1479849934856.64,143.25720,1479849937391.55
0,2,1,0,0,143.22400,1479849937356,145.75730,1479849939890.2
0,2,1,0,3,145.49060,1479849939623.98,148.02410,1479849942155.7
0,2,1,0,3,147.99080,1479849942124.37,150.52420,1479849944656.85
0,2,1,0,2,150.49090,1479849944623.4,153.02440,1479849947155.18
0,2,1,0,0,152.99100,1479849947125.63,155.49120,1479849949625.21
0,2,1,1,2,155.22450,1479849949355.46,156.98770,1479849951123.35
0,2,1,1,0,157.69130,1479849951824.77,159.28770,1479849953423.78
0,3,1,1,2,160.19140,1479849954324.58,161.80770,1479849955957.56
0,3,1,0,2,165.19160,1479849961358.4,167.72530,1479849963890.43
0,3,1,0,0,167.69180,1479849963857.66,170.22520,1479849966389.89
0,3,1,0,1,169.95850,1479849966125.48,172.49210,1479849968659
0,3,1,0,0,172.45870,1479849968625.86,174.99220,1479849971159.03
0,3,1,1,0,174.95900,1479849971126.77,176.70770,1479849972890.99
0,3,1,0,2,177.45930,1479849973625.83,179.99240,1479849976158.57
0,3,1,1,0,179.69250,1479849975859.39,181.28770,1479849977459.23
1,806.78930,11.20095,0,200.16770,1479849996342.58
