%Recollect Version 2.0. Scene/Level: nback0_intro, Game Number: 130
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Blue=0,Yellow=1,Green=2,Pink=3,White=4,Gray=5,Brown=6,Purple=7,None=8,
0,3,1,0,2,1.15007,1479231800219.29,3.68353,1479231802752.47
0,3,1,0,0,3.65015,1479231802719.64,6.18366,1479231805252.56
0,3,1,0,1,6.15038,1479231805219.57,8.68382,1479231807752.62
0,3,1,1,2,8.65117,1479231807720.11,10.30511,1479231809389.08
0,3,1,0,1,10.91727,1479231809986.27,13.45099,1479231812519.92
0,3,1,1,1,13.41739,1479231812486.57,15.04510,1479231814119.99
0,4,1,1,2,15.91769,1479231814986.79,17.50511,1479231816590.91
0,4,1,0,1,20.65091,1479231821753.82,23.18460,1479231824286.97
0,4,1,0,1,23.11772,1479231824220.43,25.65118,1479231826753.97
0,4,1,0,2,25.61786,1479231826720.69,28.15134,1479231829254.16
0,4,1,0,0,28.11931,1479231829222.74,30.65150,1479231831754.34
0,4,1,0,3,30.61841,1479231831721.87,33.15175,1479231834254.64
0,4,1,1,1,33.11827,1479231834220.66,34.76512,1479231835887.9
0,4,1,0,0,35.38506,1479231836487.55,37.91872,1479231839021.91
0,4,1,1,0,37.88521,1479231838987.9,39.46510,1479231840587.88
0,4,0,0,1,40.38600,1479231841488.6,42.26512,1479231843389.45
0,4,1,1,1,42.88545,1479231843988.17,44.52510,1479231845654.89
0,4,0,0,3,45.11894,1479231846221.33,46.70509,1479231847821.73
0,4,1,0,2,47.58595,1479231848689.27,50.08617,1479231851189
0,4,1,0,3,50.08617,1479231851188.81,52.58604,1479231853688.66
0,4,1,0,0,52.58604,1479231853691.74,55.08632,1479231856189.04
0,4,1,0,2,55.08632,1479231856191.86,57.58641,1479231858689.27
0,4,1,0,3,57.55327,1479231858656.14,60.08656,1479231861189.26
0,4,1,0,0,59.81969,1479231860922.61,62.35338,1479231863456.86
0,4,1,1,0,62.31990,1479231863422.34,63.90511,1479231865022.77
0,4,0,0,1,64.82008,1479231865922.74,66.46510,1479231867590.16
0,3,0,1,3,67.32021,1479231868422.48,69.85368,1479231870958.36
0,3,1,0,2,72.05354,1479231875189.72,74.58702,1479231877723.38
0,3,1,0,3,74.55370,1479231877690.05,77.08733,1479231880223.78
0,3,1,0,2,77.05498,1479231880191.3,79.58730,1479231882724.08
0,3,1,0,3,79.55397,1479231882690.57,82.08736,1479231885223.76
0,3,1,0,1,82.05446,1479231885190.79,84.58757,1479231887723.89
0,3,1,0,3,84.28758,1479231887424.14,86.85463,1479231889990.98
0,3,1,0,0,86.78786,1479231889924.21,89.35451,1479231892491.12
0,3,1,0,0,89.28801,1479231892424.31,91.85466,1479231894991
0,3,1,0,1,91.78798,1479231894925.08,94.35487,1479231897491.29
0,3,1,1,0,94.05553,1479231897191.92,95.64510,1479231898791.45
0,3,1,0,3,96.68825,1479231899824.51,99.22191,1479231902358.01
0,3,1,0,2,98.92174,1479231902057.75,101.45530,1479231904592.8
0,3,1,0,3,101.42190,1479231904557.73,103.95530,1479231907091.56
0,3,1,0,2,103.92200,1479231907057.88,106.45550,1479231909592.18
0,3,1,0,0,106.42210,1479231909558.24,108.95560,1479231912091.84
0,3,1,0,2,108.78910,1479231911925.27,111.35570,1479231914491.96
0,3,1,0,0,111.28930,1479231914425.51,113.85590,1479231916992.17
0,3,1,0,3,113.78940,1479231916925.68,116.35620,1479231919492.49
0,3,1,1,2,116.28950,1479231919425.77,117.92510,1479231921092.28
0,4,1,1,0,118.78960,1479231921925.79,120.38510,1479231923527.69
0,4,1,0,3,123.55660,1479231928726.62,126.09020,1479231931259.83
0,4,1,0,0,126.05670,1479231931226.19,128.59030,1479231933759.9
0,4,1,0,2,128.55670,1479231933726.58,131.09030,1479231936259.84
0,4,1,0,1,130.79040,1479231935959.95,133.35720,1479231938526.8
0,4,1,1,3,133.25720,1479231938426.86,135.20510,1479231940393.62
0,4,1,1,0,135.75720,1479231940926.85,137.34510,1479231942527.17
0,4,1,0,1,138.25730,1479231943426.86,140.79080,1479231945960.54
0,5,1,1,1,140.75780,1479231945927.38,142.38510,1479231947562.74
0,5,1,0,3,145.49090,1479231952694.13,148.05800,1479231955261.28
0,5,1,0,3,147.99120,1479231955194.35,150.55800,1479231957761.38
0,5,1,0,0,150.49140,1479231957694.73,153.05840,1479231960261.61
0,5,1,0,3,152.99150,1479231960194.73,155.52480,1479231962727.86
0,5,1,0,0,155.25810,1479231962461.38,157.79200,1479231964995.25
0,5,1,1,3,157.72500,1479231964927.96,159.28510,1479231966495.4
0,5,1,0,1,160.22540,1479231967428.95,162.72520,1479231969928.85
0,5,1,0,3,162.72520,1479231969931.72,165.22580,1479231972429.49
0,5,1,1,3,165.22580,1479231972429.31,166.78510,1479231973996.11
0,6,1,1,0,167.69220,1479231974895.37,169.30510,1479231976530.91
0,6,1,0,3,172.45900,1479231981695.6,174.99250,1479231984230.09
0,6,1,0,0,174.95930,1479231984195.92,177.49540,1479231986732.32
0,6,1,0,3,177.46000,1479231986696.5,179.99300,1479231989229.73
0,6,1,0,0,179.69270,1479231988929.45,182.22620,1479231991463.03
