%Recollect Version 2.0. Scene/Level: nback0_intro, Game Number: 034
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Orange=0,Green=1,Purple=2,Blue=3,White=4,None=5,
0,2,1,0,4,1.13330,1478046802404.34,3.66681,1478046804937.85
0,2,1,0,0,3.63355,1478046804904.62,6.16705,1478046807438.09
0,2,1,0,0,6.13367,1478046807404.92,8.66724,1478046809938.27
0,2,1,0,3,8.63385,1478046809904.66,11.16742,1478046812438.81
0,2,1,0,2,10.90057,1478046812171.24,13.43408,1478046814705.08
0,2,1,0,1,13.40076,1478046814671.36,15.93427,1478046817205.32
0,2,1,0,1,15.90088,1478046817171.32,18.43433,1478046819705.16
0,2,1,1,1,18.40106,1478046819672.07,20.26514,1478046821541.21
0,2,1,0,2,20.63452,1478046821905.87,23.16803,1478046824438.72
0,2,1,0,3,23.13464,1478046824405.62,25.66821,1478046826939.18
0,2,1,0,1,25.63531,1478046826906.25,28.16827,1478046829439.22
0,2,1,0,2,28.13507,1478046829405.89,30.66913,1478046831940.93
0,2,1,0,4,30.63501,1478046831905.9,33.16852,1478046834439.38
0,2,1,1,2,33.13519,1478046834405.94,34.78510,1478046836073.15
0,2,1,0,3,35.36877,1478046836639.58,37.93549,1478046839206.36
0,2,1,0,4,37.86877,1478046839139.63,40.43561,1478046841706.41
0,3,1,1,3,40.36896,1478046841640.21,42.04510,1478046843344.24
0,3,1,0,1,45.13733,1478046848440.03,47.67084,1478046850973.51
0,3,1,0,4,47.57080,1478046850873.5,50.10443,1478046853406.82
0,3,1,0,2,50.07092,1478046853373.53,52.60437,1478046855906.71
0,3,1,0,3,52.57111,1478046855873.99,55.10455,1478046858406.95
0,3,1,0,2,55.07117,1478046858373.79,57.60474,1478046860907.76
0,3,0,1,2,57.57135,1478046860874.13,60.10486,1478046863407.77
0,3,1,0,2,59.83813,1478046863141.55,62.37170,1478046865674.53
0,3,1,0,1,62.30518,1478046865607.79,64.87177,1478046868174.99
0,3,1,0,4,64.80511,1478046868108,67.37195,1478046870674.84
0,2,0,0,1,67.30536,1478046870608.14,68.98511,1478046872309.69
0,2,1,0,0,72.03894,1478046877374.61,74.57245,1478046879908.59
0,2,1,0,1,74.53912,1478046879875.74,77.07269,1478046882408.82
0,2,1,0,3,77.03925,1478046882375.11,79.57269,1478046884908.84
0,2,1,0,2,79.53943,1478046884875.37,82.07288,1478046887409.05
0,2,1,1,3,82.03955,1478046887375.34,83.70514,1478046889042.6
0,2,1,1,2,84.30627,1478046889642.31,86.00513,1478046891343.74
0,2,1,0,0,86.80664,1478046892142.85,89.33997,1478046894675.75
0,2,1,0,1,89.30658,1478046894642.63,91.84015,1478046897176.45
0,2,1,0,2,91.80676,1478046897142.78,94.34027,1478046899676.09
0,2,1,0,3,94.04028,1478046899376.03,96.57367,1478046901910.23
0,2,1,0,1,96.67371,1478046902009.63,99.20728,1478046904543.31
0,2,1,0,0,98.90710,1478046904243.09,101.47390,1478046906810.37
0,2,1,0,4,101.40720,1478046906743.17,103.97410,1478046909310.03
0,3,1,1,0,103.90750,1478046909243.3,105.64510,1478046911011.22
0,3,1,0,2,108.80730,1478046916177.17,111.34090,1478046918710.51
0,3,1,0,1,111.30750,1478046918677.96,113.84080,1478046921210.41
0,3,1,0,0,113.80750,1478046921177.39,116.34090,1478046923710.6
0,3,1,0,3,116.30770,1478046923677.7,118.84110,1478046926210.72
0,3,0,0,2,118.80770,1478046926177.52,120.46510,1478046927844.46
0,2,0,0,1,121.07450,1478046928445.08,122.72510,1478046930113.06
0,2,0,0,0,126.07600,1478046935478.08,128.18510,1478046937611.52
0,2,1,0,3,128.57600,1478046937978.41,131.07650,1478046940478.77
0,2,1,0,4,130.80960,1478046940211.85,133.34350,1478046942745.48
0,2,1,1,3,133.24300,1478046942644.88,134.90510,1478046944312.28
0,2,1,1,4,135.74320,1478046945145.03,137.40510,1478046946812.41
0,2,1,0,4,138.24320,1478046947645.08,140.77690,1478046950178.99
0,2,1,0,0,140.74350,1478046950145.39,143.27700,1478046952679.08
0,2,1,0,2,143.24370,1478046952645.56,145.77720,1478046955179.51
0,2,1,0,1,145.51040,1478046954912.52,148.04380,1478046957445.77
0,2,1,0,0,148.01060,1478046957412.67,150.54400,1478046959945.81
0,2,1,0,4,150.51070,1478046959912.88,153.01080,1478046962413.44
0,2,1,0,1,153.01080,1478046962413.28,155.51100,1478046964913.22
0,2,1,0,2,155.24430,1478046964646.11,157.77780,1478046967180.15
0,2,1,0,0,157.71110,1478046967113.17,160.24470,1478046969646.49
0,3,1,1,2,160.21120,1478046969613.36,161.88510,1478046971316.03
0,3,1,0,0,165.21240,1478046976647.88,167.74570,1478046979181.29
0,3,1,0,0,167.71240,1478046979147.24,170.24580,1478046981680.73
0,3,1,0,4,169.94590,1478046981380.69,172.51260,1478046983948.09
0,3,1,0,3,172.44650,1478046983881.32,175.01280,1478046986447.65
0,3,1,1,0,174.94610,1478046986381.15,176.66510,1478046988114.39
0,3,1,0,3,177.44620,1478046988881.02,180.01310,1478046991448
0,3,0,0,4,179.71300,1478046991147.89,181.40510,1478046992848.38
