%Recollect Version 2.0. Scene/Level: nback2_inter, Game Number: 146
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Orange=0,Green=1,Purple=2,Blue=3,White=4,None=5,
0,3,1,0,2,0.05103,1478551356826.85,1.45001,1478551358212.94
0,3,0,1,2,1.34992,1478551358112.98,3.91681,1478551360682.48
0,3,1,0,4,3.81702,1478551360579.98,6.35028,1478551363113.27
0,3,1,0,1,6.25031,1478551363013.36,8.78375,1478551365546.14
0,3,1,0,0,8.68384,1478551365446.42,11.21722,1478551367979.61
0,3,1,1,4,11.15051,1478551367913.27,12.80701,1478551369580.23
0,3,1,0,0,13.58405,1478551370347.32,16.11786,1478551372881.85
0,3,1,1,0,16.01746,1478551372780.37,17.72705,1478551374513.1
0,3,1,0,2,18.45099,1478551375214.01,21.01782,1478551377780.65
0,4,1,1,0,20.91779,1478551377680.59,23.10706,1478551379885
0,4,1,0,2,25.91809,1478551384715.09,28.45142,1478551387248.25
0,4,1,0,4,28.35144,1478551387147.85,30.91827,1478551389714.71
0,4,1,0,2,30.81836,1478551389614.83,33.35175,1478551392148.11
0,4,1,0,4,33.15173,1478551391948.02,35.71851,1478551394515.4
0,4,1,0,0,35.61969,1478551394416.57,38.15198,1478551396948.59
0,4,1,1,4,38.15198,1478551396950.82,39.80701,1478551398614.88
0,4,1,0,0,40.58575,1478551399381.75,43.11902,1478551401915.43
0,4,1,1,4,43.01953,1478551401815.88,44.78705,1478551403615.31
0,4,1,0,4,45.45239,1478551404248.52,48.01929,1478551406815.37
0,4,1,0,3,47.91919,1478551406716.45,50.45270,1478551409249.33
0,4,1,0,1,50.35394,1478551409150.63,52.91968,1478551411716.43
0,4,1,0,2,52.98615,1478551411782.23,55.51990,1478551414316.82
0,4,0,0,3,55.41974,1478551414216.36,57.06702,1478551415881.97
1,239.15050,10.10197,2,58.28705,1478551417115.08
0,4,1,1,3,57.85315,1478551416649.66,59.50702,1478551418315.93
1,252.27080,0.46685,1,61.56702,1478551420381.81
0,4,0,0,2,60.28662,1478551419082.03,61.94702,1478551420749.41
0,4,1,0,3,62.72009,1478551421515.72,65.25354,1478551424050.07
0,4,1,0,1,65.18689,1478551423982.66,67.72034,1478551426516.53
0,4,1,1,3,67.62091,1478551426417.32,69.28705,1478551428083.35
0,4,0,0,0,70.05383,1478551428850.29,72.26703,1478551431082.76
0,3,0,0,2,72.48730,1478551431283.59,74.40704,1478551433217.2
0,3,1,0,1,77.38763,1478551438217.67,79.95441,1478551440783.94
0,3,1,0,2,79.78802,1478551440617.63,82.32135,1478551443150.53
0,3,1,0,3,82.35504,1478551443184.77,84.88806,1478551445718.59
0,3,1,0,3,84.78955,1478551445619.15,87.32147,1478551448151.22
0,3,1,1,2,87.35486,1478551448185.34,89.00702,1478551449850.37
0,3,1,0,1,89.78833,1478551450617.85,92.32263,1478551453151.55
0,3,1,1,3,92.22180,1478551453051.32,93.88702,1478551454718.56
0,3,1,0,0,94.68860,1478551455518.45,97.22211,1478551458051.33
0,4,1,1,1,97.12207,1478551457951.04,98.78705,1478551459619.79
0,4,1,0,4,101.98900,1478551464852.11,104.55600,1478551467419.12
0,4,1,0,2,104.42240,1478551467285,106.95610,1478551469819.27
0,4,1,0,4,106.88950,1478551469752.71,109.42310,1478551472285.97
0,4,1,0,1,109.35600,1478551472219.08,111.88950,1478551474752.53
0,4,1,1,4,111.78960,1478551474652.76,113.44700,1478551476320.48
0,4,1,1,2,114.32300,1478551477185.57,115.98700,1478551478853.16
0,4,1,0,3,116.75640,1478551479621.27,119.28990,1478551482153.13
0,4,1,0,2,119.19010,1478551482053.5,121.69010,1478551484554.61
0,4,1,0,1,121.62340,1478551484485.81,124.15690,1478551487019.92
0,4,1,0,4,123.99020,1478551486853.89,126.55700,1478551489420.38
0,4,1,0,1,126.52380,1478551489386.45,129.05720,1478551491920.24
0,4,1,0,3,128.95710,1478551491820.22,131.49060,1478551494353.65
0,4,1,0,2,131.39060,1478551494253.45,133.92410,1478551496786.43
0,4,1,0,0,133.86180,1478551496724.85,136.39090,1478551499254.1
0,5,1,1,1,136.29080,1478551499153.93,137.96700,1478551500854.81
0,5,1,0,0,141.25790,1478551506154.81,143.79140,1478551508688.6
0,5,1,0,0,143.79140,1478551508688.45,146.35820,1478551511254.6
0,5,0,0,1,146.25810,1478551511154.26,148.12700,1478551513054.44
0,5,1,0,0,148.69170,1478551513588.02,151.22520,1478551516121.02
0,4,0,0,1,151.12510,1478551516021.12,152.78700,1478551517689.32
0,4,1,0,4,155.99180,1478551522921.86,158.55860,1478551525489.08
0,4,1,0,3,158.42530,1478551525354.64,160.95870,1478551527888.84
0,4,1,0,0,160.89200,1478551527822.05,163.42560,1478551530355.01
0,4,1,0,4,163.35890,1478551530289.46,165.89250,1478551532822.66
0,4,1,1,4,165.79240,1478551532722.97,167.66710,1478551534622.47
0,4,1,0,1,168.15910,1478551535090.24,170.69240,1478551537623.25
0,4,0,0,2,170.72590,1478551537654.65,172.40700,1478551539355.74
