%Recollect Version 2.0. Scene/Level: nback1_inter, Game Number: 224
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Blue=0,Yellow=1,Green=2,Pink=3,White=4,Gray=5,Brown=6,Purple=7,None=8,
0,3,1,0,2,0.07050,1479515725897.41,1.70001,1479515727508.7
0,3,1,0,0,1.60010,1479515727408.87,4.13367,1479515729941.7
0,3,1,0,4,4.03351,1479515729841.41,6.60388,1479515732411.74
0,3,1,0,0,6.50037,1479515732308.27,9.03381,1479515734841.86
0,3,1,0,4,8.93378,1479515734741.42,11.46741,1479515737274.61
0,3,1,0,1,11.40063,1479515737208.24,13.93408,1479515739741.95
0,3,1,0,3,13.83405,1479515739642.66,16.36755,1479515742174.3
0,3,1,0,0,16.23413,1479515742042.39,18.76770,1479515744574.9
0,3,1,0,2,18.70111,1479515744508.88,21.23450,1479515747042.54
0,3,1,0,2,21.13452,1479515746942.47,23.70129,1479515749509.26
0,3,1,1,0,23.60138,1479515749409.46,25.19159,1479515751011.78
0,3,1,1,2,26.13477,1479515751943.26,27.75159,1479515753575.34
0,3,1,0,1,28.60168,1479515754409.47,31.13525,1479515756943.16
0,3,1,0,5,31.03503,1479515756842.64,33.56854,1479515759375.89
0,3,1,0,1,33.50208,1479515759311.56,36.03534,1479515761843.4
0,3,1,0,4,35.93536,1479515761743.76,38.46881,1479515764275.89
0,4,1,1,5,38.36896,1479515764176.26,40.09161,1479515765914.99
0,4,1,0,1,43.23615,1479515771077.17,45.80261,1479515773643.53
0,4,1,0,0,45.70264,1479515773544.09,48.23621,1479515776077.35
0,4,1,0,1,48.13611,1479515775977.39,50.70294,1479515778544.15
0,4,1,0,5,50.60291,1479515778443.97,53.13641,1479515780977.85
0,4,1,0,5,53.23639,1479515781077.62,55.76984,1479515783610.26
0,4,1,0,1,55.63654,1479515783477.81,58.16998,1479515786010.63
0,4,1,0,3,58.07001,1479515785910.28,60.60345,1479515788444.8
0,4,1,0,3,60.50391,1479515788346.48,63.03711,1479515790878.37
0,4,1,0,4,62.93695,1479515790778.01,65.50372,1479515793345.11
0,4,1,0,0,65.40375,1479515793244.82,67.93726,1479515795778.95
0,4,1,0,0,67.83728,1479515795678.6,70.40399,1479515798245.66
0,4,1,1,3,70.27069,1479515798111.24,71.85162,1479515799711.22
0,4,1,0,1,72.73761,1479515800579.07,75.27124,1479515803111.73
0,4,1,0,1,75.17096,1479515803011.3,77.70441,1479515805545.37
0,4,1,1,0,77.63782,1479515805478.57,79.89160,1479515807745.83
0,4,1,0,2,80.10474,1479515807945.71,82.63824,1479515810479.39
0,4,1,0,3,82.57135,1479515810411.76,85.10498,1479515812946.08
0,5,1,1,1,85.00482,1479515812846.58,86.65161,1479515814513.98
0,5,1,0,4,90.07178,1479515819946.34,92.60553,1479515822479.31
0,5,1,0,1,92.50543,1479515822379.43,95.03882,1479515824915.11
0,5,1,0,0,94.97205,1479515824847.57,97.50562,1479515827379.45
0,5,1,0,3,97.40546,1479515827279.6,99.93909,1479515829815.11
0,5,1,0,5,99.87622,1479515829751.46,102.40580,1479515832280.12
0,5,1,0,1,102.30590,1479515832180.04,104.87270,1479515834748.65
0,5,1,1,1,104.73920,1479515834613.74,106.39160,1479515836279.94
0,5,1,0,2,107.20640,1479515837080.01,109.73970,1479515839614.17
0,5,1,0,5,109.63950,1479515839514.45,112.17300,1479515842047.98
1,461.12500,0.66247,2,113.75160,1479515843646.45
0,5,1,0,1,112.10630,1479515841980.35,114.63970,1479515844514.48
0,5,0,1,1,114.63970,1479515844514.22,117.17330,1479515847048.5
0,5,1,0,2,117.07320,1479515846947.73,119.64010,1479515849514.53
0,4,0,0,0,119.54020,1479515849414.57,121.11160,1479515851015.85
0,4,1,0,3,124.40680,1479515856314.86,126.94030,1479515858848.52
0,4,0,0,5,126.87360,1479515858782.12,128.57160,1479515860482.23
0,4,1,0,1,129.30730,1479515861214.56,131.84060,1479515863749.44
0,4,1,0,0,131.74070,1479515863649.14,134.27400,1479515866181.93
0,4,1,0,2,134.17420,1479515866082.54,136.74080,1479515868649.31
0,4,1,1,5,136.64080,1479515868549.05,138.35160,1479515870281.89
0,4,1,1,1,139.10760,1479515871015.11,140.75160,1479515872682.29
0,4,1,0,3,141.74120,1479515873649.4,144.24160,1479515876150.11
0,5,1,1,2,144.14150,1479515876050.09,145.93160,1479515877852.05
0,5,1,0,0,149.04160,1479515882983.41,151.57510,1479515885516.87
0,5,1,0,3,151.47500,1479515885416.41,154.00870,1479515887951.43
0,5,1,0,0,153.90860,1479515887849.34,156.47520,1479515890417.5
0,5,1,0,4,156.37540,1479515890318.08,158.90880,1479515892849.71
0,5,1,0,1,158.80860,1479515892749.74,161.34220,1479515895283.64
0,5,1,0,3,161.27550,1479515895216.92,163.77560,1479515897717.38
0,5,1,0,0,163.70920,1479515897650.59,166.24240,1479515900184.17
1,671.35970,10.25800,1,166.31160,1479515900283.07
0,5,0,0,3,166.14250,1479515900084.13,167.73160,1479515901684.52
0,4,0,1,4,168.64250,1479515902584.07,171.17610,1479515905120.27
0,4,1,0,3,173.54230,1479515909518.64,176.07560,1479515912051.1
