%Recollect Version 2.0. Scene/Level: span0_advan, Game Number: 021
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Orange=0,Green=1,Purple=2,Blue=3,White=4,None=5,
0,6,1,0,1,0.06433,1477694304013.42,1.42944,1477694305363.47
0,6,1,0,4,1.32935,1477694305263.28,3.86292,1477694307797.55
0,6,1,0,1,3.76294,1477694307697.67,6.32971,1477694310265.67
0,6,1,0,0,6.22974,1477694310164.6,8.76318,1477694312698.02
0,6,1,0,1,8.66321,1477694312598.12,11.19666,1477694315130.58
0,6,1,0,3,11.13562,1477694315070.48,13.63013,1477694317565.59
0,6,1,0,2,13.56348,1477694317498.31,16.09717,1477694320031.32
0,6,1,0,3,15.96362,1477694319898.39,18.53040,1477694322465.25
0,6,1,1,1,18.43042,1477694322365.57,20.10132,1477694324066.65
0,6,1,0,4,20.89734,1477694324832.01,23.43066,1477694327365.4
0,6,1,0,0,23.33069,1477694327265.84,25.86414,1477694329798.93
0,6,1,0,0,25.86414,1477694329798.43,28.43103,1477694332366.12
0,6,1,0,0,28.33118,1477694332267.45,30.86438,1477694334799.16
0,6,0,0,4,30.76440,1477694334699.05,32.44141,1477694336398.85
0,5,0,0,0,33.13123,1477694337065.52,34.88135,1477694338837.22
0,5,1,0,1,38.13245,1477694344099.43,40.63245,1477694346599.49
0,5,1,0,1,40.56592,1477694346532.87,43.09924,1477694349065.9
0,5,1,0,4,42.96594,1477694348933.9,45.53284,1477694351500.02
0,5,1,0,1,45.43286,1477694351399.73,47.96631,1477694353933.45
0,5,1,0,3,47.86621,1477694353833.46,50.43396,1477694356401.36
0,5,1,0,2,50.33313,1477694356300.36,52.86658,1477694358833.81
0,5,1,0,4,52.96655,1477694358933.56,55.50000,1477694361466.28
0,5,1,0,0,55.36670,1477694361333.71,57.93359,1477694363900.71
0,5,1,0,0,57.83350,1477694363800.74,60.33350,1477694366300.56
0,5,0,1,3,60.26697,1477694366233.97,62.80042,1477694368767.57
0,5,1,0,0,62.70044,1477694368667.23,65.23389,1477694371201.51
0,5,1,0,2,65.16724,1477694371133.96,67.66772,1477694373635.41
0,4,0,1,0,67.60059,1477694373567.02,70.13416,1477694376102.8
0,4,0,0,3,72.50098,1477694380500.86,74.32141,1477694382334.71
0,4,1,0,0,74.96777,1477694382968.22,77.53455,1477694385534.95
0,4,1,0,4,77.40112,1477694385401.65,79.93469,1477694387935.22
0,4,1,0,1,79.76794,1477694387769.11,82.30151,1477694390303.48
0,4,1,0,1,82.33484,1477694390334.59,84.86816,1477694392868.56
0,4,1,1,0,84.76941,1477694392770.32,86.64136,1477694394668.56
0,4,1,0,1,87.33521,1477694395335.26,89.86890,1477694397870.04
0,4,1,0,2,89.76855,1477694397769.45,92.30225,1477694400303.09
0,4,1,0,2,92.20203,1477694400202.94,94.76904,1477694402769.78
0,4,0,1,0,94.66882,1477694402670.13,97.20264,1477694405204.88
0,4,1,0,3,97.10229,1477694405103.13,99.66907,1477694407670.57
0,4,1,0,4,99.56909,1477694407570.88,102.10250,1477694410103.71
0,3,0,0,0,102.00280,1477694410004.2,103.94140,1477694411970.45
0,3,1,0,3,106.90280,1477694416936.99,109.43650,1477694419470.11
0,3,1,0,4,109.36960,1477694419403.87,111.86980,1477694421903.79
0,3,1,0,1,111.80310,1477694421836.99,114.33670,1477694424370.09
0,3,1,1,3,114.33670,1477694424369.84,116.00130,1477694426039.05
0,3,1,1,4,116.77000,1477694426804.48,118.44140,1477694428503.8
0,3,1,0,0,119.20350,1477694429237.69,121.77050,1477694431804.69
0,4,1,1,3,121.67030,1477694431705.14,123.72130,1477694433771.69
0,4,1,0,3,126.57060,1477694438638.15,129.10400,1477694441171.52
0,4,1,0,0,129.00390,1477694441071.26,131.53750,1477694443603.98
0,4,1,0,0,131.40440,1477694443472.26,133.97120,1477694446040.71
0,4,1,0,4,133.87100,1477694445938.23,136.40440,1477694448472
0,4,1,1,3,136.33780,1477694448404.87,138.00130,1477694450072.06
0,4,1,0,1,138.80460,1477694450871.89,141.30470,1477694453372.62
0,4,0,0,1,141.30470,1477694453372.29,143.06140,1477694455138.95
0,4,1,1,4,143.83810,1477694455904.89,145.72130,1477694457805.52
0,4,1,1,3,146.27170,1477694458339.26,147.94140,1477694460039.16
0,4,0,0,4,148.70510,1477694460772.52,150.38130,1477694462472.53
0,4,1,0,2,151.17190,1477694463239.37,153.70920,1477694465777.11
0,4,1,0,1,153.60520,1477694465672.71,156.13880,1477694468205.65
0,4,1,0,2,156.07210,1477694468139.95,158.60680,1477694470674.57
0,4,1,1,4,158.47230,1477694470539.68,160.26140,1477694472340.05
0,4,1,0,0,160.93930,1477694473006.12,163.47250,1477694475539.97
0,4,1,0,2,163.40590,1477694475473.9,165.93950,1477694478007.07
1,672.49740,11.08634,2,166.60130,1477694478676.81
0,4,1,0,3,165.83950,1477694477906.17,168.37620,1477694480444.61
0,4,1,0,0,168.20620,1477694480273.93,170.73970,1477694482806.73
0,4,1,0,3,170.77290,1477694482840.93,173.30640,1477694485374.13
0,4,1,0,4,173.20650,1477694485273.95,175.77330,1477694487841.08
