%Recollect Version 2.0. Scene/Level: span0_intro, Game Number: 162
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Blue=0,Yellow=1,Green=2,Pink=3,White=4,Gray=5,Brown=6,Purple=7,None=8,
0,4,1,0,3,0.07257,1479519267306.68,1.43347,1479519268657.34
0,4,1,0,1,1.33344,1479519268556.72,3.86694,1479519271090.85
0,4,1,0,7,3.76691,1479519270990.69,6.33392,1479519273557.55
0,4,1,0,6,6.23377,1479519273457.39,8.76727,1479519275990.8
0,4,1,0,2,8.66742,1479519275890.79,11.20081,1479519278423.81
0,4,1,1,1,11.10071,1479519278323.64,12.74548,1479519279993.18
0,4,1,0,2,13.56744,1479519280790.7,16.10095,1479519283324.06
0,4,1,0,3,15.96759,1479519283190.86,18.53442,1479519285757.74
0,4,1,0,7,18.43445,1479519285657.58,20.96790,1479519288191.58
0,4,1,0,4,20.90179,1479519288124.8,23.43475,1479519290658.16
0,4,1,0,5,23.33466,1479519290558.13,25.86816,1479519293091.6
0,4,1,0,6,25.86816,1479519293091.23,28.43506,1479519295658.24
0,4,1,0,0,28.33496,1479519295558.05,30.86859,1479519298091.5
0,4,0,1,4,30.76843,1479519297991.66,33.33527,1479519300558.92
0,3,0,1,5,33.13525,1479519300358.48,35.66956,1479519302896.6
0,3,1,0,2,38.13629,1479519307392.19,40.66968,1479519309925.8
0,3,0,0,1,40.56976,1479519309825.93,42.30548,1479519311591.81
1,176.78150,0.79735,2,42.68549,1479519311958.08
0,3,1,0,7,42.96985,1479519312226.35,45.53650,1479519314792.37
0,2,0,0,5,45.43658,1479519314692.3,47.46552,1479519316727.18
0,2,1,0,7,50.33691,1479519321626.29,52.87061,1479519324160.71
0,2,1,0,4,52.97028,1479519324259.7,55.50409,1479519326793.16
0,2,0,0,5,55.37042,1479519326659.96,57.42548,1479519328726.42
0,2,1,0,3,57.83722,1479519329126.39,60.37073,1479519331659.94
0,2,1,1,5,60.27069,1479519331560.18,61.98547,1479519333293.2
0,2,1,0,7,62.70416,1479519333993.24,65.23755,1479519336526.87
0,2,1,0,2,65.17096,1479519336460.28,67.70441,1479519338993.49
0,2,1,1,7,67.60443,1479519338893.41,69.30548,1479519340627.16
0,2,1,0,3,70.03845,1479519341328.05,72.57153,1479519343861.09
0,2,1,0,2,72.50470,1479519343793.76,75.03815,1479519346327.55
1,307.15600,0.85187,1,75.28552,1479519346594.14
