%Recollect Version 2.0. Scene/Level: nback0_advan, Game Number: 177
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Blue=0,Yellow=1,Green=2,Pink=3,White=4,Gray=5,Brown=6,Purple=7,None=8,
0,3,1,0,1,1.13318,1479770466937.12,3.66754,1479770469471.13
0,3,1,0,1,3.63342,1479770469437.47,6.16687,1479770471970.41
0,3,1,0,2,6.13355,1479770471937.47,8.66699,1479770474469.6
0,3,1,0,2,8.63440,1479770474438.11,11.16736,1479770476960.2
0,3,0,1,1,10.90045,1479770476695.25,13.43384,1479770510012.83
0,2,0,0,3,13.40051,1479770509976.64,15.31079,1479770511913.62
0,2,1,0,3,18.40082,1479770517010.94,20.90106,1479770519510.69
0,2,1,0,1,20.63428,1479770519243.18,23.16779,1479770521775.71
0,2,1,0,2,23.10107,1479770521710.31,25.63483,1479770524243.98
0,2,1,0,0,25.60120,1479770524209.97,28.13470,1479770526743.4
0,2,0,0,0,28.10138,1479770526709.92,30.25079,1479770528876.23
0,2,1,0,2,30.60150,1479770529210.73,33.13513,1479770531744.45
0,2,1,0,2,33.10175,1479770531711.1,35.63513,1479770534244.79
0,2,1,0,0,35.33508,1479770533943.95,37.90192,1479770536510.53
0,2,1,1,2,37.83551,1479770536444.45,39.47076,1479770538110.19
0,2,1,0,2,40.33557,1479770538944.48,42.90222,1479770541511.24
0,2,0,0,0,42.83569,1479770541445.08,45.19080,1479770543811.69
0,2,1,1,2,45.10248,1479770543712.05,46.71075,1479770545343.98
0,2,1,0,1,47.53613,1479770546144.9,50.10278,1479770548712.19
0,2,1,0,0,50.03595,1479770548645.27,52.60272,1479770551211.72
0,2,1,0,0,52.53601,1479770551144.79,55.10291,1479770553711.35
0,2,1,0,1,55.03625,1479770553645.29,57.60309,1479770556212.24
0,2,1,0,3,57.53638,1479770556144.8,60.10315,1479770558711.87
0,2,1,0,0,59.80316,1479770558412.33,62.33667,1479770560945.84
0,2,1,0,1,62.30334,1479770560911.7,64.83734,1479770563446.66
0,2,1,1,0,64.80383,1479770563413.55,66.39081,1479770565012.76
0,2,0,0,3,67.27094,1479770565879.53,68.87079,1479770567511.88
0,2,1,0,2,69.53705,1479770568145.57,72.10388,1479770570712.42
0,2,1,0,1,72.00385,1479770570612.53,74.53729,1479770573146.13
0,2,1,1,2,74.50397,1479770573112.52,76.13080,1479770574746.33
0,2,1,1,1,77.03748,1479770575646.75,78.67078,1479770577279.76
0,2,1,0,0,79.53766,1479770578146.78,82.03772,1479770580646.72
0,2,0,0,0,82.03772,1479770580649.78,83.61078,1479770582246.71
0,2,1,1,0,84.27118,1479770582879.72,86.15076,1479770584780.05
0,2,1,0,1,86.77148,1479770585380.62,89.30493,1479770587913.58
0,2,1,0,3,89.27216,1479770587880.9,91.80505,1479770590413.19
0,2,0,1,1,91.77167,1479770590380.97,94.30511,1479770592914.86
0,2,1,0,2,94.03864,1479770592647.5,96.57190,1479770595180.67
0,2,1,1,1,96.63873,1479770595247.61,98.93079,1479770597547.88
0,2,1,0,3,98.90564,1479770597513.39,101.43880,1479770600047.6
0,2,1,0,0,101.40640,1479770600014.6,103.93900,1479770602547.8
0,2,0,0,0,103.90630,1479770602514.16,105.55080,1479770604180.96
0,2,1,0,3,106.40580,1479770605013.92,108.93930,1479770607548.43
0,2,1,0,2,108.77250,1479770607381.53,111.33980,1479770609950
0,2,1,1,3,111.27310,1479770609882.16,112.89080,1479770611514.45
0,2,1,1,2,113.77300,1479770612381.85,115.39080,1479770614014.4
0,2,1,0,1,116.27330,1479770614882.07,118.84020,1479770617449.17
0,2,0,1,2,118.77320,1479770617382.59,121.34000,1479770619949.77
0,2,1,0,0,121.03990,1479770619648.6,123.57340,1479770622182.48
0,2,1,1,2,123.54040,1479770622149.95,125.15080,1479770623781.88
0,2,1,1,0,126.04020,1479770624649.17,128.31080,1479770626948.73
0,3,1,1,2,128.54030,1479770627149.19,130.67080,1479770629284.67
1,530.26820,0.78594,2,131.05080,1479770631714.92
0,3,1,0,0,133.24050,1479770633882.84,135.77420,1479770636417.51
0,3,1,0,1,135.74110,1479770636383.66,138.27410,1479770638916.37
0,3,0,0,0,138.24110,1479770638884.5,140.31080,1479770640982.45
0,3,1,0,2,140.74100,1479770641384.24,143.27440,1479770643916.96
0,3,1,1,1,143.24130,1479770643883.89,144.87080,1479770645516.97
0,3,1,0,3,145.47470,1479770646117.93,148.00820,1479770648650.13
0,3,0,0,0,147.97470,1479770648617.04,149.77080,1479770650417.61
0,2,0,0,2,150.47500,1479770651117.5,152.09080,1479770652750.7
0,2,1,0,0,155.24210,1479770657916.43,157.77530,1479770660449.51
0,2,1,0,1,157.67520,1479770660349.97,160.24210,1479770662916.16
0,2,1,0,2,160.17540,1479770662849.35,162.74210,1479770665416.24
0,2,1,1,1,162.67550,1479770665349.63,164.33070,1479770667016.63
0,2,0,1,2,165.17590,1479770667850.51,167.74250,1479770670417.47
0,2,1,0,3,167.67580,1479770670350.24,170.24290,1479770672917.38
0,1,0,1,2,169.94260,1479770672616.88,172.47610,1479770675152.39
0,1,0,0,3,174.94310,1479770679650.72,176.51080,1479770681250.2
0,1,1,0,2,177.44310,1479770682150.58,179.97660,1479770684684.52
0,1,1,0,1,179.67660,1479770684384.2,182.24400,1479770686951.84
