%Recollect Version 2.0. Scene/Level: nback2_intro, Game Number: 027
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Orange=0,Green=1,Purple=2,Blue=3,White=4,None=5,
0,3,1,0,3,0.05103,1477930665355.34,1.41650,1477930666708.97
0,3,1,0,1,1.31647,1477930666608.08,3.84988,1477930669141.94
0,3,1,0,2,3.74997,1477930669041.78,6.31665,1477930671608.34
0,3,1,0,1,6.21668,1477930671508.72,8.75024,1477930674041.97
0,3,1,0,0,8.65033,1477930673941.93,11.18365,1477930676475.08
0,3,1,1,2,11.11716,1477930676409.66,13.12955,1477930678444
0,3,1,0,4,13.55042,1477930678841.95,16.08395,1477930681375.17
0,3,1,1,0,15.95117,1477930681242.58,17.68954,1477930683008.58
0,3,1,0,1,18.41745,1477930683708.88,20.95221,1477930686243.81
0,3,1,0,1,20.88425,1477930686175.46,23.41769,1477930688709.23
0,3,1,0,3,23.31769,1477930688608.93,25.85117,1477930691142.52
0,4,1,1,1,25.85117,1477930691146.2,27.52954,1477930692845.95
0,4,1,0,1,30.75146,1477930698076.85,33.31818,1477930700643.19
0,4,1,0,4,33.11813,1477930700443.04,35.65161,1477930702976.57
0,4,1,0,3,35.61832,1477930702943.22,38.11841,1477930705443.41
0,4,1,0,0,38.11841,1477930705445.44,40.65198,1477930707976.97
0,4,0,1,1,40.55188,1477930707876.73,43.08545,1477930710410.36
0,4,1,1,4,42.95218,1477930710278.4,44.92953,1477930712276.95
0,4,1,1,3,45.41888,1477930712744.33,47.08954,1477930714443.85
0,4,1,0,1,47.88568,1477930715210.21,50.41910,1477930717744.31
0,4,1,0,4,50.31909,1477930717644,52.85263,1477930720177.64
0,5,1,1,4,52.95261,1477930720277.36,55.02954,1477930722378.59
0,5,0,0,0,57.81958,1477930727177.85,59.52954,1477930728910.89
0,5,1,0,1,60.25308,1477930729611.41,62.81995,1477930732178.23
0,5,1,0,2,62.72015,1477930732078.46,65.25330,1477930734611.46
0,5,1,0,1,65.15369,1477930734512.44,67.68683,1477930737044.75
0,5,1,0,3,67.62015,1477930736978.31,70.15372,1477930739512
0,5,1,0,4,70.02029,1477930739378.48,72.55371,1477930741911.9
0,5,1,0,2,72.48706,1477930741844.94,75.02057,1477930744378.75
0,5,1,0,3,74.98724,1477930744345.07,77.52850,1477930746886.88
0,5,1,1,1,77.38727,1477930746745.29,79.16953,1477930748545.41
0,5,0,1,3,79.75418,1477930749112.38,82.28766,1477930751646.3
0,5,1,0,2,82.32092,1477930751679.15,84.85446,1477930754212.78
0,5,1,0,4,84.75446,1477930754113.13,87.32123,1477930756679.41
0,5,1,0,2,87.32123,1477930756682.13,89.85489,1477930759214.09
0,4,0,1,1,89.75476,1477930759113.23,92.32147,1477930761681.66
0,4,1,0,3,94.65500,1477930766046.8,97.18845,1477930768580.12
0,4,1,0,4,97.08844,1477930768479.98,99.62189,1477930771014.04
0,4,1,0,1,99.55524,1477930770947.06,102.08890,1477930773480.5
0,4,1,0,4,101.98870,1477930773380.5,104.52220,1477930775914.34
0,4,1,0,2,104.42280,1477930775814.84,106.92240,1477930778313.91
0,4,0,1,4,106.85570,1477930778247.67,109.42250,1477930780814.66
0,4,1,1,1,109.32240,1477930780714.76,110.96950,1477930782381.09
0,4,1,0,0,111.75660,1477930783148.88,114.32280,1477930785714.8
0,4,0,1,2,114.32280,1477930785714.63,116.85620,1477930788248.71
0,3,0,0,3,116.75630,1477930788148.24,118.98950,1477930790382.68
0,3,1,0,0,121.62320,1477930795048.06,124.15670,1477930797582.24
0,3,1,0,0,124.02330,1477930797448.28,126.55670,1477930799982.1
0,3,1,0,4,126.52330,1477930799948.23,129.05690,1477930802482.04
0,3,1,0,3,128.95690,1477930802382.12,131.49040,1477930804915.92
0,3,1,1,0,131.39040,1477930804815.89,133.26960,1477930806715.48
0,3,1,0,2,133.85720,1477930807282.15,136.39060,1477930809815.77
0,3,1,0,4,136.29060,1477930809716.11,138.85750,1477930812282.73
0,3,0,1,0,138.75750,1477930812182.7,141.29090,1477930814716.81
0,3,1,1,2,141.25820,1477930814684,142.92950,1477930816383.64
0,3,1,1,4,144.15780,1477930817583.45,146.28950,1477930819717.22
0,3,0,0,1,146.29120,1477930819721.4,148.00960,1477930821450.37
0,2,0,1,2,148.49120,1477930821916.47,151.25800,1477930824684.45
0,2,1,0,2,153.59150,1477930829050.44,156.15820,1477930831617.17
0,2,1,0,4,156.05840,1477930831517.08,158.59180,1477930834050.58
0,2,1,0,0,158.45840,1477930833917.2,160.99190,1477930836450.72
0,2,0,0,2,160.92530,1477930836383.68,162.58950,1477930838050.83
0,2,1,0,1,163.39210,1477930838850.77,165.92560,1477930841384
0,2,1,0,0,165.82550,1477930841283.9,168.35890,1477930843817.82
0,2,1,0,2,168.19240,1477930843651.29,170.72580,1477930846184.26
0,2,1,0,1,170.75910,1477930846217.82,173.29260,1477930848751.5
0,2,1,0,4,173.19260,1477930848651.54,175.75950,1477930851218.39
