%Recollect Version 2.0. Scene/Level: nback1_advan, Game Number: 063
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Orange=0,Green=1,Purple=2,Blue=3,White=4,None=5,
0,3,0,1,2,0.04471,1478539515197.08,1.67816,1478539516815.33
0,3,1,0,3,1.61151,1478539516745.02,4.14496,1478539519278.92
0,2,0,1,0,4.04514,1478539519180.03,6.57843,1478539521716.37
0,2,1,0,2,8.94521,1478539526112.96,11.47873,1478539528646.41
0,2,1,0,4,11.37904,1478539528546.58,13.94553,1478539531113.17
0,2,1,0,0,13.77895,1478539530946.83,16.37903,1478539533546.33
0,2,1,0,2,16.24567,1478539533412.87,18.77910,1478539535946.31
0,2,1,0,3,18.67902,1478539535846.24,21.24590,1478539538413.75
0,2,1,0,0,21.14600,1478539538313.48,23.67949,1478539540847.13
0,2,1,0,4,23.61273,1478539540780.4,26.14622,1478539543313.59
0,2,1,0,3,26.14622,1478539543315.52,28.67979,1478539545847.27
0,2,1,0,2,28.57964,1478539545747.49,31.14647,1478539548314.35
0,2,1,0,1,31.04643,1478539548213.69,33.57993,1478539550747.33
0,2,1,0,0,33.48007,1478539550647.92,36.01575,1478539553182.88
0,2,1,0,3,35.94672,1478539553113.99,38.48029,1478539555647.63
0,2,1,0,4,38.38022,1478539555547.48,40.91370,1478539558080.52
0,2,1,0,1,40.81378,1478539557981.1,43.34714,1478539560514.6
0,2,1,1,4,43.24716,1478539560414.58,44.91507,1478539562114.18
0,2,1,1,1,45.71399,1478539562881.13,47.37506,1478539564548.17
0,2,1,0,0,48.14749,1478539565314.91,50.68091,1478539567848.42
0,2,1,0,3,50.61423,1478539567780.91,53.14771,1478539570315.71
0,2,1,0,1,53.24777,1478539570415.18,55.78119,1478539572948.56
0,3,1,1,3,55.64786,1478539572814.96,57.67508,1478539574856.52
0,3,1,0,0,60.54810,1478539579748.75,63.08151,1478539582282.78
0,3,1,0,0,62.98160,1478539582182.49,65.54834,1478539584749.38
0,3,1,0,2,65.41519,1478539584616.04,67.98184,1478539587183.17
0,3,1,0,1,67.88177,1478539587082.53,70.41531,1478539589617.4
0,3,0,1,0,70.31525,1478539589516.5,72.84875,1478539592049.69
0,3,1,0,3,72.78207,1478539591982.99,75.31552,1478539594516.79
0,3,1,0,4,74.98215,1478539594183.71,77.74905,1478539596949.39
0,3,1,1,0,77.68234,1478539596883.45,79.37506,1478539598583.55
0,3,1,0,0,80.14917,1478539599349.73,82.68280,1478539601883.68
0,3,1,0,1,82.61600,1478539601817.22,85.14969,1478539604349.82
0,3,1,1,0,85.04950,1478539604249.88,86.75507,1478539605983.02
0,4,1,1,0,87.64963,1478539606849.96,89.37506,1478539608586.05
0,4,1,0,0,92.54980,1478539613783.45,95.08337,1478539616317.8
0,4,1,0,4,95.01669,1478539616251.73,97.51691,1478539618751.72
0,4,1,0,3,97.41687,1478539618651.79,99.98383,1478539621218.05
0,4,1,0,0,99.88361,1478539621118.13,102.41740,1478539623653.17
0,4,1,0,2,102.31700,1478539623551.8,104.88390,1478539626117.97
0,4,1,0,0,104.75050,1478539625983.78,107.28410,1478539628518.35
0,4,1,0,1,107.01730,1478539628251.84,109.75070,1478539630984.48
0,4,1,0,2,109.68440,1478539630918.84,112.21780,1478539633452.34
0,4,1,0,3,112.11850,1478539633352.64,114.65110,1478539635884.37
0,4,0,1,0,114.65110,1478539635886.43,117.18460,1478539638419.84
0,4,1,0,3,117.11790,1478539638352.19,119.65150,1478539640885
0,4,1,0,1,119.55150,1478539640784.77,122.08480,1478539643319.59
0,4,1,0,4,122.01810,1478539643252.79,124.55170,1478539645785.35
0,4,1,1,0,124.31830,1478539645553.59,126.21510,1478539647452.97
0,4,0,0,4,126.88510,1478539648120.32,128.61510,1478539649853.06
0,4,1,0,3,129.35200,1478539650586.13,131.88540,1478539653120.46
0,4,1,0,1,131.78710,1478539653021.76,134.28550,1478539655520.33
0,4,1,0,3,134.21880,1478539655453.19,136.75230,1478539657985.84
0,4,1,0,0,136.68570,1478539657920.46,139.18600,1478539660420.28
0,4,1,1,3,139.11910,1478539660353.36,140.77510,1478539662020.9
0,4,1,0,2,141.71930,1478539662953.15,144.28600,1478539665520.46
0,4,0,0,0,144.15290,1478539665386.48,146.27510,1478539667520.37
0,3,0,1,0,146.58620,1478539667820.42,149.11970,1478539670355.89
0,3,1,0,0,151.48650,1478539674754.1,154.02010,1478539677287.6
0,3,1,0,4,153.92000,1478539677187.52,156.45340,1478539679720.28
0,3,1,0,1,156.35350,1478539679620.33,158.88700,1478539682155.82
0,3,1,0,4,158.78690,1478539682054.38,161.32040,1478539684587.75
0,3,1,0,3,161.25370,1478539684520.83,163.78740,1478539687054.94
0,3,1,1,1,163.68720,1478539686954.59,165.35510,1478539688654.38
0,3,1,0,2,166.15410,1478539689421.39,168.68750,1478539691954.9
0,3,0,1,3,168.62090,1478539691888.98,171.18770,1478539694456.54
0,3,1,1,1,171.08760,1478539694355,172.75510,1478539696054.69
0,3,1,0,3,173.52110,1478539696789.02,176.05460,1478539699321.3
