%Recollect Version 2.0. Scene/Level: nback0_inter, Game Number: 032
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Orange=0,Green=1,Purple=2,Blue=3,White=4,None=5,
0,3,1,0,3,1.13356,1478018497378.39,3.66673,1478018499911.08
0,3,1,0,0,3.63354,1478018499879.06,6.16697,1478018502411.96
0,3,0,0,2,6.13361,1478018502377.41,7.80496,1478018504078.15
0,3,1,0,0,8.63380,1478018504878.61,11.16716,1478018507412.21
0,3,1,0,3,10.90056,1478018507143.73,13.43403,1478018509678.44
0,2,0,0,0,13.40103,1478018509644.48,15.10497,1478018511379.09
0,2,1,0,0,18.40095,1478018516676.58,20.93456,1478018519211.96
0,2,1,0,2,20.63451,1478018518911.57,23.16791,1478018521445.06
0,2,1,1,0,23.13464,1478018521412.82,24.84496,1478018523143.59
0,2,0,0,0,25.63483,1478018523911.59,27.34496,1478018525644.3
0,2,1,0,4,28.13490,1478018526411.25,30.66840,1478018528944.52
0,2,1,1,0,30.63508,1478018528913,32.34496,1478018530643.7
0,2,0,0,0,33.13522,1478018531412.03,34.86496,1478018533144.73
0,2,1,0,4,35.36877,1478018533644.88,37.90214,1478018536177.21
0,2,1,0,1,37.86881,1478018536145.45,40.40240,1478018538679
0,2,1,1,4,40.36922,1478018538646.28,42.04496,1478018540344.6
0,2,1,0,2,42.86909,1478018541146.24,45.40260,1478018543678.7
0,2,1,1,4,45.13575,1478018543412.41,46.86497,1478018545145.98
0,2,1,0,0,47.56992,1478018545847.57,50.10275,1478018548379.2
0,2,1,0,1,50.06948,1478018548346.47,52.60339,1478018550879.29
0,2,1,0,4,52.56997,1478018550846.29,55.10311,1478018553378.68
0,2,1,0,2,55.06977,1478018553347.07,57.60323,1478018555879.35
0,3,1,1,4,57.56989,1478018555847.2,59.22497,1478018557520.96
1,259.88930,0.61818,2,63.46496,1478018563779.39
0,3,1,0,0,62.33694,1478018562647.9,64.87029,1478018565181.43
0,3,1,0,1,64.83703,1478018565146.72,67.37048,1478018567679.91
0,3,1,0,1,67.33709,1478018567646.98,69.87058,1478018570180.86
0,3,1,0,2,69.57063,1478018569880.89,72.10416,1478018572414.07
0,3,1,1,1,72.03773,1478018572347.92,73.70496,1478018574046.36
0,3,0,0,2,74.53768,1478018574848.6,76.20496,1478018576546.37
0,2,0,0,1,77.03771,1478018577347.87,79.10496,1478018579447.58
0,2,1,0,3,82.03800,1478018584382.29,84.57148,1478018586915.69
0,2,1,0,2,84.30479,1478018586647.17,86.83828,1478018589181.99
0,2,1,0,1,86.80494,1478018589148.67,89.30509,1478018591649.88
0,2,1,0,0,89.30509,1478018591653.06,91.80521,1478018594151.35
0,2,1,0,2,91.80521,1478018594150.06,94.33869,1478018596681.84
0,2,1,0,3,94.03864,1478018596381.12,96.57215,1478018598916.28
0,2,1,0,1,96.67216,1478018599017.05,99.20564,1478018601550.8
0,2,1,0,2,98.90566,1478018601250.79,101.47250,1478018603817.32
0,2,1,1,1,101.40580,1478018603750.47,103.32500,1478018605681.34
0,2,1,0,0,103.90600,1478018606249.72,106.47290,1478018608817.08
0,2,1,0,0,106.40610,1478018608750.37,108.97280,1478018611317.12
0,2,1,0,1,108.80620,1478018611150.1,111.33960,1478018613682.89
0,2,1,0,3,111.30630,1478018613649.67,113.83990,1478018616182.18
0,2,1,1,1,113.80650,1478018616149.45,115.46500,1478018617816.8
0,2,1,0,2,116.30650,1478018618651.13,118.84010,1478018621184.04
0,2,1,0,4,118.80670,1478018621151.02,121.34030,1478018623683.98
0,2,1,0,3,121.04020,1478018623382.02,123.57380,1478018625917.18
0,2,1,0,0,123.57380,1478018625919.85,126.07380,1478018628417.31
0,2,1,0,2,126.07380,1478018628421.01,128.57410,1478018630918.57
0,2,1,0,3,128.57410,1478018630917.32,131.07410,1478018633417.84
0,2,1,0,3,130.80740,1478018633150.81,133.34090,1478018635683.37
0,3,1,1,3,133.24090,1478018635584.96,134.90500,1478018637252.32
0,3,1,0,2,138.24120,1478018642617.42,140.77470,1478018645151.74
0,3,1,0,2,140.74160,1478018645118.2,143.27500,1478018647653.18
0,3,1,0,0,143.24150,1478018647617.4,145.77500,1478018650151.66
0,3,1,0,4,145.50830,1478018649885.21,148.04180,1478018652417.3
0,3,1,0,4,148.00850,1478018652385.07,150.54200,1478018654917
0,3,1,1,0,150.50880,1478018654887.44,152.20500,1478018656585.86
0,3,1,1,4,153.00880,1478018657385,154.66490,1478018659051.19
0,3,1,0,0,155.24220,1478018659617.31,157.77580,1478018662150.96
0,4,1,1,0,157.70890,1478018662083.99,159.42500,1478018663817.5
0,4,1,0,3,162.70890,1478018669120.43,165.24320,1478018671653.41
0,4,1,0,3,165.20900,1478018671619.94,167.74280,1478018674152.81
0,4,1,0,4,167.70910,1478018674120.1,170.24270,1478018676652.81
0,4,1,0,1,169.97590,1478018676387.11,172.50940,1478018678921.08
0,4,1,0,2,172.47640,1478018678887.4,175.00960,1478018681421.35
0,4,1,0,1,174.97630,1478018681388.23,177.50970,1478018683921.43
0,4,1,0,3,177.47640,1478018683886.99,180.00990,1478018686420.57
0,4,1,0,0,179.70980,1478018686121.13,182.24330,1478018688654.72
1,757.98000,1.93727,1,187.98500,1478018694419.09
1,764.38140,4.85405,0,189.58500,1478018696019.79
