%Recollect Version 2.0. Scene/Level: nback0_advan, Game Number: 190
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Blue=0,Yellow=1,Green=2,Pink=3,White=4,Gray=5,Brown=6,Purple=7,None=8,
0,3,1,0,2,1.14984,1479842565496.44,3.68341,1479842568031.02
0,3,1,0,1,3.65009,1479842567997.62,6.18353,1479842570531.17
0,3,1,0,3,6.15021,1479842570497.62,8.68366,1479842573031.47
0,3,1,0,1,8.65033,1479842572998.22,11.18384,1479842575531.5
0,3,1,0,2,10.88391,1479842575231.31,13.45062,1479842577797.98
0,3,1,1,3,13.38391,1479842577731.71,14.96185,1479842579334.79
0,3,1,1,1,15.88409,1479842580232.16,17.68182,1479842582031.76
0,3,1,0,0,18.38458,1479842582732.39,20.91772,1479842585264.84
0,3,1,0,1,20.65094,1479842584998.51,23.18463,1479842587531.86
0,3,1,0,0,23.11780,1479842587464.68,25.65155,1479842590000.36
0,3,0,0,3,25.58459,1479842589931.78,27.84186,1479842592198.83
0,2,0,0,0,28.08478,1479842592431.78,29.70184,1479842594068.36
