%Recollect Version 2.0. Scene/Level: nback1_inter, Game Number: 122
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Blue=0,Yellow=1,Green=2,Pink=3,White=4,Gray=5,Brown=6,Purple=7,None=8,
0,3,1,0,3,0.05774,1479411163783.36,1.71674,1479411165426.75
0,3,1,0,5,1.61673,1479411165326.91,4.15030,1479411167861.59
0,3,1,0,5,4.05032,1479411167761.07,6.61713,1479411170328.19
0,3,0,0,3,6.51712,1479411170228.14,8.08499,1479411171830.39
0,3,1,1,3,8.95059,1479411172662.33,10.72501,1479411174460.99
0,3,1,0,2,11.41739,1479411175128.04,13.91748,1479411177628.39
0,3,1,0,0,13.61740,1479411177328.62,16.38425,1479411180094.19
0,3,1,0,2,16.25098,1479411179962.11,18.81781,1479411182528.8
0,3,1,1,2,18.71777,1479411182428.63,20.42499,1479411184161.49
0,3,1,0,3,21.15128,1479411184862.24,23.71799,1479411187429.01
0,3,1,0,4,23.61819,1479411187330.33,26.21823,1479411189929.32
0,4,1,1,2,25.98483,1479411189695.18,27.78500,1479411191533.36
0,4,1,0,2,31.05191,1479411196796.19,33.58554,1479411199329.88
0,4,1,0,4,33.48529,1479411199230.01,36.05209,1479411201796.91
0,4,1,0,2,35.95212,1479411201696.68,38.48651,1479411204231.84
0,4,1,0,0,38.38617,1479411204130.78,40.95239,1479411206697.02
0,4,1,0,1,40.85229,1479411206596.9,43.38586,1479411209130.38
0,4,1,1,4,43.25250,1479411208996.91,44.88501,1479411210630.81
0,4,1,1,2,45.71930,1479411211463.31,47.54498,1479411213297.33
0,4,1,0,2,48.18610,1479411213930.68,50.68622,1479411216430.84
0,4,1,0,3,50.61957,1479411216363.28,53.15302,1479411218897.47
0,4,0,1,4,53.25305,1479411218997.5,55.78656,1479411221532.08
0,4,1,1,2,55.65320,1479411221397.64,57.28497,1479411223031.96
1,239.88610,11.34690,2,58.44501,1479411224197.29
0,4,0,0,0,58.08667,1479411223830.94,59.96503,1479411225730.46
0,4,1,1,3,60.55341,1479411226298.09,62.48499,1479411228231.33
0,4,1,0,1,62.98694,1479411228731.23,65.52045,1479411231264.35
0,4,1,1,2,65.42047,1479411231164.4,67.04498,1479411232798.3
0,5,1,1,0,67.85388,1479411233598.46,69.72498,1479411235500.26
1,288.92430,10.23567,1,70.70502,1479411238497.4
0,5,1,0,4,72.75409,1479411240532.05,75.28754,1479411243065.69
0,5,1,0,3,75.18756,1479411242965.34,77.75433,1479411245531.97
0,5,1,0,5,77.65454,1479411245432.03,80.18787,1479411247965.63
0,5,1,0,3,80.15442,1479411247932.19,82.68799,1479411250465.88
0,5,1,0,1,82.62134,1479411250398.53,85.15479,1479411252933.24
0,5,1,1,4,85.05505,1479411252832.97,86.66498,1479411254465.62
0,5,1,1,3,87.65491,1479411255432.81,89.24500,1479411257032.99
0,5,1,0,4,90.12177,1479411257899.08,92.65521,1479411260433.09
0,6,1,1,3,92.55518,1479411260333.05,94.14502,1479411261936.03
0,6,1,0,5,97.45551,1479411267267.11,99.98895,1479411269800.55
0,6,1,0,0,99.88892,1479411269700.42,102.45620,1479411272267.5
0,6,1,0,5,102.35580,1479411272167.22,104.88920,1479411274700.44
0,6,1,0,3,104.75590,1479411274567.25,107.28940,1479411277100.6
0,6,1,0,2,107.22270,1479411277033.32,109.75600,1479411279567.55
0,6,1,0,0,109.65620,1479411279468.52,112.18960,1479411282001.6
0,6,1,0,1,112.12340,1479411281934.18,114.65660,1479411284468.11
0,6,1,0,2,114.65660,1479411284467.85,117.18990,1479411287001.29
0,6,1,1,5,117.12330,1479411286933.74,118.82500,1479411288667.52
0,6,1,0,4,119.55670,1479411289368.12,122.09030,1479411291901.5
0,6,1,0,1,121.99010,1479411291802.04,124.55700,1479411294369.53
0,6,1,0,2,124.45700,1479411294268.22,126.99050,1479411296802.01
0,6,1,1,1,126.89050,1479411296702.32,128.54500,1479411298368.69
0,6,0,1,2,129.35730,1479411299168.72,131.89070,1479411301702.87
0,5,0,0,1,131.75740,1479411301568.56,133.40500,1479411303236.98
0,5,0,0,5,136.69100,1479411308535.84,138.38500,1479411310237.28
0,5,1,0,1,139.15780,1479411311003.19,141.65800,1479411313502.89
1,577.24150,9.01873,0,142.80500,1479411314668.85
0,4,0,0,4,141.75790,1479411313602.78,143.58500,1479411315438.24
