% Tunnel Log: 
% debug seed: 1424470227
%
% SegEncNW { '0'=no panel, '1'=empty panel, '2'=player, '3'=match, '4'=nonmatch, '5'=obstacle, '6'=time warp }
% SegEncN
% SegEncNE
% SegEncE
% SegEncSE
% SegEncS
% SegEncSW
% SegEncW
% Event Number { 0, inf }
% Level Number { 0, inf }
% Task Type { 0=Color/Sound, 1=Shape/Sound, 2=Sound, 3=Holdout, 4=Recess }
% N-Back { 0, inf }
% Player Roll Base { 0, 359 }
% Player Roll Offset { 0, 359 }
% Player Roll Speed { -inf, inf }
% Player Fuel Timer { -inf, inf }
% Player Fuel Buffer { -inf, inf }
% Player Loc { 0=Northwest ... 7=West }
% Pod Loc { -1=N/A, 0=Northwest ... 7=West }
% Pod Color { -1=N/A, 0-3, 4=holdout, 5=recess }
% Pod Shape { -1=N/A, 0-3, 4=holdout }
% Pod Sound { -1=N/A, 0-3, 4=holdout }
% Pod Match { -1=N/A, 0=No, 1=Yes }
% Pod Taken { -1=N/A, 0=No, 1=Yes }
% Pod Zapped { -1=N/A, 0=No, 1=Yes }
% Timestamp (ms)
% Num Obstacles { 0, inf }
% Level Ended { 0, 1 }
% Min Speed { 0, inf }
% Max Speed { 0, inf }
% Base Speed { 0, inf }
% Final Speed { 0, inf }
% Segment Direction { 0=Northwest ... 7=West }
% Segment Angle { 0, inf }
% Segment Panels { 0, inf }
%
% SegEncNW SecEncN SegEncNE SegEncE SegEncSE SegEncS SegEncSW SegEncW EventNumber LevelNumber TaskType N-Back PlayerRollBase PlayerRollOffset PlayerRollSpeed PlayerFuelTimer PlayerFuelBuffer PlayerLoc PodLoc PodColor PodShape PodSound PodMatch PodTaken PodZapped Timestamp NumObs LevelEnded MinSpeed MaxSpeed BaseSpeed FinalSpeed SegmentDir SegmentAngle SegmentPanels
0 0 0 0 1 2 1 0 0 0 1 1 0 0 0 29.9 0 5 -1 -1 -1 -1 -1 -1 -1 14700 0 0 10 40 15 60 1 3 3
0 0 0 0 1 2 1 0 0 0 1 1 0 0 0 29.7333 0 5 -1 -1 -1 -1 -1 -1 -1 14866 0 0 10 40 15 60 1 3 3
0 0 0 0 1 2 1 0 0 0 1 1 0 0 0 29.5667 0 5 -1 -1 -1 -1 -1 -1 -1 15033 0 0 10 40 15 60 1 3 3
0 0 0 0 1 2 1 0 0 0 1 1 0 0 0 29.4 0 5 -1 -1 -1 -1 -1 -1 -1 15200 0 0 10 40 15 51 1 3 3
0 0 0 0 1 2 1 0 0 0 1 1 0 0 0 29.1333 0 5 -1 -1 -1 -1 -1 -1 -1 15466 0 0 10 40 15 27 5 0 3
0 0 0 0 1 2 1 0 0 0 1 1 0 0 0 28.5 0 5 -1 -1 -1 -1 -1 -1 -1 16100 0 0 10 40 15 15 5 0 3
0 0 0 0 1 2 1 0 0 0 1 1 0 0 0 27.8334 0 5 -1 -1 -1 -1 -1 -1 -1 16766 0 0 10 40 15 15 5 0 3
0 0 0 0 1 2 1 0 0 0 1 1 0 0 0 27.1667 0 5 -1 -1 -1 -1 -1 -1 -1 17433 0 0 10 40 15 15 5 0 3
0 0 0 0 1 2 1 0 0 0 1 1 0 0 0 26.5001 0 5 -1 -1 -1 -1 -1 -1 -1 18100 0 0 10 40 15 15 3 1 3
0 0 0 0 1 2 1 0 0 0 1 1 0 0 0 25.8334 0 5 -1 -1 -1 -1 -1 -1 -1 18766 0 0 10 40 15 15 3 1 3
0 0 0 0 1 4 1 0 0 0 1 1 0 0 0 25.1667 0 5 5 3 5 3 0 1 0 19433 0 0 10 40 15 15 3 1 3
0 0 0 0 1 1 2 0 0 0 1 1 26 0 0 29.4333 0 6 -1 -1 -1 -1 -1 -1 -1 20100 0 0 10 40 15 15 3 1 3
0 0 0 0 1 1 2 0 0 0 1 1 34 0 0 28.7667 0 6 -1 -1 -1 -1 -1 -1 -1 20766 0 0 10 40 15 15 3 3 3
0 0 0 0 1 1 2 0 0 0 1 1 45 0 0 28.1 0 6 -1 -1 -1 -1 -1 -1 -1 21433 0 0 10 40 15 15 3 3 3
0 0 0 0 1 1 4 0 0 0 1 1 45 0 0 27.4334 0 6 6 1 5 0 0 1 0 22100 0 0 10 40 15 15 3 3 3
0 0 0 0 1 1 2 0 0 0 1 1 45 0 0 29.4333 0 6 -1 -1 -1 -1 -1 -1 -1 22766 0 0 10 40 15 15 3 3 3
0 0 0 0 1 1 2 0 0 0 1 1 45 0 0 28.7667 0 6 -1 -1 -1 -1 -1 -1 -1 23433 0 0 10 40 15 15 8 0 3
0 0 0 0 1 1 2 0 0 0 1 1 45 0 0 28.1 0 6 -1 -1 -1 -1 -1 -1 -1 24099 0 0 10 40 15 15 1 3 3
0 0 0 0 1 1 4 0 0 0 1 1 45 0 0 27.4334 0 6 6 3 5 3 0 1 0 24766 0 0 10 40 15 15 1 3 3
0 0 0 0 1 1 2 0 0 0 1 1 45 0 0 29.4333 0 6 -1 -1 -1 -1 -1 -1 -1 25433 0 0 10 40 15 15 1 3 3
0 0 0 0 1 1 2 0 0 0 1 1 45 0 0 28.7667 0 6 -1 -1 -1 -1 -1 -1 -1 26099 0 0 10 40 15 15 1 3 3
0 0 0 0 1 1 2 0 0 0 1 1 45 0 0 28.1 0 6 -1 -1 -1 -1 -1 -1 -1 26766 0 0 10 40 15 15 5 0 3
0 0 0 0 1 1 4 0 0 0 1 1 45 0 0 27.4334 0 6 6 1 5 0 0 1 0 27433 0 0 10 40 15 15 5 0 3
0 0 0 0 1 1 2 0 0 0 1 1 38 -1 0 29.4333 0 6 -1 -1 -1 -1 -1 -1 -1 28099 0 0 10 40 15 15 5 0 3
0 0 0 0 1 2 1 0 0 0 1 1 16 0 0 28.7667 0 5 -1 -1 -1 -1 -1 -1 -1 28766 0 0 10 40 15 15 5 0 3
0 0 0 0 1 2 1 0 0 0 1 1 16 0 0 28.4667 2.28811 5 -1 -1 -1 -1 -1 -1 -1 29433 0 0 10 40 15.5 15.5 3 1 3
0 0 0 0 1 3 1 0 0 0 1 1 5 0 0 28.4667 1.63367 5 5 1 5 0 1 1 1 30066 0 0 10 40 15.5 15.5 3 1 3
0 0 0 0 2 1 1 0 0 0 1 1 315 -1 59 28.4667 0.979224 4 -1 -1 -1 -1 -1 -1 -1 30699 0 0 10 40 15.5 15.5 3 1 3
0 0 0 0 2 1 1 0 0 0 1 1 315 0 0 28.4667 0.290335 4 -1 -1 -1 -1 -1 -1 -1 31366 0 0 10 40 15.5 15.5 3 1 3
0 0 0 0 2 1 1 0 0 0 1 1 315 0 0 28.1419 0 4 -1 -1 -1 -1 -1 -1 -1 31999 0 0 10 40 15.5 15.5 3 3 3
0 0 0 0 4 1 1 0 0 0 1 1 315 0 0 27.4875 0 4 4 0 5 1 0 1 0 32633 0 0 10 40 15.5 15.5 3 3 3
0 0 0 0 2 1 1 0 0 0 1 1 315 0 0 29.4144 0 4 -1 -1 -1 -1 -1 -1 -1 33299 0 0 10 40 15.5 15.5 3 3 3
0 0 0 0 1 2 1 0 0 0 1 1 375 0 0 28.76 0 5 -1 -1 -1 -1 -1 -1 -1 33933 0 0 10 40 15.5 15.5 3 3 3
0 0 0 0 1 2 1 0 0 0 1 1 359 0 0 28.1055 0 5 -1 -1 -1 -1 -1 -1 -1 34566 0 0 10 40 15.5 15.5 8 0 3
0 0 0 0 1 4 1 0 0 0 1 1 358 0 0 27.4166 0 5 5 1 5 0 0 1 0 35233 0 0 10 40 15.5 15.5 1 3 3
0 0 0 0 1 2 1 0 0 0 1 1 358 0 0 29.4489 0 5 -1 -1 -1 -1 -1 -1 -1 35866 0 0 10 40 15.5 15.5 1 3 3
0 0 0 0 1 2 1 0 0 0 1 1 358 0 0 28.7944 0 5 -1 -1 -1 -1 -1 -1 -1 36499 0 0 10 40 15.5 15.5 1 3 3
0 0 0 0 1 2 1 0 0 0 1 1 358 0 0 28.1055 0 5 -1 -1 -1 -1 -1 -1 -1 37166 0 0 10 40 15.5 15.5 1 3 3
0 0 0 0 1 4 1 0 0 0 1 1 358 0 0 27.4511 0 5 5 2 5 2 0 1 0 37799 0 0 10 40 15.5 15.5 5 0 3
0 0 0 0 1 2 1 0 0 0 1 1 378 0 0 29.4489 0 5 -1 -1 -1 -1 -1 -1 -1 38433 0 0 10 40 15.5 15.5 5 0 3
1 0 1 1 1 1 2 1 0 0 1 1 390 0 0 28.76 0 6 -1 -1 -1 -1 -1 -1 -1 39099 0 0 10 40 15.5 15.5 5 0 7
1 0 1 1 1 1 2 1 0 0 1 1 395 0 0 28.1055 0 6 -1 -1 -1 -1 -1 -1 -1 39733 0 0 10 40 15.5 15.5 5 0 7
1 0 1 1 1 1 4 1 0 0 1 1 395 0 0 27.4166 0 6 6 0 5 1 0 1 0 40399 0 0 10 40 15.5 15.5 3 1 7
1 0 1 1 1 1 2 1 0 0 1 1 395 0 0 29.4489 0 6 -1 -1 -1 -1 -1 -1 -1 41033 0 0 10 40 15.5 15.5 3 1 7
1 0 1 1 1 1 2 1 0 0 1 1 395 0 0 28.7944 0 6 -1 -1 -1 -1 -1 -1 -1 41666 0 0 10 40 15.5 15.5 3 1 7
1 0 1 1 1 1 2 1 0 0 1 1 395 0 0 28.76 2.027 6 -1 -1 -1 -1 -1 -1 -1 42299 0 0 10 40 16 16 3 1 7
1 0 1 1 1 1 3 1 0 0 1 1 395 0 0 28.76 1.35144 6 6 4 5 1 1 1 1 42933 0 0 10 40 16 16 3 3 7
1 0 1 1 1 1 2 1 0 0 1 1 395 0 0 28.76 0.675887 6 -1 -1 -1 -1 -1 -1 -1 43566 0 0 10 40 16 16 3 3 7
1 0 1 1 1 2 1 1 0 0 1 1 371 -3 0 28.76 0.0358869 5 -1 -1 -1 -1 -1 -1 -1 44166 0 0 10 40 16 16 3 3 7
1 0 1 1 1 2 1 1 0 0 1 1 371 -3 0 28.6885 2.15367 5 -1 -1 -1 -1 -1 -1 -1 44799 0 0 10 40 16.5 16.5 3 3 7
1 0 1 1 1 3 1 1 0 0 1 1 371 -3 0 28.6885 1.49367 5 5 0 5 1 1 1 1 45399 0 0 10 40 16.5 16.5 8 0 7
1 0 1 1 1 2 1 1 0 0 1 1 371 -3 0 28.6885 0.833668 5 -1 -1 -1 -1 -1 -1 -1 45999 0 0 10 40 16.5 16.5 1 3 7
1 0 1 1 1 2 1 1 0 0 1 1 371 -3 0 28.6885 0.173668 5 -1 -1 -1 -1 -1 -1 -1 46599 0 0 10 40 16.5 16.5 1 3 7
1 0 1 1 1 2 1 1 0 0 1 1 371 -3 0 28.2215 0 5 -1 -1 -1 -1 -1 -1 -1 47199 0 0 10 40 16.5 16.5 1 3 7
1 0 1 1 1 4 1 1 0 0 1 1 371 -3 0 27.5249 0 5 5 3 5 4 0 1 0 47832 0 0 10 40 16.5 16.5 1 3 7
1 0 1 1 1 2 1 1 0 0 1 1 371 -3 0 29.45 0 5 -1 -1 -1 -1 -1 -1 -1 48432 0 0 10 40 16.5 16.5 5 0 7
1 0 1 1 1 2 1 1 0 0 1 1 351 -2 0 28.79 0 5 -1 -1 -1 -1 -1 -1 -1 49032 0 0 10 40 16.5 16.5 5 0 7
1 0 1 1 2 1 1 1 0 0 1 1 321 0 0 28.13 0 4 -1 -1 -1 -1 -1 -1 -1 49632 0 0 10 40 16.5 16.5 5 0 7
1 0 1 1 4 1 1 1 0 0 1 1 321 0 0 27.47 0 4 4 0 5 1 0 1 0 50232 0 0 10 40 16.5 16.5 5 0 7
1 0 1 1 2 1 1 1 0 0 1 1 321 0 0 29.45 0 4 -1 -1 -1 -1 -1 -1 -1 50832 0 0 10 40 16.5 16.5 3 1 7
1 0 1 1 2 1 1 1 0 0 1 1 326 0 0 28.7533 0 4 -1 -1 -1 -1 -1 -1 -1 51466 0 0 10 40 16.5 16.5 3 1 7
1 0 1 1 2 1 1 1 0 0 1 1 326 0 0 28.6433 2.10867 4 -1 -1 -1 -1 -1 -1 -1 52066 0 0 10 40 16.75 16.75 3 1 7
1 0 1 1 2 3 1 1 0 0 1 1 326 0 0 28.6433 1.47589 4 5 0 5 1 1 1 1 52632 0 0 10 40 16.75 16.75 3 1 7
1 0 1 1 2 1 1 1 0 0 1 1 326 0 0 28.6433 0.805889 4 -1 -1 -1 -1 -1 -1 -1 53232 0 0 10 40 16.75 16.75 3 3 7
1 0 1 1 1 2 1 1 0 0 1 1 339 0 0 28.6433 0.135889 5 -1 -1 -1 -1 -1 -1 -1 53832 0 0 10 40 16.75 16.75 3 3 7
1 0 1 1 1 2 1 1 0 0 1 1 344 0 0 28.1352 0 5 -1 -1 -1 -1 -1 -1 -1 54432 0 0 10 40 16.75 16.75 3 3 7
1 0 1 1 1 4 1 1 0 0 1 1 344 0 0 27.4652 0 5 5 4 5 2 0 1 0 55032 0 0 10 40 16.75 16.75 3 3 7
1 0 1 1 1 2 1 1 0 0 1 1 344 0 0 29.4417 0 5 -1 -1 -1 -1 -1 -1 -1 55632 0 0 10 40 16.75 16.75 8 0 7
1 0 1 1 2 1 1 1 0 0 1 1 337 -1 0 28.7717 0 4 -1 -1 -1 -1 -1 -1 -1 56232 0 0 10 40 16.75 16.75 1 3 7
1 0 1 1 2 1 1 1 0 0 1 1 331 -1 0 28.1017 2.667 4 -1 -1 -1 -1 -1 -1 -1 56832 0 0 10 40 17 16.75 1 3 7
1 0 1 1 3 1 1 1 0 0 1 1 331 -1 0 28.1017 2.02478 4 4 2 5 2 1 1 1 57399 0 0 10 40 17 17 1 3 7
1 0 1 1 2 1 1 1 0 0 1 1 331 -1 0 28.1017 1.34478 4 -1 -1 -1 -1 -1 -1 -1 57999 0 0 10 40 17 17 1 3 7
1 0 1 1 2 1 1 1 0 0 1 1 335 0 0 28.1017 0.66478 4 -1 -1 -1 -1 -1 -1 -1 58599 0 0 10 40 17 17 5 0 7
1 0 1 1 2 1 1 1 0 0 1 1 335 0 0 28.1017 2.13033 4 -1 -1 -1 -1 -1 -1 -1 59166 0 0 10 40 17.25 17.25 5 0 7
1 0 1 1 2 3 1 1 0 0 1 1 335 0 0 28.1017 1.47867 4 5 4 5 2 1 1 1 59732 0 0 10 40 17.25 17.25 5 0 7
1 0 1 1 1 2 1 1 0 0 1 1 346 0 0 28.1017 0.788666 5 -1 -1 -1 -1 -1 -1 -1 60332 0 0 10 40 17.25 17.25 5 0 7
1 0 1 1 1 2 1 1 0 0 1 1 353 0 0 28.1017 0.136999 5 -1 -1 -1 -1 -1 -1 -1 60899 0 0 10 40 17.25 17.25 3 1 7
1 0 1 1 1 2 1 1 0 0 1 1 354 0 0 27.5813 0 5 -1 -1 -1 -1 -1 -1 -1 61499 0 0 10 40 17.25 17.25 3 1 7
1 0 1 1 1 4 1 1 0 0 1 1 355 0 0 26.9297 0 5 5 3 5 4 0 1 0 62066 0 0 10 40 17.25 17.25 3 1 7
1 0 1 1 1 2 1 1 0 0 1 1 360 0 0 29.4633 0 5 -1 -1 -1 -1 -1 -1 -1 62632 0 0 10 40 17.25 17.25 3 1 7
1 0 1 1 1 2 1 1 0 0 1 1 15 0 0 28.85 2.58922 5 -1 -1 -1 -1 -1 -1 -1 63232 0 0 10 40 17.5 17.5 3 3 7
1 0 1 1 1 1 2 1 0 0 1 1 28 1 0 28.85 1.92811 6 -1 -1 -1 -1 -1 -1 -1 63799 0 0 10 40 17.5 17.5 3 3 7
1 0 1 1 1 1 3 1 0 0 1 1 32 0 0 28.85 1.267 6 6 3 5 4 1 1 1 64366 0 0 10 40 17.5 17.5 3 3 7
1 0 1 1 1 2 1 1 0 0 1 1 -4 -3 0 28.85 0.605887 5 -1 -1 -1 -1 -1 -1 -1 64932 0 0 10 40 17.5 17.5 3 3 7
1 0 1 1 2 1 1 1 0 0 1 1 -43 0 0 28.8274 0 4 -1 -1 -1 -1 -1 -1 -1 65499 0 0 10 40 17.5 17.5 8 0 7
1 0 1 1 1 2 1 1 0 0 1 1 -22 0 0 28.1663 0 5 -1 -1 -1 -1 -1 -1 -1 66066 0 0 10 40 17.5 17.5 1 3 7
1 0 1 1 1 4 1 1 0 0 1 1 -17 0 0 27.5052 0 5 5 2 5 4 0 1 0 66632 0 0 10 40 17.5 17.5 1 3 7
1 0 1 1 1 2 1 1 0 0 1 1 -6 0 0 29.4167 0 5 -1 -1 -1 -1 -1 -1 -1 67232 0 0 10 40 17.5 17.5 1 3 7
1 0 1 1 1 2 1 1 0 0 1 1 -5 0 0 28.7556 0 5 -1 -1 -1 -1 -1 -1 -1 67799 0 0 10 40 17.5 17.5 1 3 7
1 0 1 1 1 2 1 1 0 0 1 1 -5 0 0 28.0944 0 5 -1 -1 -1 -1 -1 -1 -1 68365 0 0 10 40 17.5 17.5 5 0 7
1 0 1 1 1 4 1 1 0 0 1 1 -4 0 0 27.4333 0 5 5 4 5 3 0 1 0 68932 0 0 10 40 17.5 17.5 5 0 7
1 0 1 1 2 1 1 1 0 0 1 1 -28 -2 0 29.4556 0 4 -1 -1 -1 -1 -1 -1 -1 69499 0 0 10 40 17.5 17.5 5 0 7
1 0 1 1 2 1 1 1 0 0 1 1 -43 0 0 28.7944 0 4 -1 -1 -1 -1 -1 -1 -1 70065 0 0 10 40 17.5 17.5 5 0 7
1 0 1 1 2 1 1 1 0 0 1 1 -43 0 0 28.1333 0 4 -1 -1 -1 -1 -1 -1 -1 70632 0 0 10 40 17.5 17.5 3 1 7
1 0 1 1 4 1 1 1 0 0 1 1 -43 0 0 27.4333 0 4 4 4 5 2 0 1 0 71232 0 0 10 40 17.5 17.5 3 1 7
1 0 1 1 2 1 1 1 0 0 1 1 -43 0 0 29.4556 0 4 -1 -1 -1 -1 -1 -1 -1 71799 0 0 10 40 17.5 17.5 3 1 7
1 0 1 1 2 1 1 1 0 0 1 1 -43 0 0 28.7944 0 4 -1 -1 -1 -1 -1 -1 -1 72365 0 0 10 40 17.5 17.5 3 1 7
1 0 1 1 2 1 1 1 0 0 1 1 -43 0 0 28.1333 0 4 -1 -1 -1 -1 -1 -1 -1 72932 0 0 10 40 17.5 17.5 3 3 7
1 0 1 1 3 1 1 1 0 0 1 1 -43 0 0 27.4722 0 4 4 2 5 4 1 1 0 73499 0 0 10 40 17.5 17.5 3 3 7
1 0 1 1 2 1 1 1 0 0 1 1 -36 1 0 26.8055 0 4 -1 -1 -1 -1 -1 -1 -1 74099 0 0 10 40 16.5 16.5 3 3 7
1 0 1 1 2 1 1 1 0 0 1 1 -30 0 0 26.1455 0 4 -1 -1 -1 -1 -1 -1 -1 74699 0 0 10 40 16.5 16.5 3 3 7
1 0 1 1 2 1 1 1 0 0 1 1 -30 0 0 26.1089 2.62978 4 -1 -1 -1 -1 -1 -1 -1 74899 0 1 10 40 16.75 60 8 0 7
1 0 1 1 2 3 1 1 0 0 1 1 -30 0 0 26.1089 2.62978 4 5 2 5 4 1 1 1 75065 0 1 10 40 16.75 60 1 3 7
1 0 1 1 2 1 1 1 0 0 1 1 -30 0 0 26.1089 2.62978 4 -1 -1 -1 -1 -1 -1 -1 75232 0 1 10 40 16.75 60 1 3 7
1 0 1 1 2 1 1 1 0 0 1 1 -30 0 29 26.1089 2.62978 4 -1 -1 -1 -1 -1 -1 -1 75399 0 1 10 40 16.75 60 1 3 7
1 0 1 1 2 1 1 1 0 0 1 1 -30 0 0 26.1089 2.62978 4 -1 -1 -1 -1 -1 -1 -1 75565 0 1 10 40 16.75 60 1 3 7
1 0 1 1 2 1 1 1 0 0 1 1 -30 0 0 26.1089 2.62978 4 -1 -1 -1 -1 -1 -1 -1 75732 0 1 10 40 16.75 60 5 0 7
1 0 1 1 2 1 1 1 0 0 1 1 -30 0 0 26.1089 2.62978 4 -1 -1 -1 -1 -1 -1 -1 75899 0 1 10 40 16.75 60 5 0 7
1 0 1 1 2 1 1 1 0 0 1 1 -30 0 0 26.1089 2.62978 4 -1 -1 -1 -1 -1 -1 -1 76065 0 1 10 40 16.75 60 5 0 7
1 0 1 1 2 1 1 1 0 0 1 1 -30 0 0 26.1089 2.62978 4 -1 -1 -1 -1 -1 -1 -1 76232 0 1 10 40 16.75 60 5 0 7
1 0 1 1 2 1 1 1 0 0 1 1 -30 0 0 26.1089 2.62978 4 -1 -1 -1 -1 -1 -1 -1 76399 0 1 10 40 16.75 60 3 1 7
1 0 1 1 2 1 1 1 0 0 1 1 -30 0 0 26.1089 2.62978 4 -1 -1 -1 -1 -1 -1 -1 76565 0 1 10 40 16.75 60 3 1 7
0 0 0 0 1 2 1 0 1 0 4 1 0 0 0 29.8867 0 5 -1 -1 -1 -1 -1 -1 -1 90565 0 0 10 40 17 60 4 1 3
0 0 0 0 1 2 1 0 1 0 4 1 0 0 0 29.6978 0 5 -1 -1 -1 -1 -1 -1 -1 90732 0 0 10 40 17 60 4 1 3
0 0 0 0 1 2 1 0 1 0 4 1 0 0 0 29.5089 0 5 -1 -1 -1 -1 -1 -1 -1 90898 0 0 10 40 17 60 4 1 3
0 0 0 0 1 2 1 0 1 0 4 1 0 0 0 29.2822 0 5 -1 -1 -1 -1 -1 -1 -1 91098 0 0 10 40 17 41.2711 4 1 3
0 0 0 0 1 2 1 0 1 0 4 1 0 0 0 28.8289 0 5 -1 -1 -1 -1 -1 -1 -1 91498 0 0 10 40 17 17 6 2 3
0 0 0 0 1 2 1 0 1 0 4 1 0 0 0 28.1489 0 5 -1 -1 -1 -1 -1 -1 -1 92098 0 0 10 40 17 17 6 2 3
0 0 0 0 1 2 1 0 1 0 4 1 0 0 0 27.4689 0 5 -1 -1 -1 -1 -1 -1 -1 92698 0 0 10 40 17 17 6 2 3
0 0 0 0 1 2 1 0 1 0 4 1 0 0 0 26.8267 0 5 -1 -1 -1 -1 -1 -1 -1 93265 0 0 10 40 17 17 6 2 3
0 0 0 0 1 1 2 0 1 0 4 1 36 0 0 26.1468 0 6 -1 -1 -1 -1 -1 -1 -1 93865 0 0 10 40 17 17 0 2 3
0 0 0 0 1 1 2 0 1 0 4 1 36 0 0 25.4668 0 6 -1 -1 -1 -1 -1 -1 -1 94465 0 0 10 40 17 17 0 2 3
0 0 0 0 1 1 4 0 1 0 4 1 36 0 0 24.8246 0 6 6 2 2 2 0 1 0 95032 0 0 10 40 17 17 0 2 3
0 0 0 0 1 1 2 0 1 0 4 1 36 0 0 29.4333 0 6 -1 -1 -1 -1 -1 -1 -1 95632 0 0 10 40 17 17 0 2 3
0 0 0 0 1 1 2 0 1 0 4 1 36 0 0 28.7911 0 6 -1 -1 -1 -1 -1 -1 -1 96198 0 0 10 40 17 17 2 2 3
