% Tunnel Log: 
% Recall Log Version 2.0 debug seed: 1431452164
%
% SegEncNW { '0'=no panel, '1'=empty panel, '2'=player, '3'=match, '4'=nonmatch, '5'=obstacle, '6'=time warp }
% SegEncN
% SegEncNE
% SegEncE
% SegEncSE
% SegEncS
% SegEncSW
% SegEncW
% Event Number { 0, inf }
% Level Number { 0, inf }
% Task Type { 0=Recess, 1=Color/Sound, 2=Shape/Sound, 3=Sound, 4=AllFeatures }
% N-Back { 0, inf }
% Player Roll Base { 0, 359 }
% Player Roll Offset { 0, 359 }
% Player Roll Speed { -inf, inf }
% Player Fuel Timer { -inf, inf }
% Player Fuel Buffer { -inf, inf }
% Player Loc { 0=Northwest ... 7=West }
% Pod Loc { -1=N/A, 0=Northwest ... 7=West }
% Pod Color { -1=N/A, 0-3, 4=holdout, 5/6=special }
% Pod Shape { -1=N/A, 0-3, 4=holdout }
% Pod Sound { -1=N/A, 0-3, 4=holdout }
% Pod Match { -1=N/A, 0=No, 1=Yes }
% Pod Taken { -1=N/A, 0=No, 1=Yes }
% Pod Zapped { -1=N/A, 0=No, 1=Yes }
% Timestamp (ms)
% Num Obstacles { 0, inf }
% Level Ended { 0, 1 }
% Min Speed { 0, inf }
% Max Speed { 0, inf }
% Base Speed { 0, inf }
% Final Speed { 0, inf }
% Segment Direction { 0=Northwest ... 7=West }
% Segment Angle { 0, inf }
% Segment Panels { 0, inf }
%
% SegEncNW SecEncN SegEncNE SegEncE SegEncSE SegEncS SegEncSW SegEncW EventNumber LevelNumber TaskType N-Back PlayerRollBase PlayerRollOffset PlayerRollSpeed PlayerFuelTimer PlayerFuelBuffer PlayerLoc PodLoc PodColor PodShape PodSound PodMatch PodTaken PodZapped Timestamp NumObs LevelEnded MinSpeed MaxSpeed BaseSpeed FinalSpeed SegmentDir SegmentAngle SegmentPanels
0 0 0 1 1 2 1 1 0 0 3 3 0 0 0 29.9 0 5 -1 -1 -1 -1 -1 -1 -1 190211 0 0 10 40 15 60 1 1 5
0 0 0 1 1 2 1 1 0 0 3 3 0 0 0 29.7333 0 5 -1 -1 -1 -1 -1 -1 -1 190378 0 0 10 40 15 60 1 1 5
0 0 0 1 1 2 1 1 0 0 3 3 0 0 0 29.5667 0 5 -1 -1 -1 -1 -1 -1 -1 190545 0 0 10 40 15 60 1 1 5
0 0 0 1 1 2 1 1 0 0 3 3 0 0 0 29.4 0 5 -1 -1 -1 -1 -1 -1 -1 190711 0 0 10 40 15 51 1 1 5
0 0 0 1 1 2 1 1 0 0 3 3 0 0 0 29.1333 0 5 -1 -1 -1 -1 -1 -1 -1 190978 0 0 10 40 15 27 0 2 5
0 0 0 1 1 2 1 1 0 0 3 3 0 0 0 28.5 0 5 -1 -1 -1 -1 -1 -1 -1 191611 0 0 10 40 15 15 0 2 5
0 0 0 1 1 2 1 1 0 0 3 3 0 0 0 27.8334 0 5 -1 -1 -1 -1 -1 -1 -1 192278 0 0 10 40 15 15 0 2 5
0 0 0 1 1 2 1 1 0 0 3 3 0 0 0 27.1667 0 5 -1 -1 -1 -1 -1 -1 -1 192945 0 0 10 40 15 15 0 2 5
0 0 0 1 1 2 1 1 0 0 3 3 15 1 59 26.5001 0 5 -1 -1 -1 -1 -1 -1 -1 193612 0 0 10 40 15 15 5 2 5
0 0 0 1 1 1 2 1 0 0 3 3 29 0 0 25.8334 0 6 -1 -1 -1 -1 -1 -1 -1 194279 0 0 10 40 15 15 5 2 5
0 0 0 1 1 1 4 1 0 0 3 3 40 0 0 25.1667 0 6 6 5 5 1 0 1 0 194946 0 0 10 40 15 15 5 2 5
