%Recollect Version 2.0. Scene/Level: nback0_advan, Game Number: 063
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Orange=0,Green=1,Purple=2,Blue=3,White=4,None=5,
0,3,1,0,1,1.16516,1478104834351.5,3.69873,1478104836885.95
0,3,1,0,4,3.66542,1478104836852.1,6.19889,1478104839386.45
0,3,1,0,2,6.16579,1478104839352.53,8.69907,1478104841887.48
0,3,1,0,3,8.66566,1478104841852.51,11.19919,1478104844386.64
0,3,1,0,2,10.93248,1478104844120.37,13.43329,1478104846620.57
0,3,1,1,2,13.39934,1478104846586.61,15.08986,1478104848298.73
0,3,1,0,0,15.93279,1478104849119.93,18.46626,1478104851652.76
0,3,1,0,1,18.43365,1478104851620.8,20.93307,1478104854120.42
0,3,1,1,2,20.66638,1478104853853.9,22.32986,1478104855520.53
0,3,0,0,3,23.13365,1478104856320.68,24.78986,1478104857987.25
0,3,1,1,1,25.63342,1478104858821.18,27.28986,1478104860488.08
0,3,1,0,3,28.13345,1478104861321.34,30.66693,1478104863854.03
0,3,0,1,3,30.63361,1478104863820.55,33.16714,1478104866355.05
1,146.22150,2.92944,2,35.04986,1478104868253.24
0,3,1,0,2,33.13375,1478104866321.61,35.66723,1478104868854.44
0,3,1,1,3,35.36722,1478104868553.83,37.02985,1478104870222.12
0,3,1,0,4,37.86739,1478104871054.43,40.40086,1478104873587.72
0,3,1,1,2,40.36748,1478104873554.07,42.26986,1478104875487.9
0,3,1,0,0,42.86760,1478104876054.96,45.40129,1478104878588.91
0,4,1,1,4,45.13442,1478104878321.45,46.78986,1478104879992.75
0,4,1,0,3,50.06813,1478104885287.68,52.60164,1478104887822.27
0,4,1,0,0,52.56827,1478104887787.93,55.10175,1478104890322
0,4,1,0,4,55.06848,1478104890289.88,57.60202,1478104892822.79
0,4,1,0,3,57.56856,1478104892788.95,60.10205,1478104895322.93
0,4,1,0,2,59.83536,1478104895056.19,62.36882,1478104897589.05
0,4,0,0,4,62.33542,1478104897556.2,63.98985,1478104899222.99
0,4,1,1,4,64.83588,1478104900056.52,66.48985,1478104901722.77
0,4,1,0,2,67.33575,1478104902556.55,69.86929,1478104905089.54
0,4,0,0,3,69.56923,1478104904789.21,71.42986,1478104906656.5
0,3,0,0,2,72.03603,1478104907257.54,73.92986,1478104909157.59
0,3,1,0,0,77.03633,1478104914290.31,79.60315,1478104916856.89
0,3,1,0,4,79.53648,1478104916790.78,82.06990,1478104919324.06
0,3,1,0,1,82.03648,1478104919290.83,84.57008,1478104921824.33
0,3,0,0,1,84.30360,1478104921557.37,85.96985,1478104923224.1
0,3,1,0,2,86.80344,1478104924056.7,89.33702,1478104926591.15
0,3,1,0,3,89.30365,1478104926557.47,91.83710,1478104929091.23
0,3,1,1,1,91.80397,1478104929057.47,93.94986,1478104931223.95
0,3,0,0,4,94.03857,1478104931293.1,95.82985,1478104933091.19
0,3,1,1,3,96.67065,1478104933925.42,98.34985,1478104935624.24
0,3,1,1,1,98.93752,1478104936191.72,100.60980,1478104937890.97
0,3,1,0,2,101.43770,1478104938691.78,103.97110,1478104941225.27
0,3,1,0,0,103.93790,1478104941192.29,106.47120,1478104943724.97
0,3,1,0,2,106.43790,1478104943691.7,108.97140,1478104946225.47
0,3,0,0,0,108.80480,1478104946058.36,110.80990,1478104948092.22
1,457.58100,3.21092,1,112.90990,1478104950191.11
0,3,1,0,4,111.30490,1478104948558.95,113.83830,1478104951092.22
0,3,1,0,1,113.80510,1478104951058.72,116.33850,1478104953592.89
0,3,1,0,1,116.30520,1478104953558.62,118.83870,1478104956092.72
0,3,1,0,0,118.80530,1478104956058.51,121.33880,1478104958592.55
0,2,0,0,4,121.07210,1478104958325.79,122.86990,1478104960126.8
0,2,1,0,0,126.07240,1478104965359.58,128.60580,1478104967892.59
0,2,1,0,2,128.57280,1478104967860.93,131.10600,1478104970392.79
0,2,1,0,1,130.80610,1478104970092.6,133.33940,1478104972626.5
0,2,1,1,2,133.27280,1478104972559.88,134.92990,1478104974226.94
0,2,1,0,4,135.77300,1478104975060.62,138.30640,1478104977593.34
0,2,1,0,3,138.27310,1478104977560.64,140.80660,1478104980093.82
0,2,1,0,0,140.77320,1478104980060.7,143.30670,1478104982593.31
0,2,1,0,2,143.27340,1478104982560.59,145.80690,1478104985093.66
0,2,1,1,0,145.50680,1478104984793.96,147.22990,1478104986527.64
0,2,1,0,0,148.00690,1478104987294.12,150.54040,1478104989827.79
0,2,1,0,4,150.50820,1478104989795.34,153.04060,1478104992328.34
0,3,1,1,0,153.00720,1478104992293.95,154.74980,1478104994062.11
0,3,1,0,3,157.74070,1478104999061.54,160.27420,1478105001595.05
0,3,1,0,1,160.24090,1478105001561.93,162.77430,1478105004095.67
0,3,1,0,2,162.74100,1478105004061.77,165.27450,1478105006595.42
0,3,1,0,4,165.24120,1478105006562.16,167.77470,1478105009095.38
0,3,0,1,1,167.74500,1478105009066.25,170.27480,1478105011596.29
0,2,0,0,4,169.97470,1478105011295.36,171.82980,1478105013163.35
0,2,1,0,1,174.97510,1478105018329.72,177.50860,1478105020862.14
0,2,1,0,3,177.47520,1478105020829.4,180.00870,1478105023362.33
0,2,1,0,2,179.74260,1478105023098.29,182.27550,1478105025630.33
1,757.36000,4.22838,0,187.84990,1478105031230.09
