%Recollect Version 2.0. Scene/Level: nback1_advan, Game Number: 110
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Blue=0,Yellow=1,Green=2,Pink=3,White=4,Gray=5,Brown=6,Purple=7,None=8,
0,3,1,0,3,0.06427,1478713706645.26,1.68341,1478713708245.5
0,3,1,0,1,1.61670,1478713708179.1,4.15021,1478713710712.34
0,3,1,0,5,4.05023,1478713710612.29,6.58374,1478713713146.5
0,3,1,1,3,6.48364,1478713713046.79,8.07111,1478713714649.42
0,3,1,1,1,8.91718,1478713715480.23,10.57111,1478713717147.25
0,3,1,0,2,11.38391,1478713717947.53,13.91748,1478713720480.94
1,65.60316,4.58158,2,14.87109,1478713721447.54
0,3,1,0,0,13.81982,1478713720384.39,16.35095,1478713722913.55
0,4,1,1,1,16.25085,1478713722813.05,17.87109,1478713724452.33
0,4,1,0,0,21.15118,1478713729747.85,23.68469,1478713732280.89
1,107.23980,2.81377,1,25.27112,1478713733880.35
0,4,1,0,2,23.58466,1478713732180.68,26.11841,1478713734715.3
0,4,1,0,5,26.11841,1478713734715.06,28.65155,1478713737248.48
0,4,1,0,2,28.58496,1478713737180.75,31.11847,1478713739715.26
0,4,1,0,4,31.01862,1478713739615.23,33.55188,1478713742148.58
0,4,1,0,3,33.45203,1478713742048.54,36.01868,1478713744615.83
0,4,1,0,2,35.91870,1478713744515.34,38.45221,1478713747048.85
0,4,1,0,1,38.35211,1478713746949.21,40.88562,1478713749481.6
0,4,0,0,3,40.81897,1478713749415.72,42.61108,1478713751215.44
0,4,1,0,2,43.21906,1478713751815.78,45.75256,1478713754349.16
0,4,1,1,2,45.68591,1478713754281.43,47.57111,1478713756181.78
0,4,0,0,4,48.15271,1478713756749.67,49.85114,1478713758449.4
0,4,1,1,3,50.58618,1478713759181.67,52.17108,1478713760782.11
0,4,1,0,0,53.22003,1478713761816.21,55.75330,1478713764349.53
0,4,0,0,3,55.65332,1478713764250.68,57.31110,1478713765916.37
0,3,0,1,4,58.05341,1478713766650.14,60.62079,1478713769219.75
0,3,1,0,0,62.98767,1478713773616.11,65.52087,1478713776150.17
0,3,1,0,5,65.42090,1478713776050.22,67.95459,1478713778584.02
0,3,1,0,2,67.88873,1478713778518.31,70.42120,1478713781050.7
0,3,1,0,1,70.32135,1478713780951.36,72.85474,1478713783483.9
0,3,1,0,4,72.75500,1478713783384.72,75.32147,1478713785951.39
0,3,1,0,1,75.22150,1478713785851.12,77.75494,1478713788384.94
0,3,0,0,4,77.65533,1478713788284.82,79.27112,1478713789916.93
0,3,1,1,4,80.15515,1478713790784.69,81.77112,1478713792417.47
0,3,1,1,1,82.62189,1478713793251.56,84.49109,1478713795151.51
0,4,1,1,4,85.05566,1478713795684.95,86.67108,1478713797319.11
0,4,1,0,0,90.12231,1478713802785.45,92.65582,1478713805318.65
0,4,1,0,2,92.55640,1478713805219.32,95.08929,1478713807751.51
0,4,1,0,4,94.98956,1478713807652.61,97.52271,1478713810185.77
0,4,1,0,2,97.42273,1478713810085.35,99.95685,1478713812619.69
0,4,1,0,3,99.88953,1478713812551.75,102.42290,1478713815085.65
0,4,1,0,5,102.32300,1478713814986.01,104.85640,1478713817519.27
0,4,1,1,4,104.75650,1478713817419.49,106.57110,1478713819251.95
0,4,1,0,3,107.22330,1478713819885.87,109.75690,1478713822419.67
0,4,1,0,2,109.65670,1478713822319.19,112.22360,1478713824887.36
0,4,1,0,4,112.12360,1478713824786.74,114.65720,1478713827319.94
0,4,1,0,3,114.65720,1478713827324.13,117.19070,1478713829852.78
0,4,1,0,5,117.12410,1478713829787.38,119.65730,1478713832319.91
0,4,1,0,1,119.55740,1478713832220.07,122.09090,1478713834752.84
0,4,1,0,2,122.02410,1478713834686.57,124.55760,1478713837220.44
0,4,1,1,3,124.42440,1478713837088.87,126.05110,1478713838720.65
0,5,1,1,5,126.89110,1478713839552.96,128.59110,1478713841256.36
0,5,1,0,3,131.75800,1478713846454.29,134.29130,1478713848987.5
0,5,1,0,2,134.19130,1478713848887.35,136.75810,1478713851454.38
0,5,1,0,0,136.65810,1478713851354.22,139.19160,1478713853887.7
0,5,1,0,0,139.09190,1478713853788.07,141.62520,1478713856320.75
0,5,1,0,3,141.69170,1478713856387.75,144.25850,1478713858954.89
0,5,1,0,1,144.12540,1478713858821.03,146.62540,1478713861320.77
0,5,1,0,0,146.52550,1478713861220.92,149.05900,1478713863755.76
0,5,1,1,0,148.99220,1478713863688.32,150.57110,1478713865287.9
0,5,1,1,0,151.39230,1478713866088.64,153.01110,1478713867721.39
0,5,1,0,4,153.85910,1478713868555.3,156.39270,1478713871089.02
0,5,0,1,1,156.29270,1478713870988.88,158.85940,1478713873556.4
0,5,1,0,3,158.72630,1478713873421.74,161.25950,1478713875955.58
0,5,1,0,1,161.19300,1478713875888.92,163.75970,1478713878455.81
1,662.59220,9.32149,0,164.07110,1478713878788.28
0,4,0,0,4,163.65970,1478713878355.76,165.27110,1478713879990.44
