%Recollect Version 2.0. Scene/Level: nback0_intro, Game Number: 147
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Blue=0,Yellow=1,Green=2,Pink=3,White=4,Gray=5,Brown=6,Purple=7,None=8,
0,3,1,0,2,1.18322,1479404292789.63,3.71669,1479404295322.99
0,3,1,0,2,3.68344,1479404295290.13,6.21687,1479404297824.09
0,3,1,0,0,6.18357,1479404297790.52,8.71717,1479404300324.05
0,3,1,1,2,8.68370,1479404300291.01,10.29507,1479404301938.76
0,3,1,0,3,10.91726,1479404302523.99,13.48411,1479404305090.88
0,3,1,0,2,13.41747,1479404305024.67,15.98413,1479404307591.43
0,3,1,1,2,15.91745,1479404307524.31,17.53507,1479404309157.53
0,3,1,0,2,18.41767,1479404310024.51,20.98455,1479404312591.6
0,3,1,0,1,20.68438,1479404312291.3,23.21785,1479404314824.68
0,3,1,0,0,23.15134,1479404314757.75,25.68482,1479404317292.24
0,3,1,0,0,25.65134,1479404317257.85,28.18481,1479404319792.02
0,3,1,0,2,28.15162,1479404319758.08,30.68511,1479404322292.12
0,4,1,1,0,30.65161,1479404322258.14,32.23507,1479404323863.8
0,4,1,0,1,35.41884,1479404329059.09,37.95211,1479404331592.08
0,4,1,0,3,37.91901,1479404331559.49,40.45245,1479404334092.33
0,4,1,0,2,40.41896,1479404334058.96,42.95245,1479404336592.15
0,4,1,0,1,42.91926,1479404336559.32,45.45345,1479404339093.18
0,4,1,0,3,45.15290,1479404338792.71,47.68604,1479404341326.21
0,4,1,1,3,47.61952,1479404341259.52,49.17507,1479404342826.38
0,4,1,0,3,50.11966,1479404343759.61,52.61990,1479404346259.92
0,4,1,0,0,52.61990,1479404346263.2,55.11990,1479404348760.16
0,4,1,1,3,55.11990,1479404348762.96,56.67507,1479404350326.82
0,4,1,0,0,57.58665,1479404351226.86,60.12012,1479404353760.35
0,5,1,1,3,59.85369,1479404353493.29,61.43507,1479404355097.14
0,5,1,0,2,64.85388,1479404360527.64,67.38720,1479404363060.81
0,5,1,0,2,67.35389,1479404363027.03,69.88744,1479404365561.01
0,5,1,0,2,69.58733,1479404365260.91,72.12118,1479404367794.58
0,5,1,0,3,72.08743,1479404367760.82,74.62114,1479404370294.49
0,5,1,0,3,74.58762,1479404370261.02,77.12121,1479404372794.77
0,5,1,0,3,77.08778,1479404372761.46,79.62122,1479404375294.84
0,5,1,1,2,79.58792,1479404375261.52,81.19507,1479404376894.86
0,5,1,0,1,82.08803,1479404377761.37,84.62154,1479404380295.05
0,5,1,0,0,84.32149,1479404379995.34,86.85513,1479404382529.1
0,5,1,0,1,86.82162,1479404382495.03,89.35509,1479404385028.6
0,5,1,0,2,89.32171,1479404384995.24,91.85526,1479404387528.79
0,5,1,0,1,91.82191,1479404387495.55,94.35538,1479404390028.9
0,5,1,0,3,94.05553,1479404389729.21,96.62222,1479404392295.63
0,5,1,0,2,96.72223,1479404392395.61,99.25566,1479404394929.18
0,5,0,1,1,98.95565,1479404394629.01,101.48910,1479404397162.71
0,4,0,0,0,101.45590,1479404397129.15,103.17510,1479404398863.83
0,4,1,0,2,106.45610,1479404404162.81,108.98960,1479404406696
0,4,1,0,1,108.82300,1479404406529.54,111.35670,1479404409063.33
0,4,1,0,3,111.32310,1479404409029.72,113.85670,1479404411563.37
0,4,1,0,1,113.82340,1479404411530.05,116.35680,1479404414063.56
0,4,1,1,2,116.32350,1479404414030.41,117.95510,1479404415664.02
0,4,1,0,0,118.82370,1479404416530.38,121.35710,1479404419063.79
0,4,1,0,1,121.09060,1479404418796.95,123.62380,1479404421330.46
0,4,1,0,3,123.59060,1479404421297.08,126.12410,1479404423831.02
0,4,1,1,2,126.09090,1479404423797.13,127.69510,1479404425430.64
0,5,1,1,0,128.59090,1479404426297.11,130.17510,1479404427899.71
0,5,1,0,0,133.25740,1479404432997.78,135.82500,1479404435565.38
0,5,1,0,0,135.75770,1479404435498.01,138.32470,1479404438065.14
0,5,1,0,0,138.25800,1479404437998.25,140.82470,1479404440565.21
0,5,1,0,1,140.75790,1479404440498.4,143.32480,1479404443065.49
0,5,1,0,0,143.25800,1479404442998.41,145.82490,1479404445565.3
0,5,1,1,0,145.52480,1479404445265.28,147.11510,1479404446865.56
0,5,1,1,0,148.02490,1479404447765.47,149.61510,1479404449365.68
0,5,1,0,3,150.52510,1479404450265.63,153.05850,1479404452799.05
0,5,1,0,2,153.02520,1479404452765.78,155.55870,1479404455299.25
0,5,1,0,1,155.25860,1479404454998.92,157.82550,1479404457565.85
0,5,1,0,2,157.75990,1479404457500.35,160.25910,1479404459999.66
0,6,1,1,0,160.25910,1479404459999.37,161.87510,1479404461634.64
0,6,1,0,0,165.25960,1479404467033.69,167.75900,1479404469533.22
0,6,1,0,1,167.75900,1479404469533.08,170.25920,1479404472033.37
0,6,1,0,0,169.99260,1479404471766.32,172.52630,1479404474300.38
0,6,1,0,3,172.49280,1479404474266.45,175.02620,1479404476800.23
0,6,1,0,0,174.99270,1479404476766.43,177.52640,1479404479300.44
0,6,1,0,1,177.49310,1479404479266.71,180.02640,1479404481800.67
0,6,1,0,2,179.72640,1479404481500.4,182.25990,1479404484034.28
