%Recollect Version 2.0. Scene/Level: nback0_intro, Game Number: 016
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Orange=0,Green=1,Purple=2,Blue=3,White=4,None=5,
0,1,1,0,2,1.13336,1477589456079.74,3.66681,1477589458612.83
0,1,1,0,1,3.63355,1477589458579.81,6.16705,1477589461113.42
0,1,1,0,3,6.13367,1477589461079.95,8.66718,1477589463613.29
0,1,1,1,3,8.63385,1477589463580.61,10.50989,1477589465482.44
0,1,1,0,1,10.90057,1477589465846.93,13.43408,1477589468380.54
0,1,1,1,1,13.40076,1477589468346.98,15.10986,1477589470080.15
0,2,1,1,1,15.90082,1477589470846.89,17.54987,1477589472516.64
0,2,1,0,4,20.63434,1477589477613.98,23.16785,1477589480147.06
0,2,1,0,2,23.10120,1477589480081.19,25.63464,1477589482614.37
0,2,1,0,3,25.60175,1477589482581.66,28.13477,1477589485114.69
0,2,1,0,0,28.10144,1477589485081.14,30.63489,1477589487614.56
0,2,1,0,4,30.60223,1477589487581.96,33.13513,1477589490115.4
0,2,1,0,4,33.10175,1477589490081.38,35.63519,1477589492614.81
0,2,1,1,4,35.36859,1477589492347.96,37.02985,1477589494015.35
0,2,1,0,0,37.86871,1477589494848.14,40.40216,1477589497382.05
0,2,1,0,1,40.36902,1477589497348.34,42.90240,1477589499882.13
0,2,1,0,2,42.86896,1477589499848.39,45.40240,1477589502382.08
0,2,1,1,1,45.10248,1477589502082.03,46.76990,1477589503782.16
0,2,1,0,4,47.56927,1477589504548.51,50.10266,1477589507082.32
0,2,1,0,0,50.03601,1477589507015.59,52.57129,1477589509551.04
0,2,1,0,2,52.53619,1477589509515.79,55.10333,1477589512082.95
0,2,1,0,1,55.03650,1477589512016.14,57.60321,1477589514583.26
0,3,1,1,2,57.53644,1477589514516.11,59.22986,1477589516217.5
0,3,1,0,2,62.30334,1477589521316.08,64.83679,1477589523850.12
0,3,1,0,2,64.80347,1477589523816.56,67.33691,1477589526350.33
0,3,1,0,0,67.30359,1477589526316.83,69.83759,1477589528852.16
0,3,1,1,2,69.53705,1477589528550.7,71.22986,1477589530250.46
0,3,1,0,1,72.03723,1477589531050.26,74.57068,1477589533583.8
0,3,1,0,3,74.53790,1477589533551.5,77.07074,1477589536083.95
0,3,1,0,1,77.03748,1477589536050.81,79.57098,1477589538584.17
0,3,1,0,4,79.53766,1477589538551.45,82.07104,1477589541084.43
0,3,0,1,3,82.03784,1477589541051.14,84.57123,1477589543585.05
0,3,1,1,1,84.27130,1477589543284.35,86.06989,1477589545085.04
0,3,1,0,0,86.77148,1477589545784.48,89.33820,1477589548351.41
0,3,1,0,2,89.27161,1477589548284.8,91.83832,1477589550851.5
0,3,1,0,3,91.77167,1477589550785.01,94.33844,1477589553351.68
0,3,1,0,1,94.03845,1477589553051.68,96.57190,1477589555585.13
0,3,1,0,0,96.67200,1477589555685.71,99.20538,1477589558218.25
0,3,1,1,3,98.90643,1477589557919.34,100.56990,1477589559585.49
0,3,0,1,1,101.40550,1477589560418.21,103.93900,1477589562953.07
0,3,1,0,2,103.90580,1477589562918.37,106.43930,1477589565452.24
0,3,1,0,4,106.40600,1477589565418.8,108.93940,1477589567952.3
0,3,1,0,0,108.77270,1477589567785.68,111.33950,1477589570352.61
0,2,0,1,2,111.27280,1477589570285.82,113.83960,1477589572854.04
0,2,1,0,1,116.29190,1477589585770.58,118.82520,1477589588303.17
0,2,0,0,1,118.79200,1477589588270.26,120.44990,1477589589937.14
0,2,1,0,4,121.05860,1477589590536.83,123.55880,1477589593037.01
0,2,1,0,3,123.55880,1477589593039.95,126.05890,1477589595537.23
0,2,1,0,1,126.05890,1477589595537.08,128.55910,1477589598037.5
0,2,1,0,2,128.55910,1477589598041.04,131.05930,1477589600537.54
0,1,0,1,1,130.79250,1477589600270.94,133.32600,1477589602805.71
0,1,1,0,0,135.72610,1477589607237.51,138.25960,1477589609771.36
0,1,1,0,2,138.22630,1477589609737.53,140.75980,1477589612271.63
0,1,1,0,1,140.72640,1477589612237.76,143.25990,1477589614771.77
0,1,1,0,2,143.22660,1477589614737.98,145.76000,1477589617271.95
0,1,1,0,3,145.49330,1477589617005.69,148.02690,1477589619538.41
0,1,1,0,1,147.99350,1477589619505.09,150.52700,1477589622038.46
0,1,1,1,1,150.49430,1477589622006.81,152.14980,1477589623672.5
0,1,1,0,3,152.99380,1477589624505.51,155.49410,1477589627006
0,1,1,1,3,155.22720,1477589626738.56,156.88990,1477589628405.97
0,1,1,0,4,157.69400,1477589629205.65,160.22760,1477589631739.04
0,1,1,0,2,160.19420,1477589631705.77,162.72760,1477589634239.41
0,2,1,1,2,162.69430,1477589634206,164.36990,1477589635907.72
0,2,1,0,1,167.69450,1477589641240.21,170.22790,1477589643772.9
0,2,1,0,3,169.96140,1477589643506.49,172.49480,1477589646040
0,2,1,1,1,172.46140,1477589646006.58,174.34990,1477589647907.13
0,2,1,1,3,174.96160,1477589648506.75,176.60990,1477589650173.62
0,3,1,1,1,177.46170,1477589651006.82,179.10990,1477589652675.13
