%Recollect Version 2.0. Scene/Level: nback1_intro, Game Number: 148
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Blue=0,Yellow=1,Green=2,Pink=3,White=4,Gray=5,Brown=6,Purple=7,None=8,
0,3,1,0,4,0.05762,1479939448660.47,1.68347,1479939450277.32
0,3,1,0,2,1.61670,1479939450210.3,4.15015,1479939452744.05
0,3,1,0,4,4.05017,1479939452644.3,6.58362,1479939455178.41
0,3,1,1,4,6.48377,1479939455078.45,8.35230,1479939456980.55
0,3,1,1,2,8.91711,1479939457511.31,10.93225,1479939459544.82
0,3,1,0,1,11.38391,1479939459978.35,13.91736,1479939462511.73
0,4,1,1,4,13.81738,1479939462411.86,15.57227,1479939464182.83
0,4,1,0,1,18.71692,1479939469345.53,21.25024,1479939471878.62
0,4,1,0,5,21.15039,1479939471778.43,23.68384,1479939474312.7
1,104.58040,0.87038,2,24.61230,1479939475253.36
0,4,1,0,4,23.61719,1479939474245.84,26.15063,1479939476779.16
0,4,1,0,2,26.15063,1479939476778.9,28.68420,1479939479313.18
0,4,1,0,4,28.58423,1479939479213.41,31.11792,1479939481746.56
0,4,1,0,3,31.01758,1479939481646.11,33.58459,1479939484213.47
0,4,1,0,1,33.48438,1479939484113.08,36.01782,1479939486646.66
0,4,1,1,2,35.91785,1479939486546.78,37.53223,1479939488180.24
0,4,1,0,0,38.38464,1479939489013.46,40.91809,1479939491547
0,4,1,0,2,40.81812,1479939491446.95,43.35156,1479939493979.89
0,4,0,0,5,43.25171,1479939493879.65,44.95227,1479939495613.28
0,4,1,1,2,45.71863,1479939496347.07,47.41223,1479939498047.65
0,4,1,0,5,48.15198,1479939498780.01,50.68542,1479939501314.05
0,4,1,0,5,50.61865,1479939501247.56,53.15210,1479939503780.45
0,4,1,0,0,53.21887,1479939503847.87,55.75244,1479939506381.1
0,4,1,1,2,55.61902,1479939506247.78,57.25232,1479939507881.29
0,4,1,0,4,58.05237,1479939508681.09,60.61951,1479939511248.1
0,4,1,0,1,60.51929,1479939511147.88,63.05273,1479939513681.22
0,4,1,0,2,62.95264,1479939513581.36,65.51965,1479939516148.35
0,4,1,0,1,65.41956,1479939516048.56,67.95300,1479939518581.76
0,4,1,0,5,67.85315,1479939518481.83,70.38684,1479939521015.26
0,4,1,0,3,70.25330,1479939520882.12,72.81995,1479939523448.82
0,5,1,1,2,72.71997,1479939523348.58,74.37231,1479939525017.14
0,5,1,0,5,77.62024,1479939530282.48,80.15369,1479939532817.18
0,5,1,0,0,80.12036,1479939532782.39,82.65393,1479939535316.36
0,5,1,0,1,82.55383,1479939535216.18,85.12073,1479939537783.12
0,5,1,0,0,85.02075,1479939537682.74,87.55408,1479939540216.22
0,5,1,0,1,87.62073,1479939540282.93,90.15417,1479939542816.19
0,5,1,0,3,90.05420,1479939542716.33,92.62097,1479939545283.14
0,5,1,1,0,92.52112,1479939545183.1,94.11230,1479939546783.66
0,5,1,0,3,94.98828,1479939547649.86,97.52161,1479939550183.73
0,5,1,1,0,97.42126,1479939550083.41,98.99231,1479939551683.12
0,6,1,1,1,99.85474,1479939552516.75,101.49230,1479939554185.22
0,6,1,0,3,104.72180,1479939559417.12,107.25520,1479939561950.6
0,6,1,0,5,107.15530,1479939561850.64,109.72240,1479939564418.11
0,6,1,0,1,109.62210,1479939564317.53,112.15550,1479939566851.2
1,458.37030,0.82237,1,113.03220,1479939567753.5
0,6,1,0,3,112.05550,1479939566751.23,114.62230,1479939569317.76
0,6,1,0,0,114.62230,1479939569317.56,117.15580,1479939571851.29
0,6,1,0,4,117.05580,1479939571751.13,119.59020,1479939574285.17
0,6,1,0,5,119.48940,1479939574184.19,122.02270,1479939576719.11
0,6,1,0,3,121.95610,1479939576652.59,124.48960,1479939579184.71
0,6,1,0,5,124.38950,1479939579084.31,126.92300,1479939581618.24
0,6,1,0,0,126.82300,1479939581518.39,129.35640,1479939584052.22
0,6,0,0,3,129.29000,1479939583985.02,130.85230,1479939585553.06
0,5,0,0,1,131.72330,1479939586418.84,133.35230,1479939588054.83
0,5,1,0,2,136.62350,1479939593352.75,139.15690,1479939595885.89
0,5,1,0,3,139.05680,1479939595785.86,141.62370,1479939598352.73
0,5,1,0,5,141.69040,1479939598418.92,144.22380,1479939600952.65
0,5,1,0,1,144.12380,1479939600852.61,146.62390,1479939603353.3
0,5,1,0,3,146.52390,1479939603253.13,149.05760,1479939605786.69
0,5,1,1,2,148.99070,1479939605719.18,150.61230,1479939607353.68
0,5,1,0,0,151.42420,1479939608153.46,153.95800,1479939610686.92
0,5,1,1,5,153.85770,1479939610586.53,155.57230,1479939612323.62
0,5,1,0,4,156.32460,1479939613053.32,158.85790,1479939615586.78
0,5,1,0,1,158.72490,1479939615453.79,161.25820,1479939617987.65
0,6,1,1,2,161.19150,1479939617920.43,162.91220,1479939619655.9
0,6,1,0,1,166.12490,1479939624887.87,168.65860,1479939627421.63
0,6,1,0,0,168.62510,1479939627387.53,171.15840,1479939629921.19
0,6,1,0,2,171.05850,1479939629820.96,173.59230,1479939632354.69
0,6,1,0,3,173.49230,1479939632254.64,176.02540,1479939634787.78
