%Recollect Version 2.0. Scene/Level: nback2_inter, Game Number: 034
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Orange=0,Green=1,Purple=2,Blue=3,White=4,None=5,
0,3,1,0,4,0.06641,1478541308863.48,1.41687,1478541310206.73
0,3,0,1,2,1.35016,1478541310140.1,3.88367,1478541312676.77
0,2,0,1,1,3.78357,1478541312572.99,6.31708,1478541315111.39
0,2,1,0,3,8.65057,1478541319474.24,11.21741,1478541322041.26
0,2,1,0,3,11.11737,1478541321940.87,13.65082,1478541324475.12
0,2,1,0,0,13.55090,1478541324374.94,16.11768,1478541326941.93
0,2,1,0,4,16.01764,1478541326840.89,18.51770,1478541329340.69
0,2,1,0,1,18.45117,1478541329274.62,20.98462,1478541331807.37
0,2,0,1,4,20.91791,1478541331740.94,23.45135,1478541334275
0,2,1,0,3,23.35138,1478541334174.78,25.88489,1478541336707.92
0,2,1,1,4,25.88489,1478541336712.52,27.54474,1478541338375.31
0,2,1,1,3,28.35168,1478541339175.17,30.46472,1478541341307.62
0,2,1,0,2,30.78516,1478541341609.02,33.31860,1478541344141.12
0,2,0,0,0,33.15198,1478541343974.99,34.86469,1478541345707.9
0,2,1,0,1,35.61877,1478541346441.75,38.15240,1478541348975.79
0,2,1,0,1,38.11890,1478541348941.94,40.65240,1478541351475.92
0,2,1,1,1,40.55280,1478541351376.6,42.22473,1478541353074.88
0,2,1,0,0,42.98584,1478541353808.64,45.51929,1478541356341.75
0,2,1,1,1,45.45264,1478541356275.65,47.10474,1478541357941.92
0,2,1,0,1,47.88617,1478541358709.2,50.41956,1478541361241.96
0,2,0,1,1,50.35291,1478541361175.99,52.88635,1478541363710.31
0,2,1,0,2,52.95306,1478541363776.63,55.48651,1478541366309.98
0,2,1,0,3,55.38641,1478541366209.66,57.91998,1478541368742.69
0,2,1,1,2,57.82007,1478541368642.66,59.48468,1478541370309.85
0,2,1,0,0,60.28748,1478541371111.34,62.82050,1478541373642.82
0,2,1,0,1,62.68689,1478541373510.52,65.25372,1478541376077.21
0,2,1,1,0,65.15375,1478541375976.96,66.88470,1478541377710.66
0,2,0,0,2,67.58722,1478541378410.23,69.28473,1478541380110.49
0,2,1,1,0,70.05402,1478541380877.33,72.10474,1478541382943.34
0,2,1,0,1,72.48749,1478541383310.53,75.05438,1478541385877.82
0,2,1,0,4,74.98761,1478541385810.4,77.55450,1478541388377.34
0,2,1,0,0,77.38812,1478541388211.11,79.95465,1478541390777.46
0,2,1,0,0,79.75458,1478541390577.64,82.28802,1478541393110.99
0,2,1,0,1,82.35474,1478541393177.95,84.88818,1478541395711.67
0,2,1,0,3,84.78821,1478541395611,87.32166,1478541398144.31
0,2,1,0,3,87.35504,1478541398178.28,89.88849,1478541400711.9
0,2,1,0,2,89.78845,1478541400611.74,92.35541,1478541403178.71
0,2,1,0,1,92.25537,1478541403078.97,94.78876,1478541405612.26
0,2,1,0,3,94.68866,1478541405511.85,97.22223,1478541408045.22
0,2,1,1,1,97.12225,1478541407944.81,98.78473,1478541409612.52
0,2,1,0,2,99.55566,1478541410378.72,102.08910,1478541412912.54
0,2,1,0,4,102.02260,1478541412845.2,104.55590,1478541415379.57
0,2,1,0,0,104.45600,1478541415279.38,106.98940,1478541417812.78
0,2,1,0,1,106.88960,1478541417713.08,109.45640,1478541420280.32
0,2,1,0,4,109.35630,1478541420179.55,111.89030,1478541422713.58
0,3,1,1,1,111.78970,1478541422612.96,113.46470,1478541424317.92
0,3,1,0,1,116.79010,1478541429647.27,119.32370,1478541432179.91
0,3,1,0,3,119.22360,1478541432079.81,121.75700,1478541434613.62
0,3,1,0,0,121.65700,1478541434513.44,124.19050,1478541437047.52
0,3,1,0,2,124.05710,1478541436913.53,126.59060,1478541439447.49
0,3,0,0,0,126.55730,1478541439413.65,128.28470,1478541441147.2
0,2,0,0,2,129.02410,1478541441879.92,130.68470,1478541443549.01
0,2,1,0,2,133.89110,1478541448780.73,136.42460,1478541451313.4
0,2,1,0,2,136.35790,1478541451247.71,138.89140,1478541453781.24
0,2,1,0,0,138.79140,1478541453680.86,141.32480,1478541456214.79
0,2,1,0,4,141.29150,1478541456181.43,143.82510,1478541458715.02
0,2,1,0,3,143.82510,1478541458714.86,146.39180,1478541461281.91
1,594.93710,0.78768,2,147.22470,1478541462118.3
0,2,1,0,0,146.29170,1478541461181.83,148.82520,1478541463715.19
0,2,1,0,4,148.72530,1478541463615.13,151.25890,1478541466148.1
0,2,1,0,1,151.15870,1478541466048.38,153.69210,1478541468582.19
0,2,1,0,0,153.62550,1478541468516.44,156.12560,1478541471015.84
0,2,1,0,4,156.05900,1478541470947.89,158.59250,1478541473483.08
0,2,1,0,3,158.49240,1478541473382.27,161.02600,1478541475915.99
0,2,1,0,2,160.92590,1478541475815.46,163.49270,1478541478382.51
1,661.29080,12.37577,1,163.80470,1478541478714.54
0,2,1,0,1,163.39280,1478541478282.36,165.92630,1478541480816.04
0,2,1,1,2,165.82620,1478541480715.91,167.50480,1478541482415.53
0,2,1,0,0,168.19300,1478541483083.49,170.72660,1478541485616.42
0,2,1,1,2,170.79310,1478541485682.78,172.44470,1478541487349.25
0,3,1,1,0,173.22660,1478541488116.67,174.92470,1478541489818.26
