%Recollect Version 2.0. Scene/Level: nback0_advan, Game Number: 081
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Orange=0,Green=1,Purple=2,Blue=3,White=4,None=5,
0,3,1,0,0,1.15003,1478558036147.99,3.68363,1478558038682.39
0,3,1,0,2,3.65027,1478558038648.91,6.18370,1478558041182.46
0,3,1,0,3,6.15044,1478558041149,8.68380,1478558043682.69
0,3,0,1,0,8.65063,1478558043649.17,11.18398,1478558046187.33
0,3,1,0,3,10.88400,1478558045882.55,13.41746,1478558048415.96
0,3,1,0,1,13.38411,1478558048382.39,15.91760,1478558050915.93
0,3,1,0,3,15.88430,1478558050882.54,18.41773,1478558053416.07
0,3,1,1,3,18.38445,1478558053382.88,20.05744,1478558055082.47
0,3,1,0,2,20.61785,1478558055616.81,23.18471,1478558058184.19
0,3,1,0,2,23.11806,1478558058116.19,25.65147,1478558060648.98
0,3,1,0,1,25.61838,1478558060617.38,28.15174,1478558063149.77
0,3,1,0,4,28.11828,1478558063116.75,30.65180,1478558065649.92
0,3,0,0,1,30.61841,1478558065617.35,32.31744,1478558067318.07
0,3,1,1,1,33.11862,1478558068118.58,34.81744,1478558069816.97
0,3,1,0,0,35.38538,1478558070383.51,37.88576,1478558072883.89
0,3,1,1,1,37.88576,1478558072885.81,39.53744,1478558074549.93
0,3,1,0,3,40.38702,1478558075385.62,42.88577,1478558077884.12
0,3,1,0,4,42.88577,1478558077886.52,45.38597,1478558080384.76
0,3,0,0,0,45.11924,1478558080117.33,46.83743,1478558081850.43
0,2,0,0,2,47.55284,1478558082551.41,49.43743,1478558084454.46
1,205.64310,2.47203,2,49.89744,1478558086950.19
0,2,1,0,4,52.55280,1478558089583.79,55.08620,1478558092118.02
0,2,1,0,4,55.05298,1478558092085.5,57.58645,1478558094618.68
0,2,1,1,4,57.55315,1478558094584.82,59.23743,1478558096285.32
0,2,1,0,0,59.81990,1478558096851.96,62.35356,1478558099385.12
0,2,1,0,3,62.32004,1478558099352.47,64.85352,1478558101885.48
0,2,1,1,0,64.82018,1478558101852.24,66.53744,1478558103584.96
0,2,1,0,4,67.32063,1478558104352.85,69.85384,1478558106885.43
0,3,1,1,0,69.58726,1478558106619.23,71.27744,1478558108332.29
0,3,1,0,0,74.52081,1478558113586.32,77.08759,1478558116153.36
0,3,1,0,0,77.02095,1478558116086.07,79.58780,1478558118652.88
0,3,1,0,1,79.52116,1478558118586.61,82.08795,1478558121153.49
0,3,1,0,2,82.02113,1478558121086.73,84.58809,1478558123653.7
0,3,1,1,0,84.28808,1478558123353.36,85.99744,1478558125086.31
0,3,1,1,1,86.78816,1478558125853.52,88.45744,1478558127554.46
0,3,1,0,4,89.28831,1478558128353.78,91.82179,1478558130887.73
0,3,1,0,2,91.78859,1478558130854.05,94.32208,1478558133388.8
0,3,1,0,0,94.02191,1478558133087.61,96.58894,1478558135654.8
0,3,1,0,1,96.68872,1478558135754.44,99.22224,1478558138287.83
0,3,1,0,4,98.92225,1478558137988.38,101.45570,1478558140521.01
0,4,1,1,0,101.42240,1478558140488.03,103.13740,1478558142221.74
0,4,1,0,2,106.42210,1478558147521.99,108.95560,1478558150054.06
0,4,1,0,3,108.78900,1478558149888.52,111.32230,1478558152421.82
0,4,1,0,4,111.28910,1478558152388.84,113.82250,1478558154921.71
0,4,1,0,1,113.78910,1478558154888.92,116.32270,1478558157422.2
0,4,1,1,2,116.28930,1478558157389.62,117.95740,1478558159088.6
0,4,1,0,1,118.78950,1478558159888.6,121.32280,1478558162421.92
0,4,1,1,4,121.05620,1478558162154.79,122.71740,1478558163822.64
0,4,1,0,3,123.55650,1478558164654.98,126.08990,1478558167189.01
0,4,1,0,1,126.05660,1478558167155.33,128.59010,1478558169689.22
0,4,1,0,2,128.55670,1478558169655.68,131.09040,1478558172189.58
0,4,0,0,1,130.79010,1478558171889.47,132.45740,1478558173589.36
0,4,1,0,2,133.22420,1478558174323.24,135.79040,1478558176889.49
0,4,1,0,4,135.72380,1478558176823.28,138.29080,1478558179391.12
0,3,0,1,2,138.22390,1478558179323.5,140.75790,1478558181859.04
0,3,1,0,1,143.22460,1478558186357.12,145.75810,1478558188890.18
0,3,1,0,3,145.49150,1478558188623.06,148.02480,1478558191157.06
0,3,1,0,2,147.99160,1478558191123.26,150.52510,1478558193658.36
0,3,1,1,1,150.49170,1478558193623.49,152.15740,1478558195290.8
0,3,1,0,0,152.99210,1478558196123.88,155.52530,1478558198658.89
0,3,1,0,4,155.22530,1478558198357.48,157.75880,1478558200891.14
0,3,1,1,1,157.72550,1478558200858.04,159.37740,1478558202524.17
0,3,1,0,1,160.22640,1478558203358.87,162.72570,1478558205858.11
0,3,1,0,2,162.72570,1478558205857.84,165.22590,1478558208358.24
0,4,1,1,1,165.22590,1478558208357.94,166.87740,1478558210025.55
0,4,1,0,0,169.95940,1478558215124.85,172.49310,1478558217658.1
0,4,1,0,0,172.45950,1478558217625.11,174.99320,1478558220157.99
0,4,1,0,1,174.95970,1478558220125.42,177.49320,1478558222658.13
0,4,0,0,0,177.45990,1478558222625.39,179.17740,1478558224358.79
0,4,1,1,0,179.69330,1478558224858.31,181.41740,1478558226592.37
1,757.41540,4.22855,1,187.83740,1478558233025.06
