%Recollect Version 2.0. Scene/Level: nback2_advan, Game Number: 147
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,Current N Level,Is Correct,Should Be Picked Up,Type,Time of Reveal (R),Time of Reveal (A),Time of Death (R),Time of Death (A)
%Possible values for "Type":Blue=0,Yellow=1,Green=2,Pink=3,White=4,Gray=5,Brown=6,Purple=7,None=8,
0,3,1,0,7,0.05432,1479328882624.16,1.41650,1479328883971.89
0,3,1,0,1,1.34985,1479328883905.52,3.88330,1479328886439.94
0,3,1,0,2,3.78345,1479328886339.75,6.31702,1479328888872.49
0,3,1,0,1,6.21680,1479328888772.83,8.75037,1479328891307.05
0,3,1,0,6,8.65051,1479328891208.33,11.18384,1479328893741.01
0,3,1,0,7,11.11707,1479328893673.13,13.65076,1479328896207.06
0,3,1,1,1,13.55054,1479328896108.4,15.20239,1479328897775.71
0,3,1,0,0,15.98401,1479328898540.58,18.51758,1479328901073.21
0,3,0,1,7,18.45093,1479328901007.02,20.98438,1479328903541.51
0,2,0,1,1,20.88477,1479328903442.16,23.45117,1479328906012.1
0,2,1,0,0,25.88464,1479328910474.76,28.41821,1479328913007.74
0,2,1,0,1,28.35168,1479328912942.23,30.88489,1479328915475.17
0,2,1,0,7,30.78491,1479328915375.77,33.31848,1479328917907.7
0,2,1,0,5,33.15161,1479328917741.24,35.68518,1479328920275.04
0,2,1,1,7,35.61865,1479328920207.55,37.46240,1479328922074.27
0,2,1,1,5,38.11877,1479328922707.97,39.82239,1479328924440.83
0,2,1,0,4,40.55212,1479328925141.77,43.08557,1479328927675.12
0,3,1,1,5,42.98560,1479328927574.91,44.68237,1479328929277.07
0,3,1,0,6,47.88550,1479328934508.95,50.41895,1479328937041.75
0,3,1,0,7,50.35229,1479328936975.5,52.88586,1479328939509.56
0,3,1,0,0,52.95239,1479328939575.52,55.48584,1479328942108.95
0,3,1,0,7,55.38586,1479328942009.5,57.98608,1479328944610.23
1,239.00100,1.27837,0,58.26233,1479328944908.81
